project,source_file,source_row,BRANCH_COUNT,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,LOC_CODE_AND_COMMENT,LOC_COMMENTS,LOC_EXECUTABLE,LOC_TOTAL,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,defective,rotulo_original
CM1,CM1.arff,1,5,3,3,1,36.74,14.57,7799.92,0.18,102,0.07,433.33,535.29,2,2,17,19,36,66,21,17,0,N
CM1,CM1.arff,2,3,2,2,1,64.01,11.65,8684.99,0.25,135,0.09,482.5,745.68,2,0,33,35,66,69,34,12,0,N
CM1,CM1.arff,3,9,5,1,5,19.29,6.43,797.14,0.04,31,0.16,44.29,124.0,0,0,9,9,10,21,7,9,0,N
CM1,CM1.arff,4,15,8,6,6,75.22,14.8,16481.41,0.37,187,0.07,915.63,1113.43,1,9,41,42,67,120,43,19,0,N
CM1,CM1.arff,5,5,3,3,1,34.17,10.29,3620.93,0.12,71,0.1,201.16,351.75,0,0,20,20,25,46,17,14,0,N
CM1,CM1.arff,6,5,3,3,1,36.48,10.43,3969.82,0.13,72,0.1,220.55,380.55,0,0,21,21,27,45,22,17,0,N
CM1,CM1.arff,7,3,2,1,1,17.16,6.19,657.1,0.04,25,0.16,36.51,106.2,0,5,8,8,9,16,8,11,0,N
CM1,CM1.arff,8,3,2,2,1,14.62,6.43,604.36,0.03,23,0.16,33.58,94.01,0,0,12,12,9,14,7,10,0,N
CM1,CM1.arff,9,3,2,1,1,21.05,9.8,2021.97,0.07,45,0.1,112.33,206.32,5,4,10,15,14,31,10,14,0,N
CM1,CM1.arff,10,17,9,8,1,30.54,11.65,4143.37,0.12,74,0.09,230.19,355.74,0,0,24,24,36,38,17,11,0,N
CM1,CM1.arff,11,3,2,1,1,24.7,7.22,1288.28,0.06,40,0.14,71.57,178.38,2,1,9,11,10,30,9,13,0,N
CM1,CM1.arff,12,9,5,1,5,41.24,20.76,17773.08,0.29,155,0.05,987.39,856.15,11,28,34,45,59,96,27,19,0,N
CM1,CM1.arff,13,9,5,5,5,38.51,14.25,7820.87,0.18,107,0.07,434.49,548.83,12,16,25,37,38,69,20,15,0,N
CM1,CM1.arff,14,5,3,3,1,31.51,10.5,3474.19,0.11,64,0.1,193.01,330.88,2,19,20,22,21,43,18,18,1,Y
CM1,CM1.arff,15,7,4,4,1,40.01,18.29,13377.17,0.24,134,0.05,743.18,731.56,3,0,19,22,64,70,28,16,0,N
CM1,CM1.arff,16,15,9,6,1,47.3,45.77,99082.56,0.72,336,0.02,5504.59,2164.83,27,28,59,86,136,200,52,35,0,N
CM1,CM1.arff,17,28,17,13,10,133.35,38.57,198396.43,1.71,695,0.03,11022.02,5143.61,20,119,154,174,285,410,133,36,0,N
CM1,CM1.arff,18,3,2,1,1,29.61,9.15,2480.95,0.09,57,0.11,137.83,271.03,6,5,13,19,17,40,13,14,0,N
CM1,CM1.arff,19,3,2,1,1,18.1,9.63,1676.34,0.06,41,0.1,93.13,174.17,0,0,13,13,14,27,8,11,0,N
CM1,CM1.arff,20,3,2,1,1,25.23,9.5,2277.36,0.08,51,0.11,126.52,239.72,2,7,14,16,19,32,13,13,0,N
CM1,CM1.arff,21,23,13,9,9,39.47,43.33,74124.42,0.57,283,0.02,4118.02,1710.56,3,1,64,67,104,179,36,30,0,N
CM1,CM1.arff,22,11,6,2,1,48.56,33.51,54539.1,0.54,279,0.03,3029.95,1627.38,14,5,27,41,124,155,37,20,0,N
CM1,CM1.arff,23,5,3,3,1,48.49,14.11,9649.29,0.23,120,0.07,536.07,684.05,2,16,25,27,49,71,33,19,0,N
CM1,CM1.arff,24,5,3,1,1,45.57,9.64,4237.49,0.15,85,0.1,235.42,439.44,2,22,19,21,27,58,21,15,1,Y
