arquivo,combinacao,instancia,n_nos,n_atividades_reais,n_arcos,aciclico,n_recursos_renovaveis,n_recursos_nao_renovaveis,horizonte,NC,RF,RS,duracao_media,duracao_maxima,makespan_sem_recursos,disponibilidades
j6010_1.sm,10,1,62,60,93,True,4,0,323,1.5,0.754167,0.507237,5.3833,10,85,30;26;24;25
j6010_10.sm,10,10,62,60,93,True,4,0,319,1.5,0.754167,0.507384,5.3167,10,73,37;32;40;31
j6010_2.sm,10,2,62,60,93,True,4,0,353,1.5,0.754167,0.501866,5.8833,10,62,44;39;41;31
j6010_3.sm,10,3,62,60,93,True,4,0,353,1.5,0.754167,0.505358,5.8833,10,72,26;36;32;29
j6010_4.sm,10,4,62,60,93,True,4,0,330,1.5,0.754167,0.512205,5.5,10,80,27;22;24;27
j6010_5.sm,10,5,62,60,93,True,4,0,377,1.5,0.754167,0.506478,6.2833,10,79,32;28;31;32
j6010_6.sm,10,6,62,60,93,True,4,0,322,1.5,0.754167,0.506156,5.3667,10,67,33;29;38;35
j6010_7.sm,10,7,62,60,93,True,4,0,346,1.5,0.754167,0.505685,5.7667,10,69,37;33;33;32
j6010_8.sm,10,8,62,60,93,True,4,0,303,1.5,0.754167,0.511548,5.05,10,64,33;30;25;26
j6010_9.sm,10,9,62,60,93,True,4,0,358,1.5,0.754167,0.502273,5.9667,10,73,30;28;33;38
j6011_1.sm,11,1,62,60,93,True,4,0,366,1.5,0.754167,0.697984,6.1,10,71,42;42;32;40
j6011_10.sm,11,10,62,60,93,True,4,0,307,1.5,0.754167,0.69458,5.1167,10,58,56;49;39;35
j6011_2.sm,11,2,62,60,93,True,4,0,321,1.5,0.754167,0.694305,5.35,10,61,39;46;43;37
j6011_3.sm,11,3,62,60,93,True,4,0,344,1.5,0.754167,0.700156,5.7333,10,76,37;45;42;35
j6011_4.sm,11,4,62,60,93,True,4,0,329,1.5,0.754167,0.706586,5.4833,10,69,32;42;42;35
j6011_5.sm,11,5,62,60,93,True,4,0,351,1.5,0.754167,0.695207,5.85,10,65,40;46;44;33
j6011_6.sm,11,6,62,60,93,True,4,0,331,1.5,0.754167,0.698659,5.5167,10,70,43;30;56;34
j6011_7.sm,11,7,62,60,93,True,4,0,353,1.5,0.754167,0.69978,5.8833,10,70,30;42;36;42
j6011_8.sm,11,8,62,60,93,True,4,0,358,1.5,0.754167,0.704167,5.9667,10,69,38;44;44;45
j6011_9.sm,11,9,62,60,93,True,4,0,323,1.5,0.754167,0.702441,5.3833,10,62,50;43;52;46
j6012_1.sm,12,1,62,60,93,True,4,0,331,1.5,0.754167,1.0,5.5167,10,59,87;85;85;67
j6012_10.sm,12,10,62,60,93,True,4,0,342,1.5,0.754167,1.0,5.7,10,79,46;48;46;69
j6012_2.sm,12,2,62,60,93,True,4,0,287,1.5,0.754167,1.0,4.7833,10,58,60;64;56;44
j6012_3.sm,12,3,62,60,93,True,4,0,345,1.5,0.754167,1.0,5.75,10,75,42;49;48;44
j6012_4.sm,12,4,62,60,93,True,4,0,342,1.5,0.754167,1.0,5.7,10,69,59;55;76;66
j6012_5.sm,12,5,62,60,93,True,4,0,327,1.5,0.754167,1.0,5.45,10,63,60;51;51;57
j6012_6.sm,12,6,62,60,93,True,4,0,329,1.5,0.754167,1.0,5.4833,10,54,78;79;67;36
j6012_7.sm,12,7,62,60,93,True,4,0,349,1.5,0.754167,1.0,5.8167,10,71,62;47;58;68
j6012_8.sm,12,8,62,60,93,True,4,0,302,1.5,0.754167,1.0,5.0333,10,60,63;49;54;56
j6012_9.sm,12,9,62,60,93,True,4,0,339,1.5,0.754167,1.0,5.65,10,59,65;45;51;67
j6013_1.sm,13,1,62,60,93,True,4,0,340,1.5,1.0,0.201212,5.6667,10,69,18;21;19;22
j6013_10.sm,13,10,62,60,93,True,4,0,354,1.5,1.0,0.200526,5.9,10,63,20;22;19;20
j6013_2.sm,13,2,62,60,93,True,4,0,312,1.5,1.0,0.200272,5.2,10,66,19;22;19;25
j6013_3.sm,13,3,62,60,93,True,4,0,331,1.5,1.0,0.199092,5.5167,10,57,21;27;24;26
j6013_4.sm,13,4,62,60,93,True,4,0,360,1.5,1.0,0.199305,6.0,10,62,24;24;24;23
j6013_5.sm,13,5,62,60,93,True,4,0,330,1.5,1.0,0.197863,5.5,10,53,24;24;20;20
j6013_6.sm,13,6,62,60,93,True,4,0,324,1.5,1.0,0.196323,5.4,10,61,24;21;24;20
j6013_7.sm,13,7,62,60,93,True,4,0,319,1.5,1.0,0.200853,5.3167,10,54,22;24;22;26
j6013_8.sm,13,8,62,60,93,True,4,0,344,1.5,1.0,0.19994,5.7333,10,69,17;15;21;19
j6013_9.sm,13,9,62,60,93,True,4,0,349,1.5,1.0,0.203877,5.8167,10,67,22;26;24;21
j6014_1.sm,14,1,62,60,93,True,4,0,332,1.5,1.0,0.50588,5.5333,10,59,39;47;40;41
j6014_10.sm,14,10,62,60,93,True,4,0,371,1.5,1.0,0.508385,6.1833,10,67,38;30;32;40
j6014_2.sm,14,2,62,60,93,True,4,0,335,1.5,1.0,0.506375,5.5833,10,65,40;40;38;42
j6014_3.sm,14,3,62,60,93,True,4,0,315,1.5,1.0,0.505136,5.25,10,61,40;33;43;37
