arquivo,combinacao,instancia,tarefa,duracao,n_sucessores,sucessores,R1,R2,R3,R4,ES,LS,folga_total,makespan_instancia,intensidade_recursos,duracao_norm,intensidade_norm,folga_norm,criticidade_folga,criticidade_sucessores,Di,nivel_dificuldade
j6010_1.sm,10,1,2,9,3,8;9;28,6,2,10,10,0,0,0,85,0.2733974358974359,0.8888888888888888,0.8596198036348444,0.0,1.0,1.0,0.9161695641745777,muito alta
j6010_1.sm,10,1,3,1,3,6;13;19,2,2,5,10,0,41,41,85,0.18798076923076923,0.0,0.5812617505744726,0.5394736842105263,0.4605263157894737,1.0,0.34726268878798205,baixa
j6010_1.sm,10,1,4,1,2,5;50,9,0,4,0,0,25,25,85,0.11666666666666667,0.0,0.3488614998955505,0.32894736842105265,0.6710526315789473,0.5,0.33997137715816594,baixa
j6010_1.sm,10,1,5,6,3,7;12;24,5,10,4,3,1,26,25,85,0.2094871794871795,0.5555555555555556,0.6513473992061835,0.32894736842105265,0.6710526315789473,1.0,0.6259851954468953,alta
j6010_1.sm,10,1,6,9,3,11;48;61,0,5,0,3,1,42,41,85,0.07807692307692307,0.8888888888888888,0.2231042406517652,0.5394736842105263,0.4605263157894737,1.0,0.5241731484433758,media
j6010_1.sm,10,1,7,10,2,26;33,5,1,1,6,7,32,25,85,0.12169871794871795,1.0,0.36526007938165866,0.32894736842105265,0.6710526315789473,0.5,0.6787709036535352,muito alta
j6010_1.sm,10,1,8,9,3,14;17;27,5,8,9,2,9,47,38,85,0.23233974358974357,0.8888888888888888,0.7258199289743054,0.5,0.5,1.0,0.7049029392877314,muito alta
j6010_1.sm,10,1,9,4,3,10;15;30,0,7,0,5,9,9,0,85,0.11730769230769231,0.3333333333333333,0.3509504909128891,0.0,1.0,1.0,0.5614279414154074,alta
j6010_1.sm,10,1,10,7,1,23,4,10,3,8,13,55,42,85,0.2407371794871795,0.6666666666666666,0.7531857113014414,0.5526315789473685,0.4473684210526315,0.0,0.6224069330069131,alta
j6010_1.sm,10,1,11,1,3,21;32;40,7,0,6,0,10,51,41,85,0.12083333333333333,0.0,0.3624399415082515,0.5394736842105263,0.4605263157894737,1.0,0.27432208576590833,baixa
j6010_1.sm,10,1,12,6,1,18,10,10,5,4,7,56,49,85,0.2715705128205128,0.5555555555555556,0.8536661792354292,0.6447368421052632,0.35526315789473684,0.0,0.5881616308952405,alta
j6010_1.sm,10,1,13,4,1,36,7,9,2,0,1,67,66,85,0.1657051282051282,0.3333333333333333,0.5086693127219553,0.868421052631579,0.13157894736842102,0.0,0.3245271978079032,baixa
j6010_1.sm,10,1,14,9,1,57,0,1,0,0,18,66,48,85,0.009615384615384616,0.8888888888888888,0.0,0.631578947368421,0.368421052631579,0.0,0.4191033138401559,media
j6010_1.sm,10,1,15,9,3,16;22;47,9,0,9,8,13,13,0,85,0.24875000000000003,0.8888888888888888,0.7792980990181744,0.0,1.0,1.0,0.8893956626356876,muito alta
j6010_1.sm,10,1,16,3,1,46,7,9,7,1,22,60,38,85,0.22778846153846155,0.2222222222222222,0.7109880927512012,0.5,0.5,0.0,0.4777367716578078,media
j6010_1.sm,10,1,17,7,1,25,1,3,10,9,18,56,38,85,0.23134615384615384,0.6666666666666666,0.7225819928974305,0.5,0.5,0.0,0.6297495531880324,alta
j6010_1.sm,10,1,18,3,1,52,0,9,8,9,13,62,49,85,0.2598717948717949,0.2222222222222222,0.8155420931689994,0.6447368421052632,0.35526315789473684,0.0,0.46434249109531944,media
j6010_1.sm,10,1,19,4,2,20;47,0,5,8,6,1,54,53,85,0.1914102564102564,0.3333333333333333,0.5924378525172342,0.6973684210526315,0.3026315789473685,0.5,0.4094675882659786,baixa
j6010_1.sm,10,1,20,4,2,38;51,3,3,0,7,5,58,53,85,0.12384615384615386,0.3333333333333333,0.37225819928974313,0.6973684210526315,0.3026315789473685,0.5,0.33607437052348166,baixa
j6010_1.sm,10,1,21,5,2,28;43,8,6,4,0,11,52,41,85,0.16602564102564102,0.4444444444444444,0.5097138082306246,0.5394736842105263,0.4605263157894737,0.5,0.4715615228215142,media
j6010_1.sm,10,1,22,10,3,32;34;37,10,0,0,0,22,22,0,85,0.08333333333333333,1.0,0.2402339669939419,0.0,1.0,1.0,0.7467446556646473,muito alta
j6010_1.sm,10,1,23,8,1,53,5,0,3,4,20,62,42,85,0.11291666666666667,0.7777777777777778,0.3366409024441195,0.5526315789473685,0.4473684210526315,0.0,0.5205957004248429,media
j6010_1.sm,10,1,24,1,1,49,7,6,10,1,7,56,49,85,0.2301923076923077,0.0,0.7188218090662211,0.6447368421052632,0.35526315789473684,0.0,0.3580283223203193,baixa
j6010_1.sm,10,1,25,3,2,36;39,2,4,0,8,25,63,38,85,0.13512820512820511,0.2222222222222222,0.40902444119490283,0.5,0.5,0.5,0.37708222113904166,baixa
j6010_1.sm,10,1,26,8,2,41;53,0,4,1,1,17,51,34,85,0.05887820512820513,0.7777777777777778,0.16053895968247336,0.4473684210526316,0.5526315789473684,0.5,0.4969827721358731,media
j6010_1.sm,10,1,27,8,1,29,0,6,0,2,18,71,53,85,0.0776923076923077,0.7777777777777778,0.22185084604136207,0.6973684210526315,0.3026315789473685,0.0,0.4340867342555027,media
j6010_1.sm,10,1,28,8,1,39,8,3,7,9,16,58,42,85,0.2584294871794872,0.7777777777777778,0.8108418633799876,0.5526315789473685,0.4473684210526315,0.0,0.6786626874034656,muito alta
j6010_1.sm,10,1,29,5,1,61,10,0,10,8,26,79,53,85,0.2675,0.4444444444444444,0.8404010862753291,0.6973684210526315,0.3026315789473685,0.0,0.529159036555714,media
j6010_1.sm,10,1,30,3,1,31,8,6,4,4,13,43,30,85,0.20602564102564103,0.2222222222222222,0.6400668477125548,0.39473684210526316,0.6052631578947368,0.0,0.48918407594317126,media
j6010_1.sm,10,1,31,7,1,35,7,4,0,2,16,46,30,85,0.1167948717948718,0.6666666666666666,0.3492792980990182,0.39473684210526316,0.6052631578947368,0.0,0.5404030408868072,media
j6010_1.sm,10,1,32,1,1,55,3,0,9,5,32,70,38,85,0.16875,0.0,0.5185920200543138,0.5,0.5,0.0,0.33953067335143794,baixa
j6010_1.sm,10,1,33,8,2,42;45,5,1,1,0,17,42,25,85,0.061698717948717945,0.7777777777777778,0.1697305201587633,0.32894736842105265,0.6710526315789473,0.5,0.5395203098384962,media
j6010_1.sm,10,1,34,10,1,44,9,9,4,7,32,32,0,85,0.2732051282051282,1.0,0.8589931063296428,0.0,1.0,0.0,0.9529977021098808,muito alta
j6010_1.sm,10,1,35,2,2,43;48,6,9,5,1,23,53,30,85,0.1986217948717949,0.1111111111111111,0.6159390014622939,0.39473684210526316,0.6052631578947368,0.5,0.4441044234893806,media
j6010_1.sm,10,1,36,3,1,51,4,5,4,4,28,71,43,85,0.1630769230769231,0.2222222222222222,0.500104449550867,0.5657894736842105,0.4342105263157895,0.0,0.38551239936295956,baixa
j6010_1.sm,10,1,37,7,1,59,6,6,10,0,32,70,38,85,0.21185897435897438,0.6666666666666666,0.6590766659703364,0.5,0.5,0.0,0.608581110879001,alta
j6010_1.sm,10,1,38,1,1,46,0,7,10,6,9,62,53,85,0.23147435897435897,0.0,0.7229997911008983,0.6973684210526315,0.3026315789473685,0.0,0.3418771233494222,baixa
j6010_1.sm,10,1,39,3,2,54;60,0,7,3,5,28,66,38,85,0.1485576923076923,0.2222222222222222,0.4527888030081471,0.5,0.5,0.5,0.3916703417434564,baixa
j6010_1.sm,10,1,40,2,1,46,5,8,6,10,11,61,50,85,0.2810897435897436,0.1111111111111111,0.8846876958429079,0.6578947368421053,0.3421052631578947,0.0,0.44596802337063784,media
j6010_1.sm,10,1,41,5,1,42,2,10,2,7,25,59,34,85,0.20365384615384616,0.4444444444444444,0.632337580948402,0.4473684210526316,0.5526315789473684,0.0,0.5431378681134049,alta
j6010_1.sm,10,1,42,3,1,56,0,1,0,0,30,64,34,85,0.009615384615384616,0.2222222222222222,0.0,0.4473684210526316,0.5526315789473684,0.0,0.2582846003898635,baixa
j6010_1.sm,10,1,43,10,1,56,0,8,1,6,25,57,32,85,0.1473397435897436,1.0,0.44881972007520377,0.42105263157894735,0.5789473684210527,0.0,0.6759223628320854,muito alta
j6010_1.sm,10,1,44,8,1,45,8,7,5,0,42,42,0,85,0.1860576923076923,0.7777777777777778,0.5749947775224566,0.0,1.0,0.0,0.7842575184334115,muito alta
j6010_1.sm,10,1,45,5,2,48;55,3,0,10,8,50,50,0,85,0.20916666666666667,0.4444444444444444,0.6503029036975141,0.0,1.0,0.5,0.6982491160473194,muito alta
j6010_1.sm,10,1,46,8,1,55,5,2,1,3,25,63,38,85,0.10131410256410256,0.7777777777777778,0.29883016503029036,0.5,0.5,0.0,0.5255359809360227,media
j6010_1.sm,10,1,47,8,1,53,6,0,0,1,22,62,40,85,0.060000000000000005,0.7777777777777778,0.16419469396281597,0.5263157894736842,0.4736842105263158,0.0,0.4718855607556365,media
j6010_1.sm,10,1,48,2,2,49;51,9,0,4,8,55,55,0,85,0.19666666666666666,0.1111111111111111,0.6095675788594109,0.0,1.0,0.5,0.5735595633235073,alta
j6010_1.sm,10,1,49,8,1,52,8,2,0,0,57,57,0,85,0.0858974358974359,0.7777777777777778,0.24858993106329644,0.0,1.0,0.0,0.6754559029470246,muito alta
j6010_1.sm,10,1,50,6,1,58,0,10,5,5,1,77,76,85,0.1982371794871795,0.5555555555555556,0.6146856068518907,1.0,0.0,0.0,0.39008038746914875,baixa
j6010_1.sm,10,1,51,1,1,57,8,1,0,9,57,74,17,85,0.16628205128205129,0.0,0.51054940463756,0.2236842105263158,0.7763157894736842,0.0,0.42895506470374806,media
j6010_1.sm,10,1,52,2,1,56,2,0,4,7,65,65,0,85,0.12833333333333335,0.1111111111111111,0.38688113641111355,0.0,1.0,0.0,0.49933074917407483,media
j6010_1.sm,10,1,53,6,1,60,0,7,0,2,30,70,40,85,0.08730769230769231,0.5555555555555556,0.2531857113014414,0.5263157894736842,0.4736842105263158,0.0,0.4274751591277709,media
j6010_1.sm,10,1,54,6,1,57,8,0,4,9,31,69,38,85,0.19833333333333333,0.5555555555555556,0.6149989555044914,0.5,0.5,0.0,0.5568515036866822,alta
j6010_1.sm,10,1,55,6,1,59,7,0,7,9,55,71,16,85,0.22125,0.5555555555555556,0.6896803843743472,0.21052631578947367,0.7894736842105263,0.0,0.678236541380143,muito alta
j6010_1.sm,10,1,56,9,1,60,10,5,0,0,67,67,0,85,0.13141025641025642,0.8888888888888888,0.39690829329433885,0.0,1.0,0.0,0.7619323940610758,muito alta
j6010_1.sm,10,1,57,2,1,59,0,0,0,7,58,75,17,85,0.07,0.1111111111111111,0.19678295383329855,0.2236842105263158,0.7763157894736842,0.0,0.36140328480603123,baixa
j6010_1.sm,10,1,58,1,1,61,0,0,5,9,7,83,76,85,0.14208333333333334,0.0,0.43168999373302697,1.0,0.0,0.0,0.14389666457767564,baixa
j6010_1.sm,10,1,59,8,1,62,0,2,5,4,61,77,16,85,0.11131410256410257,0.7777777777777778,0.33141842490077295,0.21052631578947367,0.7894736842105263,0.0,0.632889962296359,alta
j6010_1.sm,10,1,60,9,1,62,1,3,9,0,76,76,0,85,0.1309294871794872,0.8888888888888888,0.3953415500313349,0.0,1.0,0.0,0.7614101463067413,muito alta
j6010_1.sm,10,1,61,1,1,62,9,7,10,7,31,84,53,85,0.316474358974359,0.0,1.0,0.6973684210526315,0.3026315789473685,0.0,0.4342105263157895,media
j6010_10.sm,10,10,2,5,1,25,10,5,6,8,0,54,54,73,0.20864619659982564,0.4444444444444444,0.8199950796481948,1.0,0.0,0.0,0.42147984136421307,media
j6010_10.sm,10,10,3,10,2,34;41,0,7,0,5,0,26,26,73,0.09501008064516128,1.0,0.3069376960452672,0.48148148148148145,0.5185185185185186,0.5,0.6084854048545952,alta
j6010_10.sm,10,10,4,8,3,5;6;7,4,0,6,9,0,0,0,73,0.13710767218831738,0.7777777777777778,0.4970047358386126,0.0,1.0,1.0,0.7582608378721301,muito alta
j6010_10.sm,10,10,5,4,3,17;21;32,9,0,5,6,8,40,32,73,0.14044790758500436,0.3333333333333333,0.5120856141214097,0.5925925925925926,0.40740740740740744,1.0,0.4176087849540501,media
j6010_10.sm,10,10,6,1,3,8;10;20,7,1,5,4,8,8,0,73,0.11861786181342633,0.0,0.41352481702441723,0.0,1.0,1.0,0.47117493900813906,media
j6010_10.sm,10,10,7,3,2,9;41,1,0,8,5,8,21,13,73,0.09707933740191804,0.2222222222222222,0.3162802140353035,0.24074074074074073,0.7592592592592593,0.5,0.43258723183892833,media
j6010_10.sm,10,10,8,10,3,11;14;23,4,5,9,2,9,9,0,73,0.13846855928509155,1.0,0.5031490251552987,0.0,1.0,1.0,0.8343830083850996,muito alta
j6010_10.sm,10,10,9,7,3,12;13;22,0,8,2,9,11,24,13,73,0.14758064516129032,0.6666666666666666,0.5442893166861431,0.24074074074074073,0.7592592592592593,1.0,0.656738414204023,alta
j6010_10.sm,10,10,10,9,2,18;46,3,7,7,8,9,32,23,73,0.18322389930252833,0.8888888888888888,0.7052155729134633,0.42592592592592593,0.5740740740740741,0.5,0.7227261786254753,muito alta
j6010_10.sm,10,10,11,1,2,15;39,0,7,10,0,19,43,24,73,0.1171875,0.0,0.4070668552801525,0.4444444444444444,0.5555555555555556,0.5,0.32087413694523603,baixa
j6010_10.sm,10,10,12,8,1,49,5,2,9,0,18,46,28,73,0.1056587837837838,0.7777777777777778,0.355015683621379,0.5185185185185185,0.4814814814814815,0.0,0.5380916476268793,media
j6010_10.sm,10,10,13,2,3,16;26;30,5,1,0,6,18,40,22,73,0.08998338055797733,0.1111111111111111,0.2842425733439941,0.4074074074074074,0.5925925925925926,1.0,0.3293154256825659,baixa
