arquivo,combinacao,instancia,tarefa,duracao,n_sucessores,sucessores,R1,R2,R3,R4,ES,LS,folga_total,makespan_instancia,intensidade_recursos,duracao_norm,intensidade_norm,folga_norm,criticidade_folga,criticidade_sucessores,Di,nivel_dificuldade,multiplicador_risco,multiplicador_ic95_inferior,multiplicador_ic95_superior
j6010_1.sm,10,1,2,9,3,8;9;28,6,2,10,10,0,0,0,85,0.2733974358974359,0.8888888888888888,0.8596198036348444,0.0,1.0,1.0,0.9161695641745776,muito alta,2.985046237095499,1.87825,4.15626
j6010_1.sm,10,1,3,1,3,6;13;19,2,2,5,10,0,41,41,85,0.1879807692307692,0.0,0.5812617505744726,0.5394736842105263,0.4605263157894737,1.0,0.347262688787982,baixa,1.0,1.0,1.0
j6010_1.sm,10,1,4,1,2,5;50,9,0,4,0,0,25,25,85,0.1166666666666666,0.0,0.3488614998955505,0.3289473684210526,0.6710526315789473,0.5,0.3399713771581659,baixa,1.0,1.0,1.0
j6010_1.sm,10,1,5,6,3,7;12;24,5,10,4,3,1,26,25,85,0.2094871794871795,0.5555555555555556,0.6513473992061835,0.3289473684210526,0.6710526315789473,1.0,0.6259851954468953,alta,2.36668955851816,1.72008,3.22851
j6010_1.sm,10,1,6,9,3,11;48;61,0,5,0,3,1,42,41,85,0.078076923076923,0.8888888888888888,0.2231042406517652,0.5394736842105263,0.4605263157894737,1.0,0.5241731484433758,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,7,10,2,26;33,5,1,1,6,7,32,25,85,0.1216987179487179,1.0,0.3652600793816586,0.3289473684210526,0.6710526315789473,0.5,0.6787709036535352,muito alta,2.985046237095499,1.87825,4.15626
j6010_1.sm,10,1,8,9,3,14;17;27,5,8,9,2,9,47,38,85,0.2323397435897435,0.8888888888888888,0.7258199289743054,0.5,0.5,1.0,0.7049029392877314,muito alta,2.985046237095499,1.87825,4.15626
j6010_1.sm,10,1,9,4,3,10;15;30,0,7,0,5,9,9,0,85,0.1173076923076923,0.3333333333333333,0.3509504909128891,0.0,1.0,1.0,0.5614279414154074,alta,2.36668955851816,1.72008,3.22851
j6010_1.sm,10,1,10,7,1,23,4,10,3,8,13,55,42,85,0.2407371794871795,0.6666666666666666,0.7531857113014414,0.5526315789473685,0.4473684210526315,0.0,0.6224069330069131,alta,2.36668955851816,1.72008,3.22851
j6010_1.sm,10,1,11,1,3,21;32;40,7,0,6,0,10,51,41,85,0.1208333333333333,0.0,0.3624399415082515,0.5394736842105263,0.4605263157894737,1.0,0.2743220857659083,baixa,1.0,1.0,1.0
j6010_1.sm,10,1,12,6,1,18,10,10,5,4,7,56,49,85,0.2715705128205128,0.5555555555555556,0.8536661792354292,0.6447368421052632,0.3552631578947368,0.0,0.5881616308952405,alta,2.36668955851816,1.72008,3.22851
j6010_1.sm,10,1,13,4,1,36,7,9,2,0,1,67,66,85,0.1657051282051282,0.3333333333333333,0.5086693127219553,0.868421052631579,0.131578947368421,0.0,0.3245271978079032,baixa,1.0,1.0,1.0
j6010_1.sm,10,1,14,9,1,57,0,1,0,0,18,66,48,85,0.0096153846153846,0.8888888888888888,0.0,0.631578947368421,0.368421052631579,0.0,0.4191033138401559,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,15,9,3,16;22;47,9,0,9,8,13,13,0,85,0.24875,0.8888888888888888,0.7792980990181744,0.0,1.0,1.0,0.8893956626356876,muito alta,2.985046237095499,1.87825,4.15626
j6010_1.sm,10,1,16,3,1,46,7,9,7,1,22,60,38,85,0.2277884615384615,0.2222222222222222,0.7109880927512012,0.5,0.5,0.0,0.4777367716578078,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,17,7,1,25,1,3,10,9,18,56,38,85,0.2313461538461538,0.6666666666666666,0.7225819928974305,0.5,0.5,0.0,0.6297495531880324,alta,2.36668955851816,1.72008,3.22851
j6010_1.sm,10,1,18,3,1,52,0,9,8,9,13,62,49,85,0.2598717948717949,0.2222222222222222,0.8155420931689994,0.6447368421052632,0.3552631578947368,0.0,0.4643424910953194,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,19,4,2,20;47,0,5,8,6,1,54,53,85,0.1914102564102564,0.3333333333333333,0.5924378525172342,0.6973684210526315,0.3026315789473685,0.5,0.4094675882659786,baixa,1.0,1.0,1.0
j6010_1.sm,10,1,20,4,2,38;51,3,3,0,7,5,58,53,85,0.1238461538461538,0.3333333333333333,0.3722581992897431,0.6973684210526315,0.3026315789473685,0.5,0.3360743705234816,baixa,1.0,1.0,1.0
j6010_1.sm,10,1,21,5,2,28;43,8,6,4,0,11,52,41,85,0.166025641025641,0.4444444444444444,0.5097138082306246,0.5394736842105263,0.4605263157894737,0.5,0.4715615228215142,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,22,10,3,32;34;37,10,0,0,0,22,22,0,85,0.0833333333333333,1.0,0.2402339669939419,0.0,1.0,1.0,0.7467446556646473,muito alta,2.985046237095499,1.87825,4.15626
j6010_1.sm,10,1,23,8,1,53,5,0,3,4,20,62,42,85,0.1129166666666666,0.7777777777777778,0.3366409024441195,0.5526315789473685,0.4473684210526315,0.0,0.5205957004248429,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,24,1,1,49,7,6,10,1,7,56,49,85,0.2301923076923077,0.0,0.7188218090662211,0.6447368421052632,0.3552631578947368,0.0,0.3580283223203193,baixa,1.0,1.0,1.0
j6010_1.sm,10,1,25,3,2,36;39,2,4,0,8,25,63,38,85,0.1351282051282051,0.2222222222222222,0.4090244411949028,0.5,0.5,0.5,0.3770822211390416,baixa,1.0,1.0,1.0
j6010_1.sm,10,1,26,8,2,41;53,0,4,1,1,17,51,34,85,0.0588782051282051,0.7777777777777778,0.1605389596824733,0.4473684210526316,0.5526315789473684,0.5,0.4969827721358731,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,27,8,1,29,0,6,0,2,18,71,53,85,0.0776923076923077,0.7777777777777778,0.221850846041362,0.6973684210526315,0.3026315789473685,0.0,0.4340867342555027,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,28,8,1,39,8,3,7,9,16,58,42,85,0.2584294871794872,0.7777777777777778,0.8108418633799876,0.5526315789473685,0.4473684210526315,0.0,0.6786626874034656,muito alta,2.985046237095499,1.87825,4.15626
j6010_1.sm,10,1,29,5,1,61,10,0,10,8,26,79,53,85,0.2675,0.4444444444444444,0.8404010862753291,0.6973684210526315,0.3026315789473685,0.0,0.529159036555714,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,30,3,1,31,8,6,4,4,13,43,30,85,0.206025641025641,0.2222222222222222,0.6400668477125548,0.3947368421052631,0.6052631578947368,0.0,0.4891840759431712,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,31,7,1,35,7,4,0,2,16,46,30,85,0.1167948717948718,0.6666666666666666,0.3492792980990182,0.3947368421052631,0.6052631578947368,0.0,0.5404030408868072,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,32,1,1,55,3,0,9,5,32,70,38,85,0.16875,0.0,0.5185920200543138,0.5,0.5,0.0,0.3395306733514379,baixa,1.0,1.0,1.0
j6010_1.sm,10,1,33,8,2,42;45,5,1,1,0,17,42,25,85,0.0616987179487179,0.7777777777777778,0.1697305201587633,0.3289473684210526,0.6710526315789473,0.5,0.5395203098384962,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,34,10,1,44,9,9,4,7,32,32,0,85,0.2732051282051282,1.0,0.8589931063296428,0.0,1.0,0.0,0.9529977021098808,muito alta,2.985046237095499,1.87825,4.15626
j6010_1.sm,10,1,35,2,2,43;48,6,9,5,1,23,53,30,85,0.1986217948717949,0.1111111111111111,0.6159390014622939,0.3947368421052631,0.6052631578947368,0.5,0.4441044234893806,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,36,3,1,51,4,5,4,4,28,71,43,85,0.1630769230769231,0.2222222222222222,0.500104449550867,0.5657894736842105,0.4342105263157895,0.0,0.3855123993629595,baixa,1.0,1.0,1.0
j6010_1.sm,10,1,37,7,1,59,6,6,10,0,32,70,38,85,0.2118589743589743,0.6666666666666666,0.6590766659703364,0.5,0.5,0.0,0.608581110879001,alta,2.36668955851816,1.72008,3.22851
j6010_1.sm,10,1,38,1,1,46,0,7,10,6,9,62,53,85,0.2314743589743589,0.0,0.7229997911008983,0.6973684210526315,0.3026315789473685,0.0,0.3418771233494222,baixa,1.0,1.0,1.0
j6010_1.sm,10,1,39,3,2,54;60,0,7,3,5,28,66,38,85,0.1485576923076923,0.2222222222222222,0.4527888030081471,0.5,0.5,0.5,0.3916703417434564,baixa,1.0,1.0,1.0
j6010_1.sm,10,1,40,2,1,46,5,8,6,10,11,61,50,85,0.2810897435897436,0.1111111111111111,0.8846876958429079,0.6578947368421053,0.3421052631578947,0.0,0.4459680233706378,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,41,5,1,42,2,10,2,7,25,59,34,85,0.2036538461538461,0.4444444444444444,0.632337580948402,0.4473684210526316,0.5526315789473684,0.0,0.5431378681134049,alta,2.36668955851816,1.72008,3.22851
j6010_1.sm,10,1,42,3,1,56,0,1,0,0,30,64,34,85,0.0096153846153846,0.2222222222222222,0.0,0.4473684210526316,0.5526315789473684,0.0,0.2582846003898635,baixa,1.0,1.0,1.0
j6010_1.sm,10,1,43,10,1,56,0,8,1,6,25,57,32,85,0.1473397435897436,1.0,0.4488197200752037,0.4210526315789473,0.5789473684210527,0.0,0.6759223628320854,muito alta,2.985046237095499,1.87825,4.15626
j6010_1.sm,10,1,44,8,1,45,8,7,5,0,42,42,0,85,0.1860576923076923,0.7777777777777778,0.5749947775224566,0.0,1.0,0.0,0.7842575184334115,muito alta,2.985046237095499,1.87825,4.15626
j6010_1.sm,10,1,45,5,2,48;55,3,0,10,8,50,50,0,85,0.2091666666666666,0.4444444444444444,0.6503029036975141,0.0,1.0,0.5,0.6982491160473194,muito alta,2.985046237095499,1.87825,4.15626
j6010_1.sm,10,1,46,8,1,55,5,2,1,3,25,63,38,85,0.1013141025641025,0.7777777777777778,0.2988301650302903,0.5,0.5,0.0,0.5255359809360227,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,47,8,1,53,6,0,0,1,22,62,40,85,0.06,0.7777777777777778,0.1641946939628159,0.5263157894736842,0.4736842105263158,0.0,0.4718855607556365,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,48,2,2,49;51,9,0,4,8,55,55,0,85,0.1966666666666666,0.1111111111111111,0.6095675788594109,0.0,1.0,0.5,0.5735595633235073,alta,2.36668955851816,1.72008,3.22851
j6010_1.sm,10,1,49,8,1,52,8,2,0,0,57,57,0,85,0.0858974358974359,0.7777777777777778,0.2485899310632964,0.0,1.0,0.0,0.6754559029470246,muito alta,2.985046237095499,1.87825,4.15626
j6010_1.sm,10,1,50,6,1,58,0,10,5,5,1,77,76,85,0.1982371794871795,0.5555555555555556,0.6146856068518907,1.0,0.0,0.0,0.3900803874691487,baixa,1.0,1.0,1.0
j6010_1.sm,10,1,51,1,1,57,8,1,0,9,57,74,17,85,0.1662820512820512,0.0,0.51054940463756,0.2236842105263158,0.7763157894736842,0.0,0.428955064703748,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,52,2,1,56,2,0,4,7,65,65,0,85,0.1283333333333333,0.1111111111111111,0.3868811364111135,0.0,1.0,0.0,0.4993307491740748,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,53,6,1,60,0,7,0,2,30,70,40,85,0.0873076923076923,0.5555555555555556,0.2531857113014414,0.5263157894736842,0.4736842105263158,0.0,0.4274751591277709,media,1.935477655585504,1.75809,2.59922
j6010_1.sm,10,1,54,6,1,57,8,0,4,9,31,69,38,85,0.1983333333333333,0.5555555555555556,0.6149989555044914,0.5,0.5,0.0,0.5568515036866822,alta,2.36668955851816,1.72008,3.22851
j6010_1.sm,10,1,55,6,1,59,7,0,7,9,55,71,16,85,0.22125,0.5555555555555556,0.6896803843743472,0.2105263157894736,0.7894736842105263,0.0,0.678236541380143,muito alta,2.985046237095499,1.87825,4.15626
j6010_1.sm,10,1,56,9,1,60,10,5,0,0,67,67,0,85,0.1314102564102564,0.8888888888888888,0.3969082932943388,0.0,1.0,0.0,0.7619323940610758,muito alta,2.985046237095499,1.87825,4.15626
j6010_1.sm,10,1,57,2,1,59,0,0,0,7,58,75,17,85,0.07,0.1111111111111111,0.1967829538332985,0.2236842105263158,0.7763157894736842,0.0,0.3614032848060312,baixa,1.0,1.0,1.0
j6010_1.sm,10,1,58,1,1,61,0,0,5,9,7,83,76,85,0.1420833333333333,0.0,0.4316899937330269,1.0,0.0,0.0,0.1438966645776756,baixa,1.0,1.0,1.0
j6010_1.sm,10,1,59,8,1,62,0,2,5,4,61,77,16,85,0.1113141025641025,0.7777777777777778,0.3314184249007729,0.2105263157894736,0.7894736842105263,0.0,0.632889962296359,alta,2.36668955851816,1.72008,3.22851
j6010_1.sm,10,1,60,9,1,62,1,3,9,0,76,76,0,85,0.1309294871794872,0.8888888888888888,0.3953415500313349,0.0,1.0,0.0,0.7614101463067413,muito alta,2.985046237095499,1.87825,4.15626
j6010_1.sm,10,1,61,1,1,62,9,7,10,7,31,84,53,85,0.316474358974359,0.0,1.0,0.6973684210526315,0.3026315789473685,0.0,0.4342105263157895,media,1.935477655585504,1.75809,2.59922
j6010_10.sm,10,10,2,5,1,25,10,5,6,8,0,54,54,73,0.2086461965998256,0.4444444444444444,0.8199950796481948,1.0,0.0,0.0,0.421479841364213,media,1.935477655585504,1.75809,2.59922
j6010_10.sm,10,10,3,10,2,34;41,0,7,0,5,0,26,26,73,0.0950100806451612,1.0,0.3069376960452672,0.4814814814814814,0.5185185185185186,0.5,0.6084854048545952,alta,2.36668955851816,1.72008,3.22851
j6010_10.sm,10,10,4,8,3,5;6;7,4,0,6,9,0,0,0,73,0.1371076721883173,0.7777777777777778,0.4970047358386126,0.0,1.0,1.0,0.7582608378721301,muito alta,2.985046237095499,1.87825,4.15626
j6010_10.sm,10,10,5,4,3,17;21;32,9,0,5,6,8,40,32,73,0.1404479075850043,0.3333333333333333,0.5120856141214097,0.5925925925925926,0.4074074074074074,1.0,0.4176087849540501,media,1.935477655585504,1.75809,2.59922
j6010_10.sm,10,10,6,1,3,8;10;20,7,1,5,4,8,8,0,73,0.1186178618134263,0.0,0.4135248170244172,0.0,1.0,1.0,0.471174939008139,media,1.935477655585504,1.75809,2.59922
j6010_10.sm,10,10,7,3,2,9;41,1,0,8,5,8,21,13,73,0.097079337401918,0.2222222222222222,0.3162802140353035,0.2407407407407407,0.7592592592592593,0.5,0.4325872318389283,media,1.935477655585504,1.75809,2.59922
j6010_10.sm,10,10,8,10,3,11;14;23,4,5,9,2,9,9,0,73,0.1384685592850915,1.0,0.5031490251552987,0.0,1.0,1.0,0.8343830083850996,muito alta,2.985046237095499,1.87825,4.15626
j6010_10.sm,10,10,9,7,3,12;13;22,0,8,2,9,11,24,13,73,0.1475806451612903,0.6666666666666666,0.5442893166861431,0.2407407407407407,0.7592592592592593,1.0,0.656738414204023,alta,2.36668955851816,1.72008,3.22851
j6010_10.sm,10,10,10,9,2,18;46,3,7,7,8,9,32,23,73,0.1832238993025283,0.8888888888888888,0.7052155729134633,0.4259259259259259,0.5740740740740741,0.5,0.7227261786254753,muito alta,2.985046237095499,1.87825,4.15626
j6010_10.sm,10,10,11,1,2,15;39,0,7,10,0,19,43,24,73,0.1171875,0.0,0.4070668552801525,0.4444444444444444,0.5555555555555556,0.5,0.320874136945236,baixa,1.0,1.0,1.0
j6010_10.sm,10,10,12,8,1,49,5,2,9,0,18,46,28,73,0.1056587837837838,0.7777777777777778,0.355015683621379,0.5185185185185185,0.4814814814814815,0.0,0.5380916476268793,media,1.935477655585504,1.75809,2.59922
