metrica,fator,nivel,n_inst,media,ic95_inf,ic95_sup,N_inst,exclui_zero
atraso_relativo,NC,1.5,16,-1.2814875424991152,-1.4271713047709689,-1.1358037802272616,16,True
taxa_omissao,NC,1.5,16,-0.23975694444444445,-0.25216710375151163,-0.22734678513737727,16,True
divida_latente_sobre_plano,NC,1.5,16,-0.09128163709251455,-0.0999888309470252,-0.0825744432380039,16,True
taxa_falha_efetiva,NC,1.5,16,-0.04045138888888889,-0.05575019303838132,-0.02515258473939646,16,True
fracao_porta1,NC,1.5,16,-0.10182291666666668,-0.13102489989220645,-0.0726209334411269,16,True
atraso_relativo,NC,1.8065,16,-1.0496554143455121,-1.1393046217481178,-0.9600062069429065,16,True
taxa_omissao,NC,1.8065,16,-0.21814236111111113,-0.23249436632243445,-0.2037903558997878,16,True
divida_latente_sobre_plano,NC,1.8065,16,-0.0764420688519028,-0.0851574225453539,-0.0677267151584517,16,True
taxa_falha_efetiva,NC,1.8065,16,-0.0388888888888889,-0.053158046072129234,-0.024619731705648573,16,True
fracao_porta1,NC,1.8065,16,-0.10017361111111112,-0.11898962582035047,-0.08135759640187176,16,True
atraso_relativo,NC,2.1129,16,-1.084876290455092,-1.1986527259462167,-0.9710998549639672,16,True
taxa_omissao,NC,2.1129,16,-0.21796875,-0.2323512539120373,-0.2035862460879627,16,True
divida_latente_sobre_plano,NC,2.1129,16,-0.07693970469524516,-0.08496263849033786,-0.06891677090015247,16,True
taxa_falha_efetiva,NC,2.1129,16,-0.03177083333333333,-0.044359197422014475,-0.019182469244652188,16,True
fracao_porta1,NC,2.1129,16,-0.08802083333333334,-0.10849485481470006,-0.06754681185196662,16,True
atraso_relativo,RF,0.25,12,-1.0470156929223395,-1.17364139184698,-0.9203899939976992,12,True
taxa_omissao,RF,0.25,12,-0.22060185185185185,-0.2376753788521664,-0.2035283248515373,12,True
divida_latente_sobre_plano,RF,0.25,12,-0.07805863503485001,-0.08790999652506286,-0.06820727354463717,12,True
taxa_falha_efetiva,RF,0.25,12,-0.0394675925925926,-0.05995146504151194,-0.01898372014367326,12,True
fracao_porta1,RF,0.25,12,-0.11377314814814815,-0.15183611551439863,-0.07571018078189767,12,True
atraso_relativo,RF,0.5042,12,-1.145989593684652,-1.3414798517834716,-0.9504993355858325,12,True
taxa_omissao,RF,0.5042,12,-0.21631944444444443,-0.22799099081905416,-0.2046478980698347,12,True
divida_latente_sobre_plano,RF,0.5042,12,-0.07677583033958287,-0.08687481077934697,-0.06667684989981876,12,True
taxa_falha_efetiva,RF,0.5042,12,-0.04571759259259261,-0.061767913032680324,-0.029667272152504892,12,True
fracao_porta1,RF,0.5042,12,-0.09733796296296297,-0.11924147344877162,-0.07543445247715433,12,True
atraso_relativo,RF,0.7542,12,-1.108792780935587,-1.2119024926566557,-1.0056830692145184,12,True
