arquivo,combinacao,instancia,n_nos,n_atividades_reais,n_arcos,aciclico,n_recursos_renovaveis,n_recursos_nao_renovaveis,horizonte,NC,RF,RS,duracao_media,duracao_maxima,makespan_sem_recursos,disponibilidades
j6010_9.sm,10,9,62,60,93,True,4,0,358,1.5,0.754167,0.502273,5.9667,10,73,30;28;33;38
j6011_8.sm,11,8,62,60,93,True,4,0,358,1.5,0.754167,0.704167,5.9667,10,69,38;44;44;45
j6012_7.sm,12,7,62,60,93,True,4,0,349,1.5,0.754167,1.0,5.8167,10,71,62;47;58;68
j6013_3.sm,13,3,62,60,93,True,4,0,331,1.5,1.0,0.199092,5.5167,10,57,21;27;24;26
j6014_5.sm,14,5,62,60,93,True,4,0,312,1.5,1.0,0.506054,5.2,10,59,41;40;45;39
j6015_3.sm,15,3,62,60,93,True,4,0,341,1.5,1.0,0.702053,5.6833,10,72,63;52;50;49
j6016_3.sm,16,3,62,60,93,True,4,0,308,1.5,1.0,1.0,5.1333,10,53,61;69;69;94
j6017_4.sm,17,4,62,60,112,True,4,0,305,1.806452,0.25,0.200645,5.0833,10,69,13;12;12;11
j6018_8.sm,18,8,62,60,112,True,4,0,333,1.806452,0.25,0.552473,5.55,10,78,14;13;22;17
j6019_7.sm,19,7,62,60,112,True,4,0,315,1.806452,0.25,0.712124,5.25,10,60,16;23;24;20
j601_5.sm,1,5,62,60,93,True,4,0,308,1.5,0.25,0.202305,5.1333,10,68,13;7;14;14
j6020_4.sm,20,4,62,60,112,True,4,0,338,1.806452,0.25,1.0,5.6333,10,86,21;35;22;35
j6021_7.sm,21,7,62,60,112,True,4,0,334,1.806452,0.504167,0.200812,5.5667,10,80,15;15;16;15
j6022_2.sm,22,2,62,60,112,True,4,0,357,1.806452,0.504167,0.505685,5.95,10,83,28;18;32;33
j6023_4.sm,23,4,62,60,112,True,4,0,334,1.806452,0.504167,0.699163,5.5667,10,83,28;27;29;19
j6024_3.sm,24,3,62,60,112,True,4,0,313,1.806452,0.504167,1.0,5.2167,10,67,24;40;33;46
j6025_8.sm,25,8,62,60,112,True,4,0,326,1.806452,0.754167,0.206133,5.4333,10,57,16;19;20;18
j6026_3.sm,26,3,62,60,112,True,4,0,347,1.806452,0.754167,0.510894,5.7833,10,71,28;25;29;30
j6027_2.sm,27,2,62,60,112,True,4,0,277,1.806452,0.754167,0.700168,4.6167,10,74,29;33;24;31
j6028_4.sm,28,4,62,60,112,True,4,0,331,1.806452,0.754167,1.0,5.5167,10,84,36;53;44;33
j6029_7.sm,29,7,62,60,112,True,4,0,308,1.806452,1.0,0.200271,5.1333,10,73,20;18;20;16
j602_10.sm,2,10,62,60,93,True,4,0,386,1.5,0.25,0.509615,6.4333,10,64,17;16;23;15
j6030_5.sm,30,5,62,60,112,True,4,0,363,1.806452,1.0,0.50266,6.05,10,72,34;36;39;37
j6031_3.sm,31,3,62,60,112,True,4,0,322,1.806452,1.0,0.700075,5.3667,10,66,54;46;44;43
j6032_9.sm,32,9,62,60,112,True,4,0,373,1.806452,1.0,1.0,6.2167,10,74,52;41;49;49
j6033_1.sm,33,1,62,60,131,True,4,0,346,2.112903,0.25,0.2125,5.7667,10,90,12;13;10;12
j6034_10.sm,34,10,62,60,131,True,4,0,361,2.112903,0.25,0.507353,6.0167,10,92,19;11;18;15
j6035_9.sm,35,9,62,60,131,True,4,0,318,2.112903,0.25,0.71772,5.3,10,73,19;25;16;15
j6036_9.sm,36,9,62,60,131,True,4,0,344,2.112903,0.25,1.0,5.7333,10,86,23;19;28;26
j6037_6.sm,37,6,62,60,131,True,4,0,346,2.112903,0.504167,0.192593,5.7667,10,62,15;15;15;15
j6038_7.sm,38,7,62,60,131,True,4,0,343,2.112903,0.504167,0.507353,5.7167,10,74,19;18;25;35
j6039_2.sm,39,2,62,60,131,True,4,0,358,2.112903,0.504167,0.70813,5.9667,10,84,23;34;28;29
j603_9.sm,3,9,62,60,93,True,4,0,324,1.5,0.25,0.696709,5.4,10,63,33;14;24;25
j6040_8.sm,40,8,62,60,131,True,4,0,351,2.112903,0.504167,1.0,5.85,10,80,38;34;26;36
j6041_6.sm,41,6,62,60,131,True,4,0,339,2.112903,0.754167,0.190046,5.65,10,82,17;16;15;16
j6042_1.sm,42,1,62,60,131,True,4,0,328,2.112903,0.754167,0.509885,5.4667,10,83,27;31;28;31
j6043_10.sm,43,10,62,60,131,True,4,0,294,2.112903,0.754167,0.705197,4.9,10,78,42;24;32;31
j6044_9.sm,44,9,62,60,131,True,4,0,325,2.112903,0.754167,1.0,5.4167,10,65,49;41;43;34
j6045_8.sm,45,8,62,60,131,True,4,0,362,2.112903,1.0,0.199183,6.0333,10,79,20;18;19;18
j6046_10.sm,46,10,62,60,131,True,4,0,345,2.112903,1.0,0.503788,5.75,10,79,27;32;28;26
j6047_4.sm,47,4,62,60,131,True,4,0,316,2.112903,1.0,0.699748,5.2667,10,76,44;39;37;30
j6048_4.sm,48,4,62,60,131,True,4,0,303,2.112903,1.0,1.0,5.05,10,62,56;41;55;47
j604_10.sm,4,10,62,60,93,True,4,0,321,1.5,0.25,1.0,5.35,10,77,22;17;12;29
j605_8.sm,5,8,62,60,93,True,4,0,323,1.5,0.504167,0.197914,5.3833,10,65,17;14;13;19
j606_4.sm,6,4,62,60,93,True,4,0,342,1.5,0.504167,0.509032,5.7,10,67,23;26;31;27
j607_9.sm,7,9,62,60,93,True,4,0,297,1.5,0.504167,0.709681,4.95,10,44,28;28;50;33
j608_3.sm,8,3,62,60,93,True,4,0,315,1.5,0.504167,1.0,5.25,10,79,38;25;34;35
j609_2.sm,9,2,62,60,93,True,4,0,284,1.5,0.754167,0.209124,4.7333,10,71,17;19;19;18
