concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,arquivo,semente,cenario,violacoes,atraso_relativo,fracao_porta1
True,205,85,0.7370267955765616,8.881784197001252e-16,28.728401772333918,246.0,535.0,0.0,121.0,69.8894835451404,46,14,2,0,0.23333333333333334,0.26666666666666666,323.0,0.17788585969395274,0.2163761100468743,0.08894242034778303,0.09628116280705729,31,0,0,121,29,121,22,4,99,0.6268507180531939,0.4857196752206667,16,60,0,0,99,0,0.6268507180531939,nenhuma,69.88948354514038,0.0,78,0,terminal,0.25,j6010_1.sm,0,centralizada,0,2.411764705882353,0.5166666666666667
True,122,85,0.7193397638598709,0.0,7.61935030585853,300.0,382.0,80.0,32.0,37.04251869831918,56,4,6,0,0.06666666666666667,0.16666666666666666,323.0,0.10288373393298371,0.11468272042823274,0.02358931983237935,0.0697543367885439,28,0,80,32,32,112,8,3,0,0.6268507180531939,0.4857196752206667,16,60,104,24,0,80,0.6268507180531939,nenhuma,37.04251869831918,0.0,43,0,terminal,0.9700000000000001,j6010_1.sm,0,adaptativa,0,1.4352941176470588,0.4666666666666667
True,258,85,0.7889525317171706,8.881784197001252e-16,26.058350884234635,240.0,518.0,0.0,65.0,73.56675043879109,46,14,3,0,0.23333333333333334,0.2833333333333333,323.0,0.18550912389248805,0.22776083727179905,0.080676008929519,0.11204763322179441,30,0,0,65,30,65,7,6,58,0.6586427040007742,0.39362113220747674,14,60,0,0,58,0,0.6586427040007742,nenhuma,73.56675043879109,0.0,81,0,terminal,0.25,j6010_1.sm,1,centralizada,0,3.0352941176470587,0.5
True,123,85,0.6852080146252651,0.0,6.190084017686869,315.0,359.0,93.0,39.0,32.92848936002933,59,1,9,0,0.016666666666666666,0.16666666666666666,323.0,0.09251434022389103,0.10194578749235088,0.019164346803984114,0.06284920562394113,16,0,93,39,44,132,21,1,0,0.6586427040007742,0.39362113220747674,14,60,111,18,0,93,0.6586427040007742,nenhuma,32.92848936002933,0.0,35,0,terminal,0.9633333333333334,j6010_1.sm,1,adaptativa,0,1.4470588235294117,0.26666666666666666
True,202,85,0.7415189205961639,0.0,40.93907194926345,214.0,525.0,0.0,98.0,85.0062091711865,41,19,3,0,0.31666666666666665,0.36666666666666664,323.0,0.2083453811741394,0.263177118177048,0.12674635278409738,0.12006421422588559,33,0,0,98,27,98,8,17,90,0.7659648859265082,0.2570239140832174,4,60,0,0,90,0,0.7659648859265082,nenhuma,85.0062091711865,0.0,95,0,terminal,0.25,j6010_1.sm,2,centralizada,0,2.376470588235294,0.55
True,137,85,0.7081461578716822,0.0,4.021882301250375,298.0,420.0,57.0,52.0,64.09790123313071,55,5,12,0,0.08333333333333333,0.2833333333333333,323.0,0.16558576274617307,0.19844551465365545,0.012451647991487227,0.1080730535378097,36,0,57,52,24,109,8,24,0,0.7659648859265082,0.2570239140832174,4,60,101,44,0,57,0.7659648859265082,nenhuma,64.09790123313071,0.0,71,0,terminal,0.8933333333333332,j6010_1.sm,2,adaptativa,0,1.611764705882353,0.6
True,222,85,0.6511766849779445,0.0,16.28224947320143,262.0,526.0,0.0,207.0,74.76847840892171,47,13,5,0,0.21666666666666667,0.3,323.0,0.18796984292972746,0.2314813573031632,0.05040944109350287,0.09256176789195182,40,0,0,207,20,207,3,2,204,0.794910294566222,0.24332019624229823,3,60,0,0,204,0,0.794910294566222,nenhuma,74.76847840892171,0.0,81,0,terminal,0.25,j6010_1.sm,3,centralizada,0,2.611764705882353,0.6666666666666666
True,149,85,0.6449360781624025,8.881784197001252e-16,5.085930124891899,303.0,406.0,112.0,57.0,54.51975203000572,55,5,14,0,0.08333333333333333,0.31666666666666665,323.0,0.14441562788924597,0.1687918019504821,0.015745913699355723,0.086605308021228,29,0,112,57,31,169,3,11,0,0.794910294566222,0.24332019624229823,3,60,166,54,0,112,0.794910294566222,nenhuma,54.51975203000572,0.0,60,0,terminal,0.8766666666666666,j6010_1.sm,3,adaptativa,0,1.7529411764705882,0.48333333333333334
True,251,85,0.6995082932743885,0.0,30.304565184460557,240.0,525.0,0.0,147.0,78.52719895926086,45,15,4,0,0.25,0.31666666666666665,323.0,0.19557130665817798,0.24311826303176737,0.09382218323362401,0.10462938460878267,36,0,0,147,24,147,9,2,138,0.7496468789669437,0.35303232464984247,6,60,0,0,138,0,0.7496468789669437,nenhuma,78.52719895926086,0.0,85,0,terminal,0.25,j6010_1.sm,4,centralizada,0,2.9529411764705884,0.6
True,150,85,0.5819768469572012,0.0,5.357262549917917,277.0,393.0,174.0,61.0,47.284596036346066,54,6,6,0,0.1,0.2,323.0,0.12769798296363577,0.14639193819302188,0.016585952166928535,0.07002173056202965,23,0,174,61,37,235,8,5,0,0.7496468789669437,0.35303232464984247,6,60,227,53,0,174,0.7496468789669437,nenhuma,47.28459603634607,0.0,53,0,terminal,0.9133333333333332,j6010_1.sm,4,adaptativa,0,1.7647058823529411,0.38333333333333336
