concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,arquivo,semente,cenario,violacoes,atraso_relativo,fracao_porta1
True,195,74,0.6795144129173775,0.0,40.112266505716036,249.0,643.0,0.0,178.0,125.26396111215783,41,19,3,0,0.31666666666666665,0.36666666666666664,373.0,0.2514008053734419,0.33582831397361346,0.10753958848717436,0.13237739812571248,47,0,0,178,13,178,25,2,153,0.6268507180531939,0.4857196752206667,30,60,0,0,153,0,0.6268507180531939,nenhuma,125.26396111215782,0.0,137,0,terminal,0.25,j6032_9.sm,0,centralizada,0,2.635135135135135,0.7833333333333333
True,158,74,0.6326158666841615,0.0,17.26091638210636,330.0,468.0,122.0,59.0,90.78542848286284,54,6,12,0,0.1,0.3,373.0,0.19574877283195505,0.2433925696591497,0.046275915233529114,0.12271859513243426,37,0,122,59,23,181,15,13,0,0.6268507180531939,0.4857196752206667,30,60,166,44,0,122,0.6268507180531939,nenhuma,90.78542848286284,0.0,99,0,terminal,0.9583333333333334,j6032_9.sm,0,adaptativa,0,2.135135135135135,0.6166666666666667
True,224,74,0.6861524412222526,0.0,68.5478128000119,209.0,644.0,0.0,130.0,164.5669441805586,38,22,3,0,0.36666666666666664,0.4166666666666667,373.0,0.3061329309067108,0.4411982417709346,0.18377429705097023,0.1753385256117647,44,0,0,130,16,130,4,16,126,0.6586427040007742,0.39362113220747674,23,60,0,0,126,0,0.6586427040007742,nenhuma,164.5669441805586,0.0,174,0,terminal,0.25,j6032_9.sm,1,centralizada,0,3.027027027027027,0.7333333333333333
True,171,74,0.641120326746133,0.0,5.070872474789767,337.0,505.0,112.0,47.0,123.68365146526838,54,6,19,0,0.1,0.4166666666666667,373.0,0.24901897032525383,0.331591558888119,0.013594832372090528,0.15702198621894592,37,0,112,47,23,159,16,10,0,0.6586427040007742,0.39362113220747674,23,60,143,31,0,112,0.6586427040007742,nenhuma,123.68365146526838,0.0,134,0,terminal,0.9533333333333333,j6032_9.sm,1,adaptativa,0,2.310810810810811,0.6166666666666667
True,212,74,0.6931105651522715,0.0,66.76496712290104,194.0,642.0,0.0,134.0,150.25914576696303,36,24,1,0,0.4,0.4166666666666667,373.0,0.28716009453923996,0.40283953288730034,0.17899454992734865,0.1622214975729553,43,0,0,134,17,134,2,11,132,0.7659648859265082,0.2570239140832174,11,60,0,0,132,0,0.7659648859265082,nenhuma,150.25914576696303,0.0,159,0,terminal,0.25,j6032_9.sm,2,centralizada,0,2.864864864864865,0.7166666666666667
True,173,74,0.6511210482390981,0.0,11.549233545136195,317.0,503.0,95.0,60.0,114.5138073178882,52,8,20,0,0.13333333333333333,0.4666666666666667,373.0,0.23489346475723163,0.3070075263214161,0.030963092614306152,0.1482352887846391,39,0,95,60,21,155,4,9,0,0.7659648859265082,0.2570239140832174,11,60,151,56,0,95,0.7659648859265082,nenhuma,114.51380731788822,0.0,126,0,terminal,0.9023771572308233,j6032_9.sm,2,adaptativa,0,2.3378378378378377,0.65
True,278,74,0.6458483912124535,9.769962616701378e-15,49.44078370615304,197.0,652.0,0.0,184.0,173.5248495951164,35,25,4,0,0.4166666666666667,0.48333333333333334,373.0,0.3175058731980244,0.4652140739815453,0.13254901797896257,0.17188764562329584,49,0,0,184,11,184,0,5,184,0.794910294566222,0.24332019624229823,9,60,0,0,184,0,0.794910294566222,nenhuma,173.5248495951164,0.0,186,0,terminal,0.25,j6032_9.sm,3,centralizada,0,3.7567567567567566,0.8166666666666667
True,164,74,0.6087236536461913,0.0,5.896956412694914,345.0,484.0,136.0,67.0,108.10628033080428,56,4,17,0,0.06666666666666667,0.35,373.0,0.22470353173621302,0.28982916978767903,0.015809534618485024,0.13596456600220364,44,0,136,67,16,203,5,17,0,0.794910294566222,0.24332019624229823,9,60,198,62,0,136,0.794910294566222,nenhuma,108.1062803308043,0.0,115,0,terminal,0.8933333333333332,j6032_9.sm,3,adaptativa,0,2.2162162162162162,0.7333333333333333
True,267,74,0.6259473586434401,0.0,46.223484456746654,244.0,634.0,0.0,235.0,143.8647261552659,41,19,2,0,0.31666666666666665,0.35,373.0,0.278341157512167,0.3856963167701499,0.12392355082237709,0.1420374532158526,45,0,0,235,15,235,6,29,229,0.7496468789669437,0.35303232464984247,11,60,0,0,229,0,0.7496468789669437,nenhuma,143.86472615526594,0.0,155,0,terminal,0.25,j6032_9.sm,4,centralizada,0,3.608108108108108,0.75
True,161,74,0.6043864513104681,0.0,12.3830461283193,350.0,503.0,154.0,85.0,90.24896737735317,57,3,15,0,0.05,0.3,373.0,0.19481741726979004,0.24195433613231412,0.03319851508932788,0.10843986705294767,42,0,154,85,18,239,7,28,0,0.7496468789669437,0.35303232464984247,11,60,232,78,0,154,0.7496468789669437,nenhuma,90.24896737735318,0.0,99,0,terminal,0.8854693686428181,j6032_9.sm,4,adaptativa,0,2.175675675675676,0.7
True,177,74,0.7193176568071182,0.0,34.71407300967984,259.0,611.0,0.0,118.0,120.41610179859227,44,16,7,0,0.26666666666666666,0.38333333333333336,373.0,0.24404574832408887,0.3228313721141884,0.09306721986509342,0.14176338492243992,43,0,0,118,17,118,9,18,109,0.6863255838987572,0.3910769205246226,19,60,0,0,109,0,0.6863255838987572,nenhuma,120.41610179859228,0.0,128,0,terminal,0.25,j6032_9.sm,5,centralizada,0,2.391891891891892,0.7166666666666667
True,154,74,0.6077028417650376,0.0,8.215443238013918,345.0,481.0,94.0,76.0,140.5052669540978,54,6,26,0,0.1,0.5333333333333333,373.0,0.2736199139446364,0.3766897237375276,0.02202531699199442,0.17751652808931492,44,0,94,76,16,170,6,23,0,0.6863255838987572,0.3910769205246226,19,60,164,70,0,94,0.6863255838987572,nenhuma,140.5052669540978,0.0,154,0,terminal,0.9499999999999998,j6032_9.sm,5,adaptativa,0,2.081081081081081,0.7333333333333333
True,266,74,0.7359639278054675,0.0,49.42870867535984,206.0,652.0,0.0,80.0,153.9129848172924,35,25,3,0,0.4166666666666667,0.4666666666666667,373.0,0.2921032300440686,0.41263534803563645,0.1325166452422516,0.17373374976441378,34,0,0,80,26,80,2,8,78,0.7631789564580391,0.24360497938515846,11,60,0,0,78,0,0.7631789564580391,nenhuma,153.91298481729237,0.0,166,0,terminal,0.25,j6032_9.sm,6,centralizada,0,3.5945945945945947,0.5666666666666667
