cenario,tau_sat,s_transicao,concl_P0.3,concl_P1.0,frac_P0.3,frac_P1.0,razao,razao_local_publicada
adaptativa,0.7,0.01,1.0,1.0,0.034896,0.822917,23.58209,1.921917
adaptativa,0.7,0.25,1.0,1.0,0.439583,0.877344,1.995853,1.686143
adaptativa,0.7,0.6,1.0,1.0,0.614062,0.890885,1.450806,1.316945
adaptativa,1.0,0.01,1.0,1.0,0.030469,0.645052,21.17094,1.377939
adaptativa,1.0,0.25,1.0,1.0,0.274219,0.806771,2.94207,1.574522
adaptativa,1.0,0.6,1.0,1.0,0.534115,0.857812,1.606046,1.36194
adaptativa,1.4,0.01,1.0,1.0,0.029427,0.444792,15.115044,1.277388
adaptativa,1.4,0.25,1.0,1.0,0.111198,0.721615,6.489461,1.387503
adaptativa,1.4,0.6,1.0,1.0,0.419792,0.803125,1.913151,1.401783
centralizada,0.7,0.01,0.09375,1.0,0.051515,0.83776,16.262408,1.563834
centralizada,0.7,0.25,1.0,1.0,0.486979,0.88125,1.809626,1.463428
centralizada,0.7,0.6,1.0,1.0,0.65026,0.896615,1.378855,1.25361
centralizada,1.0,0.01,0.09375,0.546875,0.050505,0.65,12.87,1.275166
centralizada,1.0,0.25,1.0,1.0,0.373177,0.822135,2.20307,1.389209
centralizada,1.0,0.6,1.0,1.0,0.563281,0.865885,1.537217,1.289699
centralizada,1.4,0.01,0.078125,0.34375,0.042424,0.397475,9.369048,1.226904
centralizada,1.4,0.25,1.0,1.0,0.273177,0.755208,2.764538,1.294193
centralizada,1.4,0.6,1.0,1.0,0.471094,0.823177,1.747374,1.330191
