concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,arquivo,semente,cenario,violacoes,atraso_relativo,fracao_porta1,fracao_fuga
True,202,63,0.8144885116822653,0.0,24.034788278904887,245.0,545.0,16.0,55.0,53.13159876784889,49,11,1,15,0.18333333333333332,0.2,324.0,0.14088344477481754,0.1639864159501509,0.074181445305262,0.07940381064903583,36,15,16,40,24,56,17,2,14,0.6268507180531939,0.4857196752206667,17,60,25,9,14,16,0.6268507180531939,nenhuma,53.13159876784889,0.0,58,0,terminal,0.394695972708278,j603_9.sm,0,centralizada,0,3.2063492063492065,0.6,0.2
True,137,63,0.6901134206554683,0.0,6.535339365342759,305.0,418.0,71.0,53.0,63.697538243763525,56,4,13,13,0.06666666666666667,0.2833333333333333,324.0,0.16429698917436486,0.1965973402585294,0.02017080051031716,0.10516393781037357,23,13,71,40,37,111,20,3,1,0.6268507180531939,0.4857196752206667,17,60,90,19,1,71,0.6268507180531939,nenhuma,63.697538243763525,0.0,69,0,terminal,0.995,j603_9.sm,0,adaptativa,0,2.1746031746031744,0.38333333333333336,0.1780821917808219
True,253,63,0.7171239671184124,6.661338147750939e-16,42.32730406676762,225.0,511.0,34.0,93.0,74.56857033147102,42,18,3,10,0.3,0.35,324.0,0.18709094465089354,0.23014990843046612,0.1306398273665667,0.10464757138640479,34,10,34,83,26,117,19,26,22,0.6586427040007742,0.39362113220747674,13,60,76,42,22,34,0.6586427040007742,nenhuma,74.56857033147102,0.0,83,0,terminal,0.507932265808092,j603_9.sm,1,centralizada,0,4.015873015873016,0.5666666666666667,0.14285714285714285
True,134,63,0.7062905278256894,0.0,8.42104290888418,310.0,398.0,69.0,42.0,54.50748639549276,58,2,10,0,0.03333333333333333,0.2,324.0,0.14400636276593823,0.16823298270213816,0.025990873175568457,0.09672894808222152,19,0,69,42,41,111,8,18,0,0.6586427040007742,0.39362113220747674,13,60,103,34,0,69,0.6586427040007742,nenhuma,54.50748639549276,0.0,59,0,terminal,0.9633333333333333,j603_9.sm,1,adaptativa,0,2.126984126984127,0.31666666666666665,0.0
True,298,63,0.7078180643365717,6.217248937900877e-15,32.68870707052762,217.0,503.0,34.0,89.0,84.63459007853255,45,15,0,9,0.25,0.25,324.0,0.20711557986872145,0.2612178706127548,0.10089107120533217,0.11909720024911755,30,9,34,80,30,114,0,11,33,0.7659648859265082,0.2570239140832174,2,60,81,47,33,34,0.7659648859265082,nenhuma,84.63459007853255,0.0,91,0,terminal,0.5829953019543617,j603_9.sm,2,centralizada,0,4.73015873015873,0.5,0.13043478260869565
True,143,63,0.6846191318317507,0.0,2.5,319.0,447.0,57.0,75.0,73.91777459390798,59,1,16,11,0.016666666666666666,0.2833333333333333,324.0,0.1857614294042135,0.22814127961082709,0.007716049382716049,0.11321146011055105,33,11,57,64,27,121,0,34,2,0.7659648859265082,0.2570239140832174,2,60,119,62,2,57,0.7659648859265082,nenhuma,73.91777459390796,0.0,81,0,terminal,0.8762827075429441,j603_9.sm,2,adaptativa,0,2.2698412698412698,0.55,0.15492957746478872
True,222,63,0.6608364922017754,0.0,24.9691759190601,248.0,477.0,72.0,118.0,54.81243867258465,48,12,2,14,0.2,0.23333333333333334,324.0,0.14469545631779043,0.16917419343390325,0.07706535777487684,0.07593723207843979,31,14,72,104,29,176,0,16,43,0.794910294566222,0.24332019624229823,2,60,133,61,43,72,0.794910294566222,nenhuma,54.81243867258465,0.0,60,0,terminal,0.7166666666666667,j603_9.sm,3,centralizada,0,3.5238095238095237,0.5166666666666667,0.1891891891891892
True,149,63,0.6153700717626617,0.0,14.818702384812273,300.0,424.0,124.0,72.0,69.01628378757091,57,3,11,8,0.05,0.23333333333333334,324.0,0.1756066774700737,0.2130132215665769,0.045736735755593436,0.10016640449799466,29,8,124,64,31,188,0,18,8,0.794910294566222,0.24332019624229823,2,60,180,56,8,124,0.794910294566222,nenhuma,69.0162837875709,0.0,75,0,terminal,0.8866666666666666,j603_9.sm,3,adaptativa,0,2.365079365079365,0.48333333333333334,0.11764705882352941
True,162,63,0.7121642995978007,0.0,20.079073156811187,266.0,504.0,61.0,83.0,59.70186077094461,50,10,3,5,0.16666666666666666,0.21666666666666667,324.0,0.15559439990984134,0.18426500237945867,0.06197244801484934,0.08436018623139917,20,5,61,78,40,139,0,4,26,0.7496468789669437,0.35303232464984247,2,60,113,52,26,61,0.7496468789669437,nenhuma,59.70186077094461,0.0,67,0,terminal,0.7183333333333333,j603_9.sm,4,centralizada,0,2.5714285714285716,0.3333333333333333,0.07692307692307693
True,165,63,0.6095590125428556,0.0,6.41727672675683,275.0,458.0,110.0,80.0,103.36285507352721,52,8,12,15,0.13333333333333333,0.3333333333333333,324.0,0.24186204731280114,0.31902115763434324,0.019806409650484042,0.1375671612930776,28,15,110,65,32,175,0,20,1,0.7496468789669437,0.35303232464984247,2,60,174,64,1,110,0.7496468789669437,nenhuma,103.36285507352721,0.0,111,0,terminal,0.8949656334176662,j603_9.sm,4,adaptativa,0,2.619047619047619,0.4666666666666667,0.2
