arquivo,semente,cenario,P,tau_sat,s_transicao,concluiu,p1,executadas,fracao_porta1
j6010_1.sm,0,centralizada,0.3,0.7,0.01,True,0,60,0.0
j6013_1.sm,0,centralizada,0.3,0.7,0.01,True,0,60,0.0
j6016_1.sm,0,centralizada,0.3,0.7,0.01,True,0,60,0.0
j6019_1.sm,0,centralizada,0.3,0.7,0.01,True,0,60,0.0
j6021_1.sm,0,centralizada,0.3,0.7,0.01,True,0,60,0.0
j6024_1.sm,0,centralizada,0.3,0.7,0.01,True,0,60,0.0
j6027_1.sm,0,centralizada,0.3,0.7,0.01,True,0,60,0.0
j602_1.sm,0,centralizada,0.3,0.7,0.01,True,0,60,0.0
j6032_1.sm,0,centralizada,0.3,0.7,0.01,True,0,60,0.0
j6035_1.sm,0,centralizada,0.3,0.7,0.01,True,0,60,0.0
j6038_1.sm,0,centralizada,0.3,0.7,0.01,True,0,60,0.0
j6040_1.sm,0,centralizada,0.3,0.7,0.01,True,0,60,0.0
j6043_1.sm,0,centralizada,0.3,0.7,0.01,True,0,60,0.0
j6046_1.sm,0,centralizada,0.3,0.7,0.01,True,0,60,0.0
j604_1.sm,0,centralizada,0.3,0.7,0.01,True,0,60,0.0
j607_1.sm,0,centralizada,0.3,0.7,0.01,True,0,60,0.0
j6010_1.sm,0,adaptativa,0.3,0.7,0.01,True,0,60,0.0
j6013_1.sm,0,adaptativa,0.3,0.7,0.01,True,0,60,0.0
j6016_1.sm,0,adaptativa,0.3,0.7,0.01,True,0,60,0.0
j6019_1.sm,0,adaptativa,0.3,0.7,0.01,True,0,60,0.0
j6021_1.sm,0,adaptativa,0.3,0.7,0.01,True,0,60,0.0
j6024_1.sm,0,adaptativa,0.3,0.7,0.01,True,0,60,0.0
j6027_1.sm,0,adaptativa,0.3,0.7,0.01,True,0,60,0.0
j602_1.sm,0,adaptativa,0.3,0.7,0.01,True,0,60,0.0
j6032_1.sm,0,adaptativa,0.3,0.7,0.01,True,0,60,0.0
j6035_1.sm,0,adaptativa,0.3,0.7,0.01,True,0,60,0.0
j6038_1.sm,0,adaptativa,0.3,0.7,0.01,True,0,60,0.0
j6040_1.sm,0,adaptativa,0.3,0.7,0.01,True,0,60,0.0
j6043_1.sm,0,adaptativa,0.3,0.7,0.01,True,0,60,0.0
j6046_1.sm,0,adaptativa,0.3,0.7,0.01,True,0,60,0.0
j604_1.sm,0,adaptativa,0.3,0.7,0.01,True,0,60,0.0
j607_1.sm,0,adaptativa,0.3,0.7,0.01,True,0,60,0.0
j6010_1.sm,0,centralizada,1.0,0.7,0.01,True,48,60,0.8
j6013_1.sm,0,centralizada,1.0,0.7,0.01,True,41,60,0.6833333333333333
j6016_1.sm,0,centralizada,1.0,0.7,0.01,True,53,60,0.8833333333333333
j6019_1.sm,0,centralizada,1.0,0.7,0.01,True,45,60,0.75
j6021_1.sm,0,centralizada,1.0,0.7,0.01,True,36,60,0.6
j6024_1.sm,0,centralizada,1.0,0.7,0.01,True,45,60,0.75
j6027_1.sm,0,centralizada,1.0,0.7,0.01,True,46,60,0.7666666666666667
j602_1.sm,0,centralizada,1.0,0.7,0.01,True,49,60,0.8166666666666667
j6032_1.sm,0,centralizada,1.0,0.7,0.01,True,46,60,0.7666666666666667
j6035_1.sm,0,centralizada,1.0,0.7,0.01,True,50,60,0.8333333333333334
j6038_1.sm,0,centralizada,1.0,0.7,0.01,True,52,60,0.8666666666666667
j6040_1.sm,0,centralizada,1.0,0.7,0.01,True,53,60,0.8833333333333333
j6043_1.sm,0,centralizada,1.0,0.7,0.01,True,46,60,0.7666666666666667
j6046_1.sm,0,centralizada,1.0,0.7,0.01,True,50,60,0.8333333333333334
j604_1.sm,0,centralizada,1.0,0.7,0.01,True,53,60,0.8833333333333333
j607_1.sm,0,centralizada,1.0,0.7,0.01,True,52,60,0.8666666666666667
j6010_1.sm,0,adaptativa,1.0,0.7,0.01,True,44,60,0.7333333333333333
j6013_1.sm,0,adaptativa,1.0,0.7,0.01,True,44,60,0.7333333333333333
j6016_1.sm,0,adaptativa,1.0,0.7,0.01,True,55,60,0.9166666666666666
j6019_1.sm,0,adaptativa,1.0,0.7,0.01,True,49,60,0.8166666666666667
j6021_1.sm,0,adaptativa,1.0,0.7,0.01,True,33,60,0.55
j6024_1.sm,0,adaptativa,1.0,0.7,0.01,True,47,60,0.7833333333333333
j6027_1.sm,0,adaptativa,1.0,0.7,0.01,True,48,60,0.8
j602_1.sm,0,adaptativa,1.0,0.7,0.01,True,50,60,0.8333333333333334
j6032_1.sm,0,adaptativa,1.0,0.7,0.01,True,50,60,0.8333333333333334
j6035_1.sm,0,adaptativa,1.0,0.7,0.01,True,54,60,0.9
j6038_1.sm,0,adaptativa,1.0,0.7,0.01,True,48,60,0.8
j6040_1.sm,0,adaptativa,1.0,0.7,0.01,True,53,60,0.8833333333333333
j6043_1.sm,0,adaptativa,1.0,0.7,0.01,True,49,60,0.8166666666666667
j6046_1.sm,0,adaptativa,1.0,0.7,0.01,True,47,60,0.7833333333333333
j604_1.sm,0,adaptativa,1.0,0.7,0.01,True,51,60,0.85
j607_1.sm,0,adaptativa,1.0,0.7,0.01,True,51,60,0.85
j6010_1.sm,0,centralizada,0.3,0.7,0.25,True,29,60,0.4833333333333333
j6013_1.sm,0,centralizada,0.3,0.7,0.25,True,30,60,0.5
j6016_1.sm,0,centralizada,0.3,0.7,0.25,True,35,60,0.5833333333333334
j6019_1.sm,0,centralizada,0.3,0.7,0.25,True,29,60,0.4833333333333333
j6021_1.sm,0,centralizada,0.3,0.7,0.25,True,23,60,0.3833333333333333
j6024_1.sm,0,centralizada,0.3,0.7,0.25,True,17,60,0.2833333333333333
