cenario,tau_sat,s_transicao,concl_P0.3,concl_P1.0,frac_P0.3,frac_P1.0,razao,razao_v1
adaptativa,0.7,0.01,1.0,1.0,0.033854,0.823438,24.323077,23.58209
adaptativa,0.7,0.25,1.0,1.0,0.415625,0.871094,2.095865,1.995853
adaptativa,0.7,0.6,1.0,1.0,0.58724,0.877344,1.494013,1.450806
adaptativa,1.0,0.01,1.0,1.0,0.027344,0.619271,22.647619,21.17094
adaptativa,1.0,0.25,1.0,1.0,0.267969,0.794271,2.964043,2.94207
adaptativa,1.0,0.6,1.0,1.0,0.508073,0.841927,1.657099,1.606046
adaptativa,1.4,0.01,1.0,1.0,0.027083,0.405469,14.971154,15.115044
adaptativa,1.4,0.25,1.0,1.0,0.113802,0.703385,6.180778,6.489461
adaptativa,1.4,0.6,1.0,1.0,0.401302,0.786719,1.960415,1.913151
centralizada,0.7,0.01,1.0,1.0,0.039583,0.819792,20.710526,16.262408
centralizada,0.7,0.25,1.0,1.0,0.458594,0.879427,1.91766,1.809626
centralizada,0.7,0.6,1.0,1.0,0.628125,0.879948,1.400912,1.378855
centralizada,1.0,0.01,1.0,1.0,0.032292,0.622917,19.290323,12.87
centralizada,1.0,0.25,1.0,1.0,0.277865,0.803646,2.892221,2.20307
centralizada,1.0,0.6,1.0,1.0,0.54401,0.852865,1.567736,1.537217
centralizada,1.4,0.01,1.0,1.0,0.029687,0.452604,15.245614,9.369048
centralizada,1.4,0.25,1.0,1.0,0.110417,0.721615,6.535377,2.764538
centralizada,1.4,0.6,1.0,1.0,0.43125,0.802083,1.859903,1.747374
