metrica,conjunto,media,ic95_inf,ic95_sup,N_instancias
atraso_relativo,nominal_16,-0.9428782267235009,-1.0863528987466575,-0.7994035547003443,16
taxa_omissao,nominal_16,-0.2015625,-0.21370195157902874,-0.18942304842097127,16
divida_latente_sobre_plano,nominal_16,-0.06943108766067446,-0.07606321900301213,-0.06279895631833679,16
taxa_falha_efetiva,nominal_16,-0.02291666666666667,-0.03469311740266282,-0.011140215930670515,16
fracao_porta1,nominal_16,-0.05112847222222222,-0.06965178048035026,-0.03260516396409418,16
atraso_relativo,fora_48,-0.9859503449766178,-1.0731218039617116,-0.8987788859915239,48
taxa_omissao,fora_48,-0.20737847222222225,-0.2162595180971925,-0.198497426347252,48
divida_latente_sobre_plano,fora_48,-0.07268240111586044,-0.07775601299190232,-0.06760878923981856,48
taxa_falha_efetiva,fora_48,-0.02126736111111111,-0.027605939602877713,-0.014928782619344504,48
fracao_porta1,fora_48,-0.04988425925925926,-0.05874411287410832,-0.0410244056444102,48
