concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,celula,arquivo,semente,cenario,violacoes,atraso_relativo,fracao_porta1
True,203,85,0.7409554390394799,8.881784197001252e-16,15.48087981576313,272.0,431.0,64.0,52.0,34.68140388943852,52,8,2,7,0.13333333333333333,0.16666666666666666,323.0,0.09696171931867822,0.10737276745956198,0.04792842048223879,0.05962267945569477,21,7,64,45,39,109,13,0,6,0.6268507180531939,0.4857196752206667,16,60,90,26,6,64,0.6268507180531939,nenhuma,34.68140388943853,0.0,39,0,terminal,0.8316005092946049,0,j6010_1.sm,0,centralizada,0,2.388235294117647,0.35
True,286,85,0.6917354138097906,1.7763568394002505e-15,32.468106205199746,234.0,445.0,74.0,67.0,57.309553213598434,44,16,0,13,0.26666666666666666,0.26666666666666666,323.0,0.15069185806492452,0.17742895731764222,0.10052045264767723,0.08908550001677018,27,13,74,54,33,128,8,9,6,0.7659648859265082,0.2570239140832174,4,60,114,40,6,74,0.7659648859265082,nenhuma,57.309553213598434,0.0,65,0,terminal,0.7682001234156973,0,j6010_1.sm,2,centralizada,0,3.364705882352941,0.45
True,249,76,0.6638439561153353,0.0,24.187628352741562,238.0,425.0,82.0,56.0,77.21069422248549,41,19,3,11,0.31666666666666665,0.36666666666666664,332.0,0.18868200492459877,0.23256233199543822,0.07285430226729386,0.1206020063695676,30,11,82,45,30,127,17,0,9,0.6268507180531939,0.4857196752206667,18,60,101,19,9,82,0.6268507180531939,nenhuma,77.21069422248551,0.0,84,0,terminal,0.875,0,j6021_1.sm,0,centralizada,0,3.276315789473684,0.5
True,330,76,0.7884711218826104,1.7763568394002505e-15,29.41871250255769,217.0,505.0,21.0,26.0,88.4800201105979,44,16,3,8,0.26666666666666666,0.31666666666666665,332.0,0.2104262173677722,0.2665060846704756,0.08861057982698099,0.13814641726890903,25,8,21,18,35,39,4,2,4,0.7659648859265082,0.2570239140832174,6,60,31,10,4,21,0.7659648859265082,nenhuma,88.4800201105979,0.0,97,0,terminal,0.4323440629166068,0,j6021_1.sm,2,centralizada,0,4.342105263157895,0.4166666666666667
True,172,69,0.7092396570529198,0.0,26.378324417820114,275.0,482.0,83.0,75.0,39.60102795554142,50,10,1,9,0.16666666666666666,0.18333333333333332,337.0,0.10515379676610019,0.1175104687108054,0.07827395969679558,0.058270994784504745,26,9,83,66,34,149,9,13,10,0.6268507180531939,0.4857196752206667,14,60,130,47,10,83,0.6268507180531939,nenhuma,39.60102795554142,0.0,43,0,terminal,0.7972895330030901,0,j6032_1.sm,0,centralizada,0,2.4927536231884058,0.43333333333333335
True,224,69,0.7519877700271914,0.0,45.910600541845824,189.0,571.0,20.0,66.0,102.32085967216325,38,22,1,9,0.36666666666666664,0.38333333333333336,337.0,0.2329069003200046,0.3036227289975171,0.13623323602921608,0.13475312625592858,28,9,20,57,32,77,0,20,9,0.7659648859265082,0.2570239140832174,2,60,68,48,9,20,0.7659648859265082,nenhuma,102.32085967216325,0.0,112,0,terminal,0.3572267320851985,0,j6032_1.sm,2,centralizada,0,3.246376811594203,0.4666666666666667
True,177,108,0.563637778237632,0.0,26.4170203788508,225.0,405.0,176.0,79.0,58.546583705484636,43,17,0,3,0.2833333333333333,0.2833333333333333,334.0,0.1491455693049931,0.17528917277091208,0.07909287538578084,0.08147917620534051,18,3,176,76,42,252,38,1,7,0.6268507180531939,0.4857196752206667,21,60,207,31,7,176,0.6268507180531939,nenhuma,58.54658370548464,0.0,64,0,terminal,0.9062432656036767,0,j6043_1.sm,0,centralizada,0,1.6388888888888888,0.3
True,329,108,0.7287011085058274,0.0,14.123699528598609,265.0,473.0,60.0,57.0,59.10015159695265,49,11,4,6,0.18333333333333332,0.25,334.0,0.1503437517305979,0.1769465616675229,0.04228652553472637,0.09104935725488761,23,6,60,51,37,111,2,5,16,0.7659648859265082,0.2570239140832174,6,60,93,33,16,60,0.7659648859265082,nenhuma,59.10015159695265,0.0,64,0,terminal,0.6420583319336096,0,j6043_1.sm,2,centralizada,0,3.0462962962962963,0.38333333333333336
True,144,85,0.6788331881458268,0.0,8.5,269.0,427.0,93.0,74.0,35.020512633321594,52,8,1,14,0.13333333333333333,0.15,323.0,0.09781705627908811,0.1084226397316458,0.02631578947368421,0.05567467503835808,22,14,93,60,38,153,18,0,7,0.6268507180531939,0.4857196752206667,16,60,128,35,7,93,0.6268507180531939,nenhuma,35.020512633321594,0.0,38,0,terminal,0.8362930829631875,1,j6010_1.sm,0,centralizada,0,1.6941176470588235,0.36666666666666664
True,169,85,0.7063837346168227,0.0,13.092884661295953,251.0,457.0,72.0,62.0,55.957139022884334,49,11,3,7,0.18333333333333332,0.23333333333333334,323.0,0.14766086520276694,0.17324191647951806,0.04053524662939924,0.08649280709290542,30,7,72,55,30,127,8,8,5,0.7659648859265082,0.2570239140832174,4,60,114,42,5,72,0.7659648859265082,nenhuma,55.957139022884334,0.0,62,0,terminal,0.7268073404901106,1,j6010_1.sm,2,centralizada,0,1.988235294117647,0.5
