concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,celula,arquivo,semente,cenario,violacoes,atraso_relativo,fracao_porta1
True,274,85,0.7381266925720553,0.0,31.94145463368455,234.0,456.0,40.0,49.0,72.780124454022,44,16,4,6,0.26666666666666666,0.3333333333333333,323.0,0.18389029654892866,0.22532546270595047,0.09888995242626795,0.11780910646541629,22,6,40,43,38,83,13,1,6,0.6586427040007742,0.39362113220747674,14,60,64,24,6,40,0.6586427040007742,nenhuma,72.780124454022,0.0,78,0,terminal,0.6421988299098991,0,j6010_1.sm,1,adaptativa,0,3.223529411764706,0.36666666666666664
True,237,85,0.6253447420671174,0.0,23.93056006884714,218.0,451.0,102.0,77.0,91.20219402371622,42,18,3,6,0.3,0.35,323.0,0.2201876169166168,0.28235973381955487,0.07408842126578062,0.12645856429648786,26,6,102,71,34,173,4,13,6,0.794910294566222,0.24332019624229823,3,60,163,61,6,102,0.794910294566222,nenhuma,91.20219402371623,0.0,98,0,terminal,0.6937047627072411,0,j6010_1.sm,3,adaptativa,0,2.788235294117647,0.43333333333333335
True,286,76,0.7788968201851227,0.0,23.006523708264993,256.0,493.0,44.0,40.0,55.946479204815894,46,14,1,10,0.23333333333333334,0.25,332.0,0.1442118493238832,0.16851349158077075,0.06929675815742468,0.08839053702471439,26,10,44,30,34,74,4,0,8,0.6586427040007742,0.39362113220747674,17,60,62,18,8,44,0.6586427040007742,nenhuma,55.946479204815894,0.0,63,0,terminal,0.6661075535332224,0,j6021_1.sm,1,adaptativa,0,3.763157894736842,0.43333333333333335
True,239,76,0.6784668253904438,0.0,28.93140642869147,226.0,467.0,84.0,59.0,78.31663173988065,42,18,1,17,0.3,0.31666666666666665,332.0,0.19086877226446258,0.23589346909602604,0.08714279044786588,0.11377994970413124,32,17,84,42,28,126,0,0,11,0.794910294566222,0.24332019624229823,2,60,115,31,11,84,0.794910294566222,nenhuma,78.31663173988065,0.0,86,0,terminal,0.7546077612812203,0,j6021_1.sm,3,adaptativa,0,3.1447368421052633,0.5333333333333333
True,181,69,0.7100646519931864,0.0,26.99330117589618,260.0,479.0,68.0,72.0,55.58646005743763,48,12,2,16,0.2,0.23333333333333334,337.0,0.14159036470413425,0.1649449853336428,0.08009881654568599,0.08240079418834573,24,16,68,56,36,124,12,14,12,0.6586427040007742,0.39362113220747674,13,60,100,32,12,68,0.6586427040007742,nenhuma,55.58646005743763,0.0,61,0,terminal,0.7491906066961723,0,j6032_1.sm,1,adaptativa,0,2.6231884057971016,0.4
True,198,69,0.6598380594492197,0.0,36.20547695736278,224.0,507.0,87.0,81.0,93.37034896593144,41,19,3,26,0.31666666666666665,0.36666666666666664,337.0,0.21695348945455054,0.2770633500472743,0.1074346497251121,0.12151737647293227,34,26,87,55,26,142,0,13,14,0.794910294566222,0.24332019624229823,0,60,128,41,14,87,0.794910294566222,nenhuma,93.37034896593143,0.0,100,0,terminal,0.7209851267899605,0,j6032_1.sm,3,adaptativa,0,2.869565217391304,0.5666666666666667
True,279,108,0.5920299229109004,0.0,22.048552624999527,238.0,381.0,138.0,69.0,55.54855262499953,44,16,2,0,0.26666666666666666,0.3,334.0,0.1425972507167125,0.16631303181137583,0.06601363061377104,0.08631602448396475,17,0,138,69,43,207,24,2,6,0.6586427040007742,0.39362113220747674,20,60,177,39,6,138,0.6586427040007742,nenhuma,55.54855262499953,0.0,60,0,terminal,0.8733333333333334,0,j6043_1.sm,1,adaptativa,0,2.5833333333333335,0.2833333333333333
True,203,108,0.5620767345829616,0.0,19.906245030406602,279.0,414.0,179.0,89.0,54.554236330687935,51,9,3,4,0.15,0.2,334.0,0.14040314383358907,0.16333603691822735,0.05959953601918144,0.07406682853724696,23,4,179,85,37,264,9,3,19,0.794910294566222,0.24332019624229823,4,60,236,57,19,179,0.794910294566222,nenhuma,54.55423633068793,0.0,58,0,terminal,0.7621440403058534,0,j6043_1.sm,3,adaptativa,0,1.8796296296296295,0.38333333333333336
True,154,85,0.75137003421839,0.0,10.653484099104467,253.0,454.0,36.0,57.0,57.22957973333587,47,13,4,5,0.21666666666666667,0.2833333333333333,323.0,0.1505132235463436,0.17718136140351662,0.03298292290744417,0.09471495877211597,24,5,36,52,36,88,11,4,6,0.6586427040007742,0.39362113220747674,14,60,71,35,6,36,0.6586427040007742,nenhuma,57.22957973333587,0.0,63,0,terminal,0.5519964597285781,1,j6010_1.sm,1,adaptativa,0,1.811764705882353,0.4
True,151,85,0.6377910477205008,1.3322676295501878e-15,13.0,231.0,433.0,108.0,84.0,53.90573495436329,44,16,1,12,0.26666666666666666,0.2833333333333333,323.0,0.14302179551842142,0.1668908202921464,0.04024767801857585,0.0794009126436189,22,12,108,72,38,180,5,9,11,0.794910294566222,0.24332019624229823,3,60,164,56,11,108,0.794910294566222,nenhuma,53.90573495436329,0.0,59,0,terminal,0.749820525258322,1,j6010_1.sm,3,adaptativa,0,1.776470588235294,0.36666666666666664
