concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,arquivo,semente,cenario,variante,violacoes,atraso_relativo,fracao_porta1,fracao_fuga
True,176,85,0.7373230459930172,0.0,17.715878789644545,275.0,518.0,0.0,139.0,45.541447490447375,50,10,3,13,0.16666666666666666,0.21666666666666667,323.0,0.12357211868721446,0.14099519346887732,0.054847921949363915,0.06482385865364422,28,13,0,126,32,126,22,4,104,0.6268507180531939,0.4857196752206667,16,60,0,0,104,0,0.6268507180531939,nenhuma,45.541447490447375,0.0,51,0,terminal,0.25,j6010_1.sm,0,centralizada,F2,0,2.070588235294118,0.4666666666666667,0.1780821917808219
True,134,85,0.6551519100865545,0.0,0.0,323.0,377.0,106.0,48.0,44.43906107240557,60,0,11,6,0.0,0.18333333333333332,323.0,0.1209426699020675,0.13758223242230827,0.0,0.07722635475872562,17,6,106,42,43,148,11,3,0,0.6268507180531939,0.4857196752206667,16,60,137,31,0,106,0.6268507180531939,nenhuma,44.43906107240557,0.0,49,0,terminal,0.985,j6010_1.sm,0,adaptativa,F2,0,1.576470588235294,0.2833333333333333,0.09090909090909091
True,154,85,0.8249072923549671,0.0,15.282801880478726,267.0,504.0,0.0,73.0,33.97774825237337,49,11,0,12,0.18333333333333332,0.18333333333333332,323.0,0.09518169807142164,0.10519426703521166,0.04731517610055333,0.05561208791901593,24,12,0,61,36,61,9,6,52,0.6586427040007742,0.39362113220747674,14,60,0,0,52,0,0.6586427040007742,nenhuma,33.97774825237337,0.0,39,0,terminal,0.25,j6010_1.sm,1,centralizada,F2,0,1.811764705882353,0.4,0.16666666666666666
True,123,85,0.6516245487364621,0.0,3.0,313.0,361.0,110.0,43.0,40.0,57,3,11,1,0.05,0.23333333333333334,323.0,0.11019283746556474,0.1238390092879257,0.009287925696594427,0.07220216606498195,13,1,110,42,47,152,20,1,0,0.6586427040007742,0.39362113220747674,14,60,132,22,0,110,0.6586427040007742,nenhuma,40.0,0.0,42,0,terminal,0.9666666666666667,j6010_1.sm,1,adaptativa,F2,0,1.4470588235294117,0.21666666666666667,0.01639344262295082
True,300,85,0.7350914924733367,3.1086244689504383e-15,26.74027298616895,243.0,535.0,0.0,135.0,57.80056017231839,45,15,1,15,0.25,0.26666666666666666,323.0,0.15178696204165956,0.17894910270067613,0.08278722286739613,0.07941813092124193,27,15,0,120,33,120,8,9,112,0.7659648859265082,0.2570239140832174,4,60,0,0,112,0,0.7659648859265082,nenhuma,57.8005601723184,0.0,65,0,terminal,0.25,j6010_1.sm,2,centralizada,F2,0,3.5294117647058822,0.45,0.2
True,135,85,0.6201648126660888,0.0,5.326564716703298,296.0,389.0,96.0,71.0,71.2526142328017,56,4,17,12,0.06666666666666667,0.35,323.0,0.18072832407581157,0.22059632889412292,0.016490912435613927,0.1135947664721197,34,12,96,59,26,155,8,19,0,0.7659648859265082,0.2570239140832174,4,60,147,51,0,96,0.7659648859265082,nenhuma,71.2526142328017,0.0,78,0,terminal,0.9216666666666665,j6010_1.sm,2,adaptativa,F2,0,1.588235294117647,0.5666666666666667,0.16666666666666666
True,181,85,0.646901454107742,0.0,33.305403601405374,238.0,499.0,0.0,205.0,67.36942084673547,42,18,4,16,0.3,0.36666666666666664,323.0,0.17257863256964906,0.2085740583490262,0.10311270464831385,0.0873374274712417,34,16,0,189,26,189,7,4,182,0.794910294566222,0.24332019624229823,3,60,0,0,182,0,0.794910294566222,nenhuma,67.36942084673547,0.0,76,0,terminal,0.25,j6010_1.sm,3,centralizada,F2,0,2.1294117647058823,0.5666666666666667,0.21052631578947367
True,130,85,0.6720452206729244,0.0,5.838040242102241,299.0,397.0,90.0,53.0,50.734057452980124,57,3,10,14,0.05,0.21666666666666667,323.0,0.13574908799785534,0.15707138530334405,0.018074427994124585,0.08588307515521625,25,14,90,39,35,129,3,9,0,0.794910294566222,0.24332019624229823,3,60,126,36,0,90,0.794910294566222,nenhuma,50.734057452980124,0.0,56,0,terminal,1.0,j6010_1.sm,3,adaptativa,F2,0,1.5294117647058822,0.4166666666666667,0.1891891891891892
True,227,85,0.6948319040648709,0.0,20.426312631438666,249.0,535.0,0.0,174.0,60.97040128723179,47,13,2,8,0.21666666666666667,0.25,323.0,0.1587893261637697,0.18876285228245135,0.06323935799207017,0.07918538321122714,24,8,0,166,36,166,12,13,154,0.7496468789669437,0.35303232464984247,6,60,0,0,154,0,0.7496468789669437,nenhuma,60.97040128723179,0.0,67,0,terminal,0.25,j6010_1.sm,4,centralizada,F2,0,2.6705882352941175,0.4,0.11764705882352941
True,150,85,0.6411725122196344,0.0,8.843707670731735,305.0,419.0,127.0,57.0,50.490272921230556,57,3,10,7,0.05,0.21666666666666667,323.0,0.13518497423326203,0.15631663443105434,0.027379899909386177,0.07726247048105102,23,7,127,50,37,177,12,11,0,0.7496468789669437,0.35303232464984247,6,60,165,38,0,127,0.7496468789669437,nenhuma,50.490272921230556,0.0,54,0,terminal,0.9248015019699368,j6010_1.sm,4,adaptativa,F2,0,1.7647058823529411,0.38333333333333336,0.1044776119402985
