concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,arquivo,semente,cenario,variante,violacoes,atraso_relativo,fracao_porta1,fracao_fuga
True,210,73,0.6695836649849188,1.4210854715202004e-14,44.56953861357394,265.0,535.0,56.0,110.0,98.0039601877832,46,14,3,21,0.2333333333333333,0.2833333333333333,358.0,0.2149190988328807,0.2737540787368246,0.124495917915011,0.1226576651319101,35,21,56,89,25,145,15,4,31,0.6268507180531939,0.4857196752206667,30,60,99,43,31,56,0.6268507180531939,nenhuma,98.0039601877832,0.0,104,0,terminal,0.5857921750735907,j6010_9.sm,0,centralizada,GF1,0,2.8767123287671232,0.5833333333333334,0.2592592592592592
True,151,73,0.672432217840497,0.0,6.086597974342345,347.0,431.0,111.0,53.0,45.95679618705379,58,2,8,7,0.0333333333333333,0.1666666666666666,358.0,0.1137666122239798,0.1283709390699826,0.017001670319392,0.0717003025171792,38,7,111,46,22,157,14,1,1,0.6268507180531939,0.4857196752206667,30,60,142,31,1,111,0.6268507180531939,nenhuma,45.95679618705379,0.0,50,0,terminal,0.975,j6010_9.sm,0,adaptativa,GF1,0,2.068493150684932,0.6333333333333333,0.1044776119402985
True,230,73,0.6925955958930128,0.0,46.30753696328873,248.0,544.0,30.0,106.0,105.45113949011198,45,15,4,23,0.25,0.3166666666666666,358.0,0.2275345349374458,0.294556255558972,0.1293506619086277,0.134255505133734,39,23,30,83,21,113,4,2,42,0.6586427040007742,0.3936211322074767,23,60,67,37,42,30,0.6586427040007742,nenhuma,105.45113949011198,0.0,113,0,terminal,0.482959609968913,j6010_9.sm,1,centralizada,GF1,0,3.150684931506849,0.65,0.2771084337349397
True,138,73,0.6443003068922821,0.0,6.0,328.0,423.0,77.0,75.0,81.5261501120465,54,6,17,24,0.1,0.3833333333333333,358.0,0.1854864610245906,0.2277266762906326,0.0167597765363128,0.1241780698272761,34,24,77,51,26,128,16,20,0,0.6586427040007742,0.3936211322074767,23,60,112,35,0,77,0.6586427040007742,nenhuma,81.5261501120465,0.0,92,0,terminal,0.965,j6010_9.sm,1,adaptativa,GF1,0,1.8904109589041096,0.5666666666666667,0.2857142857142857
True,284,73,0.725526812130835,0.0,29.490928288996987,240.0,570.0,28.0,98.0,89.63602401672694,43,17,2,13,0.2833333333333333,0.3166666666666666,358.0,0.2002430975335834,0.2503799553539858,0.0823768946620027,0.1140935767665594,39,13,28,85,21,113,1,9,37,0.7659648859265082,0.2570239140832174,10,60,75,47,37,28,0.7659648859265082,nenhuma,89.63602401672694,0.0,98,0,terminal,0.4003223695361542,j6010_9.sm,2,centralizada,GF1,0,3.8904109589041096,0.65,0.1780821917808219
True,158,73,0.665653690276761,0.0,11.749050355731796,297.0,467.0,54.0,55.0,125.56600469807935,52,8,17,9,0.1333333333333333,0.4166666666666667,358.0,0.2596667331411729,0.3507430298829033,0.0328185764126586,0.1789796025708472,34,9,54,46,26,100,2,6,0,0.7659648859265082,0.2570239140832174,10,60,98,44,0,54,0.7659648859265082,nenhuma,125.56600469807935,0.0,135,0,terminal,0.9257686634237272,j6010_9.sm,2,adaptativa,GF1,0,2.164383561643836,0.5666666666666667,0.1304347826086956
True,238,73,0.6351409342680513,4.6629367034256575e-15,19.711070234465303,238.0,509.0,92.0,116.0,84.39693812457772,41,19,1,13,0.3166666666666666,0.3333333333333333,358.0,0.1907719761406029,0.2357456372194908,0.0550588554035343,0.1053122792334129,39,13,92,103,21,195,5,13,48,0.794910294566222,0.2433201962422982,8,60,142,50,48,92,0.794910294566222,nenhuma,84.39693812457772,0.0,92,0,terminal,0.7608238607918857,j6010_9.sm,3,centralizada,GF1,0,3.26027397260274,0.65,0.1780821917808219
True,165,73,0.5835325176816755,0.0,24.00996086922645,302.0,459.0,118.0,97.0,112.58855520780152,53,7,15,11,0.1166666666666666,0.3666666666666666,358.0,0.2392505171701103,0.3144931709715126,0.0670669298023085,0.1431352572604591,41,11,118,86,19,204,6,23,4,0.794910294566222,0.2433201962422982,8,60,194,76,4,118,0.794910294566222,nenhuma,112.58855520780156,0.0,123,0,terminal,0.8583333333333333,j6010_9.sm,3,adaptativa,GF1,0,2.26027397260274,0.6833333333333333,0.1549295774647887
True,212,73,0.6517594507873491,8.881784197001252e-16,28.670173003114428,224.0,530.0,50.0,116.0,117.18345190045306,41,19,5,15,0.3166666666666666,0.4,358.0,0.2466067608873762,0.3273280779342264,0.0800842821316045,0.1441045702868019,41,15,50,101,19,151,0,6,39,0.7496468789669437,0.3530323246498424,12,60,112,62,39,50,0.7496468789669437,nenhuma,117.18345190045306,0.0,127,0,terminal,0.5909028971817502,j6010_9.sm,4,centralizada,GF1,0,2.904109589041096,0.6833333333333333,0.2
True,165,73,0.6233090926539452,0.0,4.5,347.0,448.0,111.0,80.0,79.74452864547735,57,3,14,12,0.05,0.2833333333333333,358.0,0.1821713886230231,0.2227500800152998,0.0125698324022346,0.1109497540047523,38,12,111,68,22,179,7,24,2,0.7496468789669437,0.3530323246498424,12,60,170,59,2,111,0.7496468789669437,nenhuma,79.74452864547735,0.0,87,0,terminal,0.8916666666666666,j6010_9.sm,4,adaptativa,GF1,0,2.26027397260274,0.6333333333333333,0.1666666666666666
