concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,arquivo,semente,cenario,variante,violacoes,atraso_relativo,fracao_porta1,fracao_fuga
True,195,85,0.6213809220334501,4.440892098500626e-16,23.978926114947527,265.0,426.0,83.0,127.0,49.569808944130536,49,11,4,17,0.18333333333333332,0.25,323.0,0.13304837846258197,0.1534669007558221,0.07423816134658677,0.07230453893597603,21,17,83,110,39,193,25,4,41,0.6268507180531939,0.4857196752206667,16,60,127,44,41,83,0.6268507180531939,nenhuma,49.56980894413053,0.0,56,0,terminal,0.7798605580304305,j6010_1.sm,0,centralizada,GF,0,2.2941176470588234,0.35,0.22077922077922077
True,134,85,0.6216110384117893,0.0,4.651393097856316,295.0,373.0,121.0,65.0,41.053694273209324,56,4,8,9,0.06666666666666667,0.2,323.0,0.11276823973773492,0.12710122066009077,0.014400597826180543,0.06841670114694309,16,9,121,56,44,177,28,5,2,0.6268507180531939,0.4857196752206667,16,60,147,26,2,121,0.6268507180531939,nenhuma,41.053694273209324,0.0,46,0,terminal,0.9983333333333334,j6010_1.sm,0,adaptativa,GF,0,1.576470588235294,0.26666666666666666,0.13043478260869565
True,205,85,0.7819404501537294,8.881784197001252e-16,20.526493115295775,222.0,484.0,14.0,64.0,56.97296642582644,42,18,0,9,0.3,0.3,323.0,0.14993952586084303,0.176386892959215,0.06354951428884141,0.09204435333389265,29,9,14,55,31,69,14,3,19,0.6586427040007742,0.39362113220747674,14,60,36,22,19,14,0.6586427040007742,nenhuma,56.972966425826435,0.0,64,0,terminal,0.3321562596660888,j6010_1.sm,1,centralizada,GF,0,2.411764705882353,0.48333333333333334,0.13043478260869565
True,121,85,0.6617915904936015,0.0,4.5,296.0,362.0,104.0,50.0,31.0,54,6,7,2,0.1,0.21666666666666667,323.0,0.08757062146892655,0.09597523219814241,0.01393188854489164,0.056672760511883,16,2,104,48,44,152,9,8,0,0.6586427040007742,0.39362113220747674,14,60,143,39,0,104,0.6586427040007742,nenhuma,31.0,0.0,34,0,terminal,0.965,j6010_1.sm,1,adaptativa,GF,0,1.423529411764706,0.26666666666666666,0.03225806451612903
True,183,85,0.8134705555284257,6.661338147750939e-16,9.785730142990927,291.0,492.0,23.0,65.0,24.815990764901976,50,10,2,8,0.16666666666666666,0.2,323.0,0.07134804443673712,0.07682969277059436,0.030296378151674696,0.04103064592177458,27,8,23,57,33,80,8,16,22,0.7659648859265082,0.2570239140832174,4,60,50,27,22,23,0.7659648859265082,nenhuma,24.815990764901972,0.0,30,0,terminal,0.4869008204404825,j6010_1.sm,2,centralizada,GF,0,2.152941176470588,0.45,0.11764705882352941
True,135,85,0.6869334209273927,0.0,6.5,292.0,400.0,58.0,44.0,80.29806239443265,55,5,16,6,0.08333333333333333,0.35,323.0,0.199103516435692,0.24860081236666454,0.020123839009287926,0.1378985567361221,30,6,58,38,30,96,8,5,0,0.7659648859265082,0.2570239140832174,4,60,88,30,0,58,0.7659648859265082,nenhuma,80.29806239443265,0.0,88,0,terminal,0.9199999999999999,j6010_1.sm,2,adaptativa,GF,0,1.588235294117647,0.5,0.09090909090909091
True,222,85,0.6236105232350917,0.0,25.19867554750138,241.0,437.0,87.0,105.0,71.7578989093769,43,17,2,9,0.2833333333333333,0.31666666666666665,323.0,0.18177698054333322,0.222160677738009,0.07801447537926125,0.10240041392477654,25,9,87,96,35,183,3,11,31,0.794910294566222,0.24332019624229823,3,60,149,62,31,87,0.794910294566222,nenhuma,71.75789890937692,0.0,78,0,terminal,0.737941023672275,j6010_1.sm,3,centralizada,GF,0,2.611764705882353,0.4166666666666667,0.13043478260869565
True,148,85,0.6288022022697682,0.0,9.780704079097369,283.0,410.0,93.0,65.0,84.03333976890579,52,8,13,12,0.13333333333333333,0.35,323.0,0.2064532104829937,0.2601651386034235,0.030280817582344795,0.1288789002701748,27,12,93,53,33,146,9,18,1,0.794910294566222,0.24332019624229823,3,60,136,43,1,93,0.794910294566222,nenhuma,84.03333976890579,0.0,94,0,terminal,0.9495941862793648,j6010_1.sm,3,adaptativa,GF,0,1.7411764705882353,0.45,0.16666666666666666
True,234,85,0.6139697330743482,5.329070518200751e-15,39.04917081396261,190.0,435.0,82.0,92.0,99.50398084252802,42,18,2,5,0.3,0.3333333333333333,323.0,0.2355101616891375,0.3080618601935852,0.12089526567790282,0.14044237369591261,26,5,82,87,34,169,8,5,23,0.7496468789669437,0.35303232464984247,6,60,138,56,23,82,0.7496468789669437,nenhuma,99.50398084252804,0.0,107,0,terminal,0.7595933185352436,j6010_1.sm,4,centralizada,GF,0,2.7529411764705882,0.43333333333333335,0.07692307692307693
True,154,85,0.6086618075715848,4.440892098500626e-16,9.757302182596908,286.0,401.0,149.0,61.0,47.82234602478862,54,6,7,4,0.1,0.21666666666666667,323.0,0.1289629563521283,0.14805679883835487,0.030208365890392903,0.07258761988469237,23,4,149,57,37,206,8,4,1,0.7496468789669437,0.35303232464984247,6,60,197,48,1,149,0.7496468789669437,nenhuma,47.82234602478863,0.0,52,0,terminal,0.9216666666666665,j6010_1.sm,4,adaptativa,GF,0,1.811764705882353,0.38333333333333336,0.0625
