concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,arquivo,semente,cenario,variante,violacoes,atraso_relativo,fracao_porta1,fracao_fuga
True,212,73,0.7033952163756644,7.105427357601002e-15,40.81661399399196,256.0,569.0,0.0,154.0,85.93356501889039,43,17,1,0,0.2833333333333333,0.3,358.0,0.19357302936810766,0.24003789111421897,0.11401288825137418,0.10623068288294311,41,0,0,154,19,154,29,3,125,0.6268507180531939,0.4857196752206667,30,60,0,0,125,0,0.6268507180531939,nenhuma,85.93356501889039,0.0,96,0,terminal,0.25,j6010_9.sm,0,centralizada,controle,0,2.904109589041096,0.6833333333333333,0.0
True,148,73,0.6585319313651383,0.0,9.375482397518702,323.0,441.0,99.0,53.0,76.67139935918662,55,5,12,0,0.08333333333333333,0.2833333333333333,358.0,0.17638933565037695,0.214165919997728,0.026188498317091347,0.11449107641830611,35,0,99,53,25,152,14,3,0,0.6268507180531939,0.4857196752206667,30,60,138,39,0,99,0.6268507180531939,nenhuma,76.67139935918662,0.0,83,0,terminal,0.9683333333333333,j6010_9.sm,0,adaptativa,controle,0,2.0273972602739727,0.5833333333333334,0.0
True,266,73,0.6714448465422153,0.0,59.62195466074304,227.0,586.0,0.0,156.0,130.74480252214855,40,20,3,0,0.3333333333333333,0.38333333333333336,358.0,0.2675113921364382,0.3652089455925937,0.16654177279537163,0.14980874379808237,40,0,0,156,20,156,17,9,139,0.6586427040007742,0.39362113220747674,23,60,0,0,139,0,0.6586427040007742,nenhuma,130.74480252214852,0.0,141,0,terminal,0.25,j6010_9.sm,1,centralizada,controle,0,3.643835616438356,0.6666666666666666,0.0
True,159,73,0.6679293502138997,0.0,5.0,337.0,441.0,106.0,42.0,71.2494707842571,57,3,12,0,0.05,0.25,358.0,0.16598615871111333,0.19902086811244998,0.013966480446927373,0.10791295402270538,31,0,106,42,29,148,14,8,0,0.6586427040007742,0.39362113220747674,23,60,134,28,0,106,0.6586427040007742,nenhuma,71.24947078425708,0.0,75,0,terminal,0.96,j6010_9.sm,1,adaptativa,controle,0,2.1780821917808217,0.5166666666666667,0.0
True,255,73,0.7569522129561161,1.7763568394002505e-15,56.85886946588351,199.0,613.0,0.0,56.0,140.82655114522834,37,23,2,0,0.38333333333333336,0.4166666666666667,358.0,0.28231566828572463,0.39337025459560987,0.1588236577259316,0.1738971770511554,38,0,0,56,22,56,1,16,55,0.7659648859265082,0.2570239140832174,10,60,0,0,55,0,0.7659648859265082,nenhuma,140.8265511452283,0.0,151,0,terminal,0.25,j6010_9.sm,2,centralizada,controle,0,3.493150684931507,0.6333333333333333,0.0
True,155,73,0.6428018430218229,0.0,7.1530069099413485,339.0,472.0,89.0,63.0,110.28538689484715,58,2,20,0,0.03333333333333333,0.36666666666666664,358.0,0.23550892251013503,0.3080597399297406,0.019980466228886447,0.1501941736321664,36,0,89,63,24,152,2,10,0,0.7659648859265082,0.2570239140832174,10,60,150,61,0,89,0.7659648859265082,nenhuma,110.28538689484714,0.0,118,0,terminal,0.8780108401341451,j6010_9.sm,2,adaptativa,controle,0,2.1232876712328768,0.6,0.0
True,205,73,0.6960543100283642,2.220446049250313e-16,36.897085206338346,251.0,600.0,0.0,156.0,106.00170210216794,43,17,3,0,0.2833333333333333,0.3333333333333333,358.0,0.22845110615311398,0.2960941399501898,0.10306448381658756,0.12297156936426118,39,0,0,156,21,156,4,26,152,0.794910294566222,0.24332019624229823,8,60,0,0,152,0,0.794910294566222,nenhuma,106.00170210216794,0.0,115,0,terminal,0.25,j6010_9.sm,3,centralizada,controle,0,2.808219178082192,0.65,0.0
True,157,73,0.6506438694053966,0.0,5.0,339.0,467.0,111.0,58.0,81.75055750049077,57,3,14,0,0.05,0.2833333333333333,358.0,0.1859021122455303,0.22835351257120326,0.013966480446927373,0.11389828492112995,39,0,111,58,21,169,6,8,0,0.794910294566222,0.24332019624229823,8,60,163,52,0,111,0.794910294566222,nenhuma,81.75055750049077,0.0,89,0,terminal,0.8916666666666666,j6010_9.sm,3,adaptativa,controle,0,2.1506849315068495,0.65,0.0
True,223,73,0.6926751160012176,2.6645352591003757e-15,48.68073570853705,220.0,603.0,0.0,138.0,129.53798537053277,38,22,2,0,0.36666666666666664,0.4,358.0,0.26569824148590776,0.36183794796238206,0.1359797086830644,0.14880222063531975,42,0,0,138,18,138,0,28,138,0.7496468789669437,0.35303232464984247,12,60,0,0,138,0,0.7496468789669437,nenhuma,129.5379853705328,0.0,140,0,terminal,0.25,j6010_9.sm,4,centralizada,controle,0,3.0547945205479454,0.7,0.0
True,172,73,0.6492085494770227,0.0,14.245024775390643,329.0,479.0,84.0,64.0,110.82146027784741,57,3,16,0,0.05,0.31666666666666665,358.0,0.23638307899166772,0.3095571516140989,0.039790571998297886,0.15020091749041084,36,0,84,64,24,148,7,20,0,0.7496468789669437,0.35303232464984247,12,60,141,57,0,84,0.7496468789669437,nenhuma,110.82146027784741,0.0,117,0,terminal,0.8833333333333333,j6010_9.sm,4,adaptativa,controle,0,2.356164383561644,0.6,0.0
True,206,73,0.6797966209551713,5.329070518200751e-15,41.733316880512206,195.0,607.0,0.0,133.0,152.91411767701064,36,24,4,0,0.4,0.4666666666666667,358.0,0.29929515037139726,0.4271344069190241,0.11657351083941957,0.17125288384377801,42,0,0,133,18,133,16,10,117,0.6863255838987572,0.3910769205246226,21,60,0,0,117,0,0.6863255838987572,nenhuma,152.91411767701064,0.0,163,0,terminal,0.25,j6010_9.sm,5,centralizada,controle,0,2.8219178082191783,0.7,0.0
True,173,73,0.6081427679233964,0.0,12.144085414060942,318.0,451.0,111.0,62.0,117.60217598248153,53,7,17,0,0.11666666666666667,0.4,358.0,0.24727005451466505,0.32849769827508807,0.033922026296259615,0.15857852065587733,43,0,111,62,17,173,10,11,0,0.6863255838987572,0.3910769205246226,21,60,163,52,0,111,0.6863255838987572,nenhuma,117.6021759824815,0.0,128,0,terminal,0.9233333333333332,j6010_9.sm,5,adaptativa,controle,0,2.3698630136986303,0.7166666666666667,0.0
True,239,73,0.72781213656247,1.4210854715202004e-14,35.75929744888112,222.0,602.0,0.0,90.0,135.1365229539955,38,22,5,0,0.36666666666666664,0.45,358.0,0.27403470776104394,0.3774763211005461,0.09988630572313162,0.16337874003118064,40,0,0,90,20,90,11,6,79,0.7631789564580391,0.24360497938515846,11,60,0,0,79,0,0.7631789564580391,nenhuma,135.13652295399552,0.0,145,0,terminal,0.25,j6010_9.sm,6,centralizada,controle,0,3.2739726027397262,0.6666666666666666,0.0
True,161,73,0.6570166277664461,0.0,10.160980022022967,319.0,456.0,94.0,47.0,97.04636158173034,54,6,16,0,0.1,0.36666666666666664,358.0,0.2132669762360026,0.27107922229533615,0.02838262575984069,0.13982691496366592,30,0,94,47,30,141,7,10,0,0.7631789564580391,0.24360497938515846,11,60,134,40,0,94,0.7631789564580391,nenhuma,97.04636158173034,0.0,106,0,terminal,0.9249999999999999,j6010_9.sm,6,adaptativa,controle,0,2.2054794520547945,0.5,0.0
True,213,73,0.6794388138649745,9.325873406851315e-15,42.85435352935761,250.0,570.0,0.0,157.0,111.92763905783669,43,17,5,0,0.2833333333333333,0.36666666666666664,358.0,0.23818058304091602,0.31264703647440417,0.11970489812669724,0.1334175128423922,46,0,0,157,14,157,21,5,136,0.5858494645010164,0.43100241340042456,35,60,0,0,136,0,0.5858494645010164,nenhuma,111.92763905783669,0.0,121,0,terminal,0.25,j6010_9.sm,7,centralizada,controle,0,2.9178082191780823,0.7666666666666667,0.0
True,162,73,0.6096590739422779,0.0,6.733228237053809,326.0,437.0,125.0,66.0,88.79405536310419,54,6,13,0,0.1,0.31666666666666665,358.0,0.19873598204197754,0.2480280876064363,0.01880790010350226,0.12387666261841981,42,0,125,66,18,191,14,15,0,0.5858494645010164,0.43100241340042456,35,60,177,52,0,125,0.5858494645010164,nenhuma,88.79405536310419,0.0,95,0,terminal,0.9633333333333333,j6010_9.sm,7,adaptativa,controle,0,2.219178082191781,0.7,0.0
True,264,73,0.6339954806328103,3.552713678800501e-15,42.76865079331742,212.0,601.0,0.0,212.0,134.95628416802512,35,25,3,0,0.4166666666666667,0.4666666666666667,358.0,0.2737692742791468,0.37697286080453946,0.11946550500926653,0.14236551455162266,50,0,0,212,10,212,34,16,178,0.5273323364698471,0.27249021043639565,39,60,0,0,178,0,0.5273323364698471,nenhuma,134.9562841680251,0.0,147,0,terminal,0.25,j6010_9.sm,8,centralizada,controle,0,3.6164383561643834,0.8333333333333334,0.0
True,183,73,0.5547852598367574,0.0,6.567820250642336,337.0,479.0,170.0,66.0,148.39712800037847,56,4,24,0,0.06666666666666667,0.4666666666666667,358.0,0.29304496371525146,0.4145171173194929,0.018345866621905967,0.1718758647530658,55,0,170,66,5,236,15,7,0,0.5273323364698471,0.27249021043639565,39,60,221,51,0,170,0.5273323364698471,nenhuma,148.39712800037847,0.0,160,0,terminal,0.9466666666666667,j6010_9.sm,8,adaptativa,controle,0,2.506849315068493,0.9166666666666666,0.0
