variante,arquivo,semente,cenario,canal,limite_aversao_perda,concluiu,violacoes,atraso,fuga,N_req,conf,falha
A1ref,j6010_1.sm,0,centralizada,,0.1,False,0,16.0,0.995852235904083,0,0.25,0.1
A1ref,j6010_1.sm,0,adaptativa,,0.1,True,0,1.5058823529411764,0.5041322314049587,145,1.0,0.13333333333333333
A1ref,j6010_1.sm,1,centralizada,,0.1,False,0,16.0,0.994925178919974,0,0.25,0.1
A1ref,j6010_1.sm,1,adaptativa,,0.1,True,0,1.3176470588235294,0.0625,113,0.9666666666666667,0.15
A1ref,j6010_1.sm,2,centralizada,,0.1,False,0,16.0,0.9950436937524455,0,0.25,0.11666666666666667
A1ref,j6010_1.sm,2,adaptativa,,0.1,False,0,16.0,0.9922653382275826,150,0.9666666666666667,0.2
A1ref,j6010_1.sm,3,centralizada,,0.1,False,0,16.0,0.9965138799225307,0,0.25,0.06666666666666667
A1ref,j6010_1.sm,3,adaptativa,,0.1,False,0,16.0,0.9941268598277212,191,0.9666666666666667,0.13333333333333333
A1ref,j6021_1.sm,0,centralizada,,0.1,False,0,16.0,0.9944874851013111,0,0.25,0.13333333333333333
A1ref,j6021_1.sm,0,adaptativa,,0.1,False,0,16.0,0.9940670424206467,91,0.984233300120518,0.11666666666666667
A1ref,j6021_1.sm,1,centralizada,,0.1,False,0,16.0,0.9949442379182156,0,0.25,0.1
A1ref,j6021_1.sm,1,adaptativa,,0.1,True,0,2.5789473684210527,0.25925925925925924,90,0.965,0.3333333333333333
A1ref,j6021_1.sm,2,centralizada,,0.1,False,0,16.0,0.994145902131492,0,0.25,0.16666666666666666
A1ref,j6021_1.sm,2,adaptativa,,0.1,False,0,16.0,0.9933323455326715,75,0.9666666666666667,0.1
A1ref,j6021_1.sm,3,centralizada,,0.1,False,0,16.0,0.9949185473023464,0,0.25,0.1
A1ref,j6021_1.sm,3,adaptativa,,0.1,True,0,2.8684210526315788,0.6078431372549019,158,0.9633333333333334,0.25
A1ref,j6032_1.sm,0,centralizada,,0.1,False,0,16.0,0.9950304584802822,0,0.25,0.11666666666666667
A1ref,j6032_1.sm,0,adaptativa,,0.1,False,0,16.0,0.9923377893707206,151,0.9883333333333333,0.18333333333333332
A1ref,j6032_1.sm,1,centralizada,,0.1,False,0,16.0,0.994861088806809,0,0.25,0.16666666666666666
A1ref,j6032_1.sm,1,adaptativa,,0.1,False,0,16.0,0.9921760391198045,141,0.9983333333333334,0.23333333333333334
A1ref,j6032_1.sm,2,centralizada,,0.1,False,0,16.0,0.9933235629376324,0,0.25,0.23333333333333334
A1ref,j6032_1.sm,2,adaptativa,,0.1,False,0,16.0,0.9932659932659933,117,0.9666666666666667,0.1
A1ref,j6032_1.sm,3,centralizada,,0.1,False,0,16.0,0.9951783992285439,0,0.25,0.08333333333333333
A1ref,j6032_1.sm,3,adaptativa,,0.1,False,0,16.0,0.9933473957488236,162,0.9666666666666667,0.16666666666666666
A1ref,j6043_1.sm,0,centralizada,,0.1,False,0,16.0,0.9954936501433839,0,0.25,0.1
A1ref,j6043_1.sm,0,adaptativa,,0.1,True,0,1.6481481481481481,0.25925925925925924,286,0.9966666666666667,0.31666666666666665
A1ref,j6043_1.sm,1,centralizada,,0.1,False,0,16.0,0.9957840616966581,0,0.25,0.18333333333333332
A1ref,j6043_1.sm,1,adaptativa,,0.1,True,0,1.3796296296296295,0.16666666666666666,216,0.965,0.31666666666666665
A1ref,j6043_1.sm,2,centralizada,,0.1,False,0,16.0,0.9967663702506063,0,0.25,0.15
A1ref,j6043_1.sm,2,adaptativa,,0.1,True,0,1.4074074074074074,0.6363636363636364,208,0.9666666666666667,0.26666666666666666
A1ref,j6043_1.sm,3,centralizada,,0.1,False,0,16.0,0.9959058341862845,0,0.25,0.13333333333333333
A1ref,j6043_1.sm,3,adaptativa,,0.1,True,0,1.4074074074074074,0.4392523364485981,228,0.987694427897921,0.25
A1ref,j6010_1.sm,0,centralizada,,0.2,False,0,16.0,0.995852235904083,0,0.25,0.1
A1ref,j6010_1.sm,0,adaptativa,,0.2,True,0,1.5058823529411764,0.5041322314049587,145,1.0,0.13333333333333333
A1ref,j6010_1.sm,1,centralizada,,0.2,False,0,16.0,0.994925178919974,0,0.25,0.1
A1ref,j6010_1.sm,1,adaptativa,,0.2,True,0,1.3176470588235294,0.0625,113,0.9666666666666667,0.15
A1ref,j6010_1.sm,2,centralizada,,0.2,False,0,16.0,0.9950436937524455,0,0.25,0.11666666666666667
A1ref,j6010_1.sm,2,adaptativa,,0.2,False,0,16.0,0.9922653382275826,150,0.9666666666666667,0.2
A1ref,j6010_1.sm,3,centralizada,,0.2,False,0,16.0,0.9963791542738911,0,0.25,0.06666666666666667
A1ref,j6010_1.sm,3,adaptativa,,0.2,False,0,16.0,0.9941268598277212,191,0.9666666666666667,0.13333333333333333
A1ref,j6021_1.sm,0,centralizada,,0.2,False,0,16.0,0.9944850201222238,0,0.25,0.13333333333333333
A1ref,j6021_1.sm,0,adaptativa,,0.2,False,0,16.0,0.9948702916605598,68,0.9892333001205181,0.1
A1ref,j6021_1.sm,1,centralizada,,0.2,False,0,16.0,0.9949442379182156,0,0.25,0.1
A1ref,j6021_1.sm,1,adaptativa,,0.2,True,0,2.3947368421052633,0.25,92,0.9666666666666667,0.25
A1ref,j6021_1.sm,2,centralizada,,0.2,False,0,16.0,0.9943232745742456,0,0.25,0.13333333333333333
A1ref,j6021_1.sm,2,adaptativa,,0.2,False,0,16.0,0.9931740614334471,75,0.9666666666666667,0.1
A1ref,j6021_1.sm,3,centralizada,,0.2,False,0,16.0,0.9949033128466497,0,0.25,0.1
A1ref,j6021_1.sm,3,adaptativa,,0.2,True,0,3.0657894736842106,0.6153846153846154,162,0.9666666666666667,0.26666666666666666
A1ref,j6032_1.sm,0,centralizada,,0.2,False,0,16.0,0.9948816378758797,0,0.25,0.05
A1ref,j6032_1.sm,0,adaptativa,,0.2,False,0,16.0,0.9923377893707206,151,0.9883333333333333,0.18333333333333332
A1ref,j6032_1.sm,1,centralizada,,0.2,False,0,16.0,0.994861088806809,0,0.25,0.16666666666666666
A1ref,j6032_1.sm,1,adaptativa,,0.2,False,0,16.0,0.9921760391198045,141,0.9983333333333334,0.23333333333333334
A1ref,j6032_1.sm,2,centralizada,,0.2,False,0,16.0,0.9933235629376324,0,0.25,0.23333333333333334
A1ref,j6032_1.sm,2,adaptativa,,0.2,False,0,16.0,0.993090149445605,117,0.9666666666666667,0.11666666666666667
A1ref,j6032_1.sm,3,centralizada,,0.2,False,0,16.0,0.9951783992285439,0,0.25,0.08333333333333333
A1ref,j6032_1.sm,3,adaptativa,,0.2,False,0,16.0,0.9933473957488236,162,0.9666666666666667,0.16666666666666666
A1ref,j6043_1.sm,0,centralizada,,0.2,False,0,16.0,0.9954936501433839,0,0.25,0.1
A1ref,j6043_1.sm,0,adaptativa,,0.2,True,0,1.6481481481481481,0.25925925925925924,286,0.9966666666666667,0.31666666666666665
A1ref,j6043_1.sm,1,centralizada,,0.2,False,0,16.0,0.9954844006568144,0,0.25,0.2
A1ref,j6043_1.sm,1,adaptativa,,0.2,True,0,1.3796296296296295,0.16666666666666666,216,0.965,0.31666666666666665
A1ref,j6043_1.sm,2,centralizada,,0.2,False,0,16.0,0.9967663702506063,0,0.25,0.15
A1ref,j6043_1.sm,2,adaptativa,,0.2,True,0,1.4074074074074074,0.6363636363636364,208,0.9666666666666667,0.26666666666666666
A1ref,j6043_1.sm,3,centralizada,,0.2,False,0,16.0,0.9959058341862845,0,0.25,0.13333333333333333
A1ref,j6043_1.sm,3,adaptativa,,0.2,True,0,1.4074074074074074,0.34782608695652173,235,0.987694427897921,0.23333333333333334
A1ref,j6010_1.sm,0,centralizada,,0.3,False,0,16.0,0.9961180124223602,0,0.25,0.08333333333333333
A1ref,j6010_1.sm,0,adaptativa,,0.3,True,0,1.576470588235294,0.4827586206896552,148,0.9983333333333334,0.13333333333333333
A1ref,j6010_1.sm,1,centralizada,,0.3,False,0,16.0,0.994925178919974,0,0.25,0.1
