variante,arquivo,semente,cenario,canal,limite_aversao_perda,concluiu,violacoes,atraso,fuga,N_req,conf,falha
F2,j6010_1.sm,0,centralizada,,0.1,True,0,2.152941176470588,0.3617021276595745,0,0.25,0.25
F2,j6010_1.sm,0,adaptativa,,0.1,True,0,1.588235294117647,0.14285714285714285,190,1.0,0.18333333333333332
F2,j6010_1.sm,1,centralizada,,0.1,True,0,4.023529411764706,0.40594059405940597,0,0.25,0.2
F2,j6010_1.sm,1,adaptativa,,0.1,True,0,1.5529411764705883,0.22077922077922077,159,0.9666666666666667,0.2833333333333333
F2,j6010_1.sm,2,centralizada,,0.1,True,0,3.4705882352941178,0.4444444444444444,0,0.25,0.16666666666666666
F2,j6010_1.sm,2,adaptativa,,0.1,True,0,1.6235294117647059,0.4339622641509434,184,0.9666666666666667,0.26666666666666666
F2,j6010_1.sm,3,centralizada,,0.1,True,0,2.6470588235294117,0.375,0,0.25,0.21666666666666667
F2,j6010_1.sm,3,adaptativa,,0.1,True,0,1.611764705882353,0.3548387096774194,189,1.0,0.21666666666666667
F2,j6021_1.sm,0,centralizada,,0.1,True,0,3.3552631578947367,0.3333333333333333,0,0.25,0.2833333333333333
F2,j6021_1.sm,0,adaptativa,,0.1,True,0,2.5789473684210527,0.2857142857142857,149,1.0,0.25
F2,j6021_1.sm,1,centralizada,,0.1,True,0,4.355263157894737,0.4690265486725664,0,0.25,0.31666666666666665
F2,j6021_1.sm,1,adaptativa,,0.1,True,0,2.5,0.2857142857142857,70,0.9666666666666667,0.21666666666666667
F2,j6021_1.sm,2,centralizada,,0.1,True,0,3.9078947368421053,0.4174757281553398,0,0.25,0.3333333333333333
F2,j6021_1.sm,2,adaptativa,,0.1,True,0,2.526315789473684,0.34782608695652173,123,0.9666666666666667,0.2
F2,j6021_1.sm,3,centralizada,,0.1,True,0,3.276315789473684,0.4782608695652174,0,0.25,0.26666666666666666
F2,j6021_1.sm,3,adaptativa,,0.1,True,0,2.5789473684210527,0.3333333333333333,157,0.9666666666666667,0.26666666666666666
F2,j6032_1.sm,0,centralizada,,0.1,True,0,2.5652173913043477,0.5488721804511278,0,0.25,0.36666666666666664
F2,j6032_1.sm,0,adaptativa,,0.1,True,0,1.7826086956521738,0.4230769230769231,121,0.9933333333333333,0.25
F2,j6032_1.sm,1,centralizada,,0.1,True,0,3.9855072463768115,0.5,0,0.25,0.25
F2,j6032_1.sm,1,adaptativa,,0.1,True,0,1.681159420289855,0.21052631578947367,127,0.9666666666666667,0.16666666666666666
F2,j6032_1.sm,2,centralizada,,0.1,True,0,3.5072463768115942,0.5275590551181102,0,0.25,0.3
F2,j6032_1.sm,2,adaptativa,,0.1,True,0,1.8985507246376812,0.4957983193277311,182,0.9666666666666667,0.23333333333333334
F2,j6032_1.sm,3,centralizada,,0.1,True,0,2.927536231884058,0.6363636363636364,0,0.25,0.31666666666666665
F2,j6032_1.sm,3,adaptativa,,0.1,True,0,2.260869565217391,0.5,214,0.9666666666666667,0.2833333333333333
F2,j6043_1.sm,0,centralizada,,0.1,True,0,2.1018518518518516,0.2857142857142857,0,0.25,0.25
F2,j6043_1.sm,0,adaptativa,,0.1,True,0,1.6388888888888888,0.25,285,1.0,0.21666666666666667
F2,j6043_1.sm,1,centralizada,,0.1,True,0,2.3055555555555554,0.3617021276595745,0,0.25,0.21666666666666667
F2,j6043_1.sm,1,adaptativa,,0.1,True,0,1.4814814814814814,0.1891891891891892,253,0.9666666666666667,0.18333333333333332
F2,j6043_1.sm,2,centralizada,,0.1,True,0,2.287037037037037,0.40594059405940597,0,0.25,0.31666666666666665
F2,j6043_1.sm,2,adaptativa,,0.1,True,0,1.4907407407407407,0.3333333333333333,202,0.9666666666666667,0.3
