variante,arquivo,semente,cenario,canal,tau_sat,s_transicao,concluiu,violacoes,atraso,fuga,N_req,conf,falha
GF,j6021_1.sm,0,centralizada,ativo,1.0,0.01,True,0,3.1184210526315788,0.25925925925925924,265,0.888862115969813,0.3333333333333333
GF,j6021_1.sm,1,centralizada,ativo,1.0,0.01,True,0,5.368421052631579,0.1780821917808219,163,0.875,0.36666666666666664
GF,j6021_1.sm,2,centralizada,ativo,1.0,0.01,True,0,4.0,0.1780821917808219,164,0.875,0.35
GF,j6032_1.sm,0,centralizada,ativo,1.0,0.01,True,0,3.347826086956522,0.14285714285714285,288,0.861134391790071,0.2833333333333333
GF,j6032_1.sm,1,centralizada,ativo,1.0,0.01,True,0,2.8840579710144927,0.1044776119402985,235,0.8792372777935791,0.38333333333333336
GF,j6043_1.sm,0,centralizada,ativo,1.0,0.01,True,0,2.5462962962962963,0.11764705882352941,491,0.9983333333333334,0.25
GF,j6043_1.sm,1,centralizada,ativo,1.0,0.01,True,0,2.4074074074074074,0.09090909090909091,381,0.8666666666666667,0.2
GF,j6010_1.sm,0,centralizada,ativo,1.4,0.01,True,0,3.1294117647058823,0.07692307692307693,358,1.0,0.3333333333333333
GF,j6010_1.sm,1,centralizada,ativo,1.4,0.01,True,0,3.0823529411764707,0.0625,260,0.8810226732868868,0.2833333333333333
GF,j6010_1.sm,2,centralizada,ativo,1.4,0.01,True,0,2.847058823529412,0.07692307692307693,369,0.8716862589819206,0.26666666666666666
GF,j6010_1.sm,3,centralizada,ativo,1.4,0.01,True,0,3.5058823529411764,0.15492957746478872,271,0.7983261027619867,0.36666666666666664
GF,j6021_1.sm,0,centralizada,ativo,1.4,0.01,True,0,4.592105263157895,0.047619047619047616,541,0.9483440026424462,0.3
GF,j6021_1.sm,1,centralizada,ativo,1.4,0.01,True,0,3.6710526315789473,0.1780821917808219,197,0.875,0.3333333333333333
GF,j6021_1.sm,2,centralizada,ativo,1.4,0.01,True,0,4.4605263157894735,0.047619047619047616,182,0.82,0.2833333333333333
GF,j6032_1.sm,0,centralizada,ativo,1.4,0.01,True,0,2.9130434782608696,0.07692307692307693,336,0.8516666666666667,0.18333333333333332
GF,j6032_1.sm,1,centralizada,ativo,1.4,0.01,True,0,3.608695652173913,0.047619047619047616,320,0.8845891016965121,0.3
GF,j6043_1.sm,0,centralizada,ativo,1.4,0.01,True,0,2.435185185185185,0.07692307692307693,540,0.9883333333333333,0.21666666666666667
GF,j6043_1.sm,1,centralizada,ativo,1.4,0.01,True,0,2.6481481481481484,0.0,546,0.8649999999999999,0.18333333333333332
GF,j6021_1.sm,0,centralizada,desligado,1.0,0.01,True,0,4.0394736842105265,0.16666666666666666,237,0.888862115969813,0.38333333333333336
GF,j6021_1.sm,1,centralizada,desligado,1.0,0.01,True,0,4.157894736842105,0.14285714285714285,254,0.875,0.2833333333333333
GF,j6021_1.sm,2,centralizada,desligado,1.0,0.01,True,0,3.789473684210526,0.23076923076923078,150,0.875,0.3
GF,j6032_1.sm,0,centralizada,desligado,1.0,0.01,True,0,2.8115942028985508,0.15492957746478872,308,0.8516666666666666,0.21666666666666667
GF,j6032_1.sm,1,centralizada,desligado,1.0,0.01,True,0,2.7681159420289854,0.2,233,0.8859039444602458,0.36666666666666664
GF,j6043_1.sm,0,centralizada,desligado,1.0,0.01,True,0,2.888888888888889,0.13043478260869565,519,0.9833333333333334,0.2833333333333333
GF,j6043_1.sm,1,centralizada,desligado,1.0,0.01,True,0,2.25,0.0625,377,0.8666666666666667,0.16666666666666666
GF,j6010_1.sm,0,centralizada,desligado,1.4,0.01,True,0,2.5058823529411764,0.1044776119402985,365,0.9933333333333333,0.25
GF,j6010_1.sm,1,centralizada,desligado,1.4,0.01,True,0,2.976470588235294,0.07692307692307693,262,0.8810226732868868,0.26666666666666666
GF,j6010_1.sm,2,centralizada,desligado,1.4,0.01,True,0,3.2588235294117647,0.1044776119402985,368,0.893832512099034,0.23333333333333334
GF,j6010_1.sm,3,centralizada,desligado,1.4,0.01,True,0,4.694117647058824,0.23076923076923078,328,0.7899927694286534,0.35
GF,j6021_1.sm,0,centralizada,desligado,1.4,0.01,True,0,4.118421052631579,0.0,593,0.9983333333333334,0.2833333333333333
GF,j6021_1.sm,1,centralizada,desligado,1.4,0.01,True,0,4.7631578947368425,0.1044776119402985,216,0.87,0.26666666666666666
GF,j6021_1.sm,2,centralizada,desligado,1.4,0.01,True,0,4.4605263157894735,0.047619047619047616,182,0.82,0.2833333333333333
GF,j6032_1.sm,0,centralizada,desligado,1.4,0.01,True,0,2.9130434782608696,0.07692307692307693,336,0.8516666666666667,0.18333333333333332
GF,j6032_1.sm,1,centralizada,desligado,1.4,0.01,True,0,3.7246376811594204,0.047619047619047616,320,0.8845891016965121,0.26666666666666666
GF,j6043_1.sm,0,centralizada,desligado,1.4,0.01,True,0,2.861111111111111,0.07692307692307693,536,0.995,0.25
GF,j6043_1.sm,1,centralizada,desligado,1.4,0.01,True,0,3.361111111111111,0.01639344262295082,628,0.875,0.11666666666666667
