variante,arquivo,semente,cenario,canal,tau_sat,s_transicao,concluiu,violacoes,atraso,fuga,N_req,conf,falha
G,j6021_1.sm,0,centralizada,ativo,1.0,0.01,True,0,3.486842105263158,0.0,231,0.8771954493031465,0.36666666666666664
G,j6021_1.sm,1,centralizada,ativo,1.0,0.01,True,0,3.210526315789474,0.0,148,0.8716666666666667,0.3
G,j6021_1.sm,2,centralizada,ativo,1.0,0.01,True,0,3.8815789473684212,0.0,110,0.7905654037723785,0.3
G,j6032_1.sm,0,centralizada,ativo,1.0,0.01,True,0,3.318840579710145,0.0,291,0.8426011198610627,0.25
G,j6032_1.sm,1,centralizada,ativo,1.0,0.01,True,0,3.072463768115942,0.0,251,0.8559039444602456,0.36666666666666664
G,j6043_1.sm,0,centralizada,ativo,1.0,0.01,True,0,2.4722222222222223,0.0,477,0.995,0.23333333333333334
G,j6043_1.sm,1,centralizada,ativo,1.0,0.01,True,0,2.8796296296296298,0.0,374,0.85,0.2
G,j6010_1.sm,0,centralizada,ativo,1.4,0.01,True,0,2.7294117647058824,0.0,427,0.945,0.3333333333333333
G,j6010_1.sm,1,centralizada,ativo,1.4,0.01,True,0,2.5647058823529414,0.0,257,0.8710226732868868,0.2833333333333333
G,j6010_1.sm,2,centralizada,ativo,1.4,0.01,True,0,3.3176470588235296,0.0,222,0.8554991787657006,0.2833333333333333
G,j6010_1.sm,3,centralizada,ativo,1.4,0.01,True,0,3.588235294117647,0.0,304,0.7566594360953198,0.4166666666666667
G,j6021_1.sm,0,centralizada,ativo,1.4,0.01,True,0,4.223684210526316,0.0,537,0.9483440026424462,0.31666666666666665
G,j6021_1.sm,1,centralizada,ativo,1.4,0.01,True,0,4.7631578947368425,0.0,179,0.8733333333333334,0.3333333333333333
G,j6021_1.sm,2,centralizada,ativo,1.4,0.01,True,0,3.8157894736842106,0.0,183,0.8216666666666667,0.3333333333333333
G,j6032_1.sm,0,centralizada,ativo,1.4,0.01,True,0,3.130434782608696,0.0,335,0.8533333333333334,0.2
G,j6032_1.sm,1,centralizada,ativo,1.4,0.01,True,0,3.4057971014492754,0.0,321,0.8845891016965121,0.3
G,j6043_1.sm,0,centralizada,ativo,1.4,0.01,True,0,2.5185185185185186,0.0,488,0.995,0.2
G,j6043_1.sm,1,centralizada,ativo,1.4,0.01,True,0,2.6481481481481484,0.0,546,0.8649999999999999,0.18333333333333332
G,j6021_1.sm,0,centralizada,desligado,1.0,0.01,True,0,3.710526315789474,0.0,211,0.8738621159698131,0.43333333333333335
G,j6021_1.sm,1,centralizada,desligado,1.0,0.01,True,0,4.552631578947368,0.0,182,0.87,0.2833333333333333
G,j6021_1.sm,2,centralizada,desligado,1.0,0.01,True,0,3.8815789473684212,0.0,110,0.7905654037723785,0.3
G,j6032_1.sm,0,centralizada,desligado,1.0,0.01,True,0,3.318840579710145,0.0,291,0.8426011198610627,0.25
G,j6032_1.sm,1,centralizada,desligado,1.0,0.01,True,0,3.449275362318841,0.0,245,0.8525706111269122,0.3
G,j6043_1.sm,0,centralizada,desligado,1.0,0.01,True,0,2.6944444444444446,0.0,486,0.9933333333333333,0.31666666666666665
G,j6043_1.sm,1,centralizada,desligado,1.0,0.01,True,0,3.675925925925926,0.0,377,0.85,0.2
G,j6010_1.sm,0,centralizada,desligado,1.4,0.01,True,0,2.788235294117647,0.0,341,0.9516666666666667,0.25
G,j6010_1.sm,1,centralizada,desligado,1.4,0.01,True,0,2.5647058823529414,0.0,257,0.8710226732868868,0.2833333333333333
G,j6010_1.sm,2,centralizada,desligado,1.4,0.01,True,0,4.2,0.0,245,0.8371658454323674,0.21666666666666667
G,j6010_1.sm,3,centralizada,desligado,1.4,0.01,True,0,3.2588235294117647,0.0,280,0.76665943609532,0.4666666666666667
G,j6021_1.sm,0,centralizada,desligado,1.4,0.01,True,0,4.118421052631579,0.0,593,0.9983333333333334,0.2833333333333333
G,j6021_1.sm,1,centralizada,desligado,1.4,0.01,True,0,3.8684210526315788,0.0,245,0.875,0.26666666666666666
G,j6021_1.sm,2,centralizada,desligado,1.4,0.01,True,0,3.8157894736842106,0.0,183,0.8216666666666667,0.3333333333333333
G,j6032_1.sm,0,centralizada,desligado,1.4,0.01,True,0,3.130434782608696,0.0,335,0.8533333333333334,0.2
G,j6032_1.sm,1,centralizada,desligado,1.4,0.01,True,0,3.4057971014492754,0.0,321,0.8845891016965121,0.3
G,j6043_1.sm,0,centralizada,desligado,1.4,0.01,True,0,2.5185185185185186,0.0,488,0.995,0.2
G,j6043_1.sm,1,centralizada,desligado,1.4,0.01,True,0,2.388888888888889,0.0,581,0.8733333333333334,0.1
