concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,arquivo,semente,cenario,s_portoes,violacoes,atraso_relativo,fracao_porta1,fracao_fuga
True,317,76,0.48394576834587316,0.0,28.078090495582927,225.0,476.0,197.0,214.0,96.58128355366793,44,16,1,8,0.26666666666666666,0.2833333333333333,332.0,0.22535114635162035,0.29090748058333715,0.08457256173368352,0.098193494700022,23,8,197,206,37,403,45,7,91,0.6268507180531939,0.4857196752206667,18,60,267,70,91,197,0.6268507180531939,nenhuma,96.58128355366793,0.0,105,0,terminal,0.8857085800110709,j6021_1.sm,0,centralizada,0.1,0,4.171052631578948,0.38333333333333336,0.11764705882352941
True,384,76,0.5798544442606945,0.0,36.18030835148208,252.0,514.0,74.0,217.0,81.42935324112601,47,13,5,8,0.21666666666666667,0.3,332.0,0.1969607445691783,0.24526913626845184,0.10897683238398218,0.09186220305474885,22,8,74,209,38,283,44,0,105,0.6586427040007742,0.39362113220747674,17,60,134,60,105,74,0.6586427040007742,nenhuma,81.42935324112602,0.0,89,0,terminal,0.6316827873345047,j6021_1.sm,1,centralizada,0.1,0,5.052631578947368,0.36666666666666664,0.11764705882352941
True,285,76,0.5594252861179447,0.0,48.31236425167765,226.0,500.0,71.0,224.0,98.77440099227837,41,19,4,9,0.31666666666666665,0.38333333333333336,332.0,0.22929496452146167,0.2975132560008385,0.145519169432764,0.11051379507246786,28,9,71,215,32,286,37,5,149,0.7659648859265082,0.2570239140832174,6,60,100,29,149,71,0.7659648859265082,nenhuma,98.77440099227839,0.0,109,0,terminal,0.7604101699425919,j6021_1.sm,2,centralizada,0.1,0,3.75,0.4666666666666667,0.13043478260869565
True,193,69,0.5869462940772612,0.0,38.26879518535759,254.0,555.0,134.0,180.0,76.57203205876951,46,14,3,5,0.23333333333333334,0.2833333333333333,337.0,0.1851479938756798,0.22721671234056234,0.11355725574290086,0.08097958639073874,25,5,134,175,35,309,27,0,93,0.6268507180531939,0.4857196752206667,14,60,189,55,93,134,0.6268507180531939,nenhuma,76.57203205876951,0.0,87,0,terminal,0.8298685881623475,j6032_1.sm,0,centralizada,0.1,0,2.7971014492753623,0.4166666666666667,0.07692307692307693
True,246,69,0.5735043803948889,3.552713678800501e-15,50.98748280203355,216.0,582.0,54.0,261.0,117.81352173676757,43,17,3,9,0.2833333333333333,0.3333333333333333,337.0,0.25903698132562225,0.3495950199904082,0.15129816855202832,0.1160937642367434,32,9,54,252,28,306,22,41,120,0.6586427040007742,0.39362113220747674,13,60,164,110,120,54,0.6586427040007742,nenhuma,117.81352173676758,0.0,126,0,terminal,0.5602961239595383,j6032_1.sm,1,centralizada,0.1,0,3.5652173913043477,0.5333333333333333,0.13043478260869565
True,267,108,0.4105828593368639,0.0,23.992887978698196,221.0,466.0,341.0,252.0,75.97188059102332,41,19,0,6,0.31666666666666665,0.31666666666666665,334.0,0.18530997901978255,0.22746072033240516,0.07183499394819819,0.06693723597051748,15,6,341,246,45,587,54,0,86,0.6268507180531939,0.4857196752206667,21,60,447,106,86,341,0.6268507180531939,nenhuma,75.97188059102332,0.0,83,0,terminal,1.0,j6043_1.sm,0,centralizada,0.1,0,2.4722222222222223,0.25,0.09090909090909091
True,386,108,0.43208114526872554,1.7763568394002505e-15,17.805285475425585,292.0,464.0,227.0,339.0,43.87236189494711,52,8,2,6,0.13333333333333333,0.16666666666666666,334.0,0.11610365382357372,0.13135437693097937,0.053309237950376,0.04085435425261367,10,6,227,333,50,560,64,3,126,0.6586427040007742,0.39362113220747674,20,60,370,143,126,227,0.6586427040007742,nenhuma,43.87236189494711,0.0,47,0,terminal,0.8649999999999999,j6043_1.sm,1,centralizada,0.1,0,3.574074074074074,0.16666666666666666,0.09090909090909091
True,224,85,0.459340613654714,0.0,31.38899839192485,206.0,486.0,229.0,242.0,101.03838274428267,40,20,5,7,0.3333333333333333,0.4166666666666667,323.0,0.23827650244863352,0.31281233047765533,0.09717956158490666,0.0954959521243594,22,7,229,235,38,464,58,0,99,0.6268507180531939,0.4857196752206667,16,60,307,78,99,229,0.6268507180531939,nenhuma,101.03838274428266,0.0,109,0,terminal,0.9048467892258945,j6010_1.sm,0,centralizada,0.1,0,2.635294117647059,0.36666666666666664,0.1044776119402985
True,302,85,0.49645670696329675,5.10702591327572e-15,39.235274197377485,228.0,495.0,149.0,261.0,92.0657925598244,46,14,4,5,0.23333333333333334,0.3,323.0,0.22181011832372274,0.28503341349790834,0.12147143714358355,0.09233672767316446,24,5,149,256,36,405,57,5,115,0.6586427040007742,0.39362113220747674,14,60,233,84,115,149,0.6586427040007742,nenhuma,92.0657925598244,0.0,98,0,terminal,0.8533333333333334,j6010_1.sm,1,centralizada,0.1,0,3.552941176470588,0.4,0.07692307692307693
True,225,85,0.49931660211995077,8.881784197001252e-16,37.32541132363607,232.0,496.0,115.0,317.0,65.35771711601527,45,15,0,14,0.25,0.25,323.0,0.1682925669698763,0.20234587342419588,0.11555854898958536,0.06579474442073728,29,14,115,303,31,418,47,25,111,0.7659648859265082,0.2570239140832174,4,60,260,145,111,115,0.7659648859265082,nenhuma,65.35771711601527,0.0,71,0,terminal,0.8533105897398753,j6010_1.sm,2,centralizada,0.1,0,2.6470588235294117,0.48333333333333334,0.1891891891891892
True,277,85,0.4995333372562091,0.0,37.25969080134055,199.0,470.0,149.0,208.0,113.8781455539543,39,21,5,10,0.35,0.43333333333333335,323.0,0.2606634062904627,0.35256391812369753,0.1153550798803113,0.1210338938066279,22,10,149,198,38,347,29,13,68,0.794910294566222,0.24332019624229823,3,60,250,101,68,149,0.794910294566222,nenhuma,113.8781455539543,0.0,123,0,terminal,0.84483533393969,j6010_1.sm,3,centralizada,0.1,0,3.2588235294117647,0.36666666666666664,0.14285714285714285
True,305,76,0.4456625752569714,0.0,26.636338962899696,248.0,475.0,279.0,239.0,72.82878251805752,44,16,2,5,0.26666666666666666,0.3,332.0,0.17990020883658134,0.2193638027652335,0.08022993663524004,0.06833065846279456,12,5,279,234,48,513,53,0,92,0.6268507180531939,0.4857196752206667,18,60,368,89,92,279,0.6268507180531939,nenhuma,72.82878251805752,0.0,77,0,terminal,0.8840419133444043,j6021_1.sm,0,centralizada,0.1,0,4.0131578947368425,0.2,0.07692307692307693
True,391,76,0.5518717148289983,0.0,35.32462367262091,274.0,518.0,96.0,250.0,74.62393393454909,50,10,4,3,0.16666666666666666,0.23333333333333334,332.0,0.18352076133954448,0.22477088534502737,0.10639946889343647,0.07950354901109166,22,3,96,247,38,343,53,0,112,0.6586427040007742,0.39362113220747674,17,60,178,82,112,96,0.6586427040007742,nenhuma,74.62393393454907,0.0,82,0,terminal,0.5979832904794634,j6021_1.sm,1,centralizada,0.1,0,5.144736842105263,0.36666666666666664,0.047619047619047616
True,317,76,0.5237235231335176,1.3322676295501878e-15,51.05759958888553,214.0,506.0,110.0,234.0,116.1586269269041,40,20,3,7,0.3333333333333333,0.38333333333333336,332.0,0.25919087561344634,0.34987538230995213,0.15378795056893232,0.12022728327373536,23,7,110,227,37,337,45,1,155,0.7659648859265082,0.2570239140832174,6,60,137,27,155,110,0.7659648859265082,nenhuma,116.1586269269041,0.0,126,0,terminal,0.7937167525300811,j6021_1.sm,2,centralizada,0.1,0,4.171052631578948,0.38333333333333336,0.1044776119402985
True,195,69,0.5615624683854703,0.0,21.512801723890227,242.0,549.0,150.0,200.0,78.62943734187176,45,15,2,2,0.25,0.2833333333333333,337.0,0.18918158888056796,0.2333217725278094,0.0638362068958167,0.08042867198809141,15,2,150,198,45,348,29,10,94,0.6268507180531939,0.4857196752206667,14,60,225,75,94,150,0.6268507180531939,nenhuma,78.62943734187176,0.0,86,0,terminal,0.8115352548290143,j6032_1.sm,0,centralizada,0.1,0,2.8260869565217392,0.25,0.03225806451612903
True,228,69,0.5872121884652576,0.0,31.7377824784908,247.0,565.0,76.0,257.0,64.17348872932709,44,16,1,3,0.26666666666666666,0.2833333333333333,337.0,0.1599644306820711,0.1904257825796056,0.09417739607860771,0.06669638010300655,20,3,76,254,40,330,33,21,122,0.6586427040007742,0.39362113220747674,13,60,175,99,122,76,0.6586427040007742,nenhuma,64.17348872932709,0.0,70,0,terminal,0.7219721279614265,j6032_1.sm,1,centralizada,0.1,0,3.3043478260869565,0.3333333333333333,0.047619047619047616
True,284,108,0.37433188205178913,0.0,23.789884800187913,222.0,471.0,418.0,274.0,95.24174371243326,40,20,1,3,0.3333333333333333,0.35,334.0,0.22188369399654576,0.2851549212947104,0.07122720000056261,0.07569431247084776,12,3,418,271,48,689,66,0,87,0.6268507180531939,0.4857196752206667,21,60,536,118,87,418,0.6268507180531939,nenhuma,95.24174371243326,0.0,102,0,terminal,0.9883333333333333,j6043_1.sm,0,centralizada,0.1,0,2.6296296296296298,0.2,0.047619047619047616
True,262,108,0.38944939455810185,0.0,18.907076419521523,272.0,464.0,317.0,359.0,51.4256549981001,49,11,2,0,0.18333333333333332,0.21666666666666667,334.0,0.13342561485263246,0.15396902694041947,0.05660801323210037,0.043163125439146355,5,0,317,359,55,676,82,3,128,0.6586427040007742,0.39362113220747674,20,60,466,149,128,317,0.6586427040007742,nenhuma,51.4256549981001,0.0,55,0,terminal,0.86,j6043_1.sm,1,centralizada,0.1,0,2.425925925925926,0.08333333333333333,0.0
True,257,76,0.499124398099373,0.0,30.39412866997347,246.0,473.0,192.0,208.0,74.65954499749438,45,15,1,6,0.25,0.26666666666666666,332.0,0.1835922601987724,0.2248781475828144,0.09154858033124538,0.0787830876516859,21,6,192,202,39,394,45,0,92,0.6268507180531939,0.4857196752206667,18,60,257,65,92,192,0.6268507180531939,nenhuma,74.6595449974944,0.0,80,0,terminal,0.8790419133444042,j6021_1.sm,0,centralizada,0.1,0,3.3815789473684212,0.35,0.09090909090909091
True,310,76,0.5840327282580648,0.0,30.85580666047393,274.0,515.0,75.0,223.0,68.7998976462128,51,9,5,10,0.15,0.23333333333333334,332.0,0.17165647508957865,0.20722860736811083,0.09293917668817449,0.07802212024503549,23,10,75,213,37,288,44,0,105,0.6586427040007742,0.39362113220747674,17,60,139,64,105,75,0.6586427040007742,nenhuma,68.79989764621278,0.0,74,0,terminal,0.6225245723899578,j6021_1.sm,1,centralizada,0.1,0,4.078947368421052,0.38333333333333336,0.14285714285714285
True,306,76,0.536692479571067,0.0,58.90396264266686,226.0,501.0,93.0,229.0,110.49547286447336,45,15,4,8,0.25,0.31666666666666665,332.0,0.24970983804463848,0.33281768935082334,0.17742157422490018,0.11836744373854644,27,8,93,221,33,314,37,5,150,0.7659648859265082,0.2570239140832174,6,60,127,34,150,93,0.7659648859265082,nenhuma,110.49547286447338,0.0,119,0,terminal,0.7520768366092586,j6021_1.sm,2,centralizada,0.1,0,4.026315789473684,0.45,0.11764705882352941
True,207,69,0.5588898986555517,1.7763568394002505e-15,35.67608960076835,243.0,545.0,159.0,196.0,75.14734353051506,46,14,1,5,0.23333333333333334,0.25,337.0,0.18233125776522496,0.2229891499421812,0.10586376736133042,0.07706255267890548,18,5,159,191,42,350,29,7,93,0.6268507180531939,0.4857196752206667,14,60,228,69,93,159,0.6268507180531939,nenhuma,75.14734353051507,0.0,82,0,terminal,0.8320199041412378,j6032_1.sm,0,centralizada,0.1,0,3.0,0.3,0.07692307692307693
True,246,69,0.5735043803948889,3.552713678800501e-15,50.98748280203355,216.0,582.0,54.0,261.0,117.81352173676757,43,17,3,9,0.2833333333333333,0.3333333333333333,337.0,0.25903698132562225,0.3495950199904082,0.15129816855202832,0.1160937642367434,32,9,54,252,28,306,22,41,120,0.6586427040007742,0.39362113220747674,13,60,164,110,120,54,0.6586427040007742,nenhuma,117.81352173676758,0.0,126,0,terminal,0.5602961239595383,j6032_1.sm,1,centralizada,0.1,0,3.5652173913043477,0.5333333333333333,0.13043478260869565
True,249,108,0.42820338817310877,0.0,18.10716365906316,254.0,476.0,326.0,247.0,62.62128359332041,47,13,1,6,0.21666666666666667,0.23333333333333334,334.0,0.15788684617724594,0.18748887303389344,0.054213064847494497,0.05633328950926241,21,6,326,241,39,567,48,0,86,0.6268507180531939,0.4857196752206667,21,60,433,107,86,326,0.6268507180531939,nenhuma,62.62128359332041,0.0,67,0,terminal,0.9866666666666667,j6043_1.sm,0,centralizada,0.1,0,2.3055555555555554,0.35,0.09090909090909091
True,389,108,0.43867536850460803,2.6645352591003757e-15,23.6454542829294,279.0,462.0,204.0,325.0,62.17059759909226,52,8,6,4,0.13333333333333333,0.23333333333333334,334.0,0.15692885331688913,0.1861395137697373,0.07079477330218384,0.05903183941976947,10,4,204,321,50,525,61,3,126,0.6586427040007742,0.39362113220747674,20,60,338,134,126,204,0.6586427040007742,nenhuma,62.17059759909225,0.0,68,0,terminal,0.8029556015313585,j6043_1.sm,1,centralizada,0.1,0,3.6018518518518516,0.16666666666666666,0.0625
True,273,85,0.4658049877313435,0.0,21.999176800444893,223.0,477.0,241.0,243.0,63.03368912638892,44,16,0,7,0.26666666666666666,0.26666666666666666,323.0,0.1632854616109721,0.19515074032937746,0.06810890650292536,0.061554311929096245,13,7,241,236,47,477,54,1,97,0.6268507180531939,0.4857196752206667,16,60,326,85,97,241,0.6268507180531939,nenhuma,63.03368912638892,0.0,69,0,terminal,0.8823678788665398,j6010_1.sm,0,centralizada,0.1,0,3.211764705882353,0.21666666666666667,0.1044776119402985
True,373,85,0.5002479778896312,0.0,19.631841744881665,255.0,490.0,155.0,262.0,72.51420426952299,47,13,7,4,0.21666666666666667,0.3333333333333333,323.0,0.18334159301168412,0.22450218040099998,0.0607796958045872,0.0740307837838868,26,4,155,258,34,413,58,5,115,0.6586427040007742,0.39362113220747674,14,60,240,85,115,155,0.6586427040007742,nenhuma,72.51420426952299,0.0,79,0,terminal,0.8700000000000001,j6010_1.sm,1,centralizada,0.1,0,4.3882352941176475,0.43333333333333335,0.0625
True,259,85,0.49039796431746774,0.0,35.845391325853214,227.0,501.0,114.0,320.0,86.61924896504841,43,17,2,9,0.2833333333333333,0.31666666666666665,323.0,0.21146283819401118,0.26817104942739445,0.11097644373329169,0.0847862342578197,27,9,114,311,33,425,47,30,111,0.7659648859265082,0.2570239140832174,4,60,267,153,111,114,0.7659648859265082,nenhuma,86.61924896504844,0.0,94,0,terminal,0.8119131293517898,j6010_1.sm,2,centralizada,0.1,0,3.0470588235294116,0.45,0.13043478260869565
True,270,85,0.4832110454213504,7.105427357601002e-15,26.07799508098207,228.0,470.0,182.0,221.0,99.65988526849459,43,17,3,11,0.2833333333333333,0.3333333333333333,323.0,0.23579215521053218,0.30854453643496776,0.08073682687610548,0.10246118584502363,22,11,182,210,38,392,29,11,68,0.794910294566222,0.24332019624229823,3,60,295,113,68,182,0.794910294566222,nenhuma,99.65988526849458,0.0,106,0,terminal,0.8665155236888271,j6010_1.sm,3,centralizada,0.1,0,3.176470588235294,0.36666666666666664,0.15492957746478872
True,326,76,0.42833345352802593,0.0,21.723452376429115,249.0,473.0,318.0,243.0,70.27984576986005,46,14,3,1,0.23333333333333334,0.2833333333333333,332.0,0.1747038697287022,0.2116862824393375,0.06543208547117203,0.06364314810152469,9,1,318,242,51,560,58,0,92,0.6268507180531939,0.4857196752206667,18,60,410,92,92,318,0.6268507180531939,nenhuma,70.27984576986006,0.0,75,0,terminal,0.8928074999587666,j6021_1.sm,0,centralizada,0.1,0,4.2894736842105265,0.15,0.01639344262295082
True,283,76,0.5696373863966768,2.220446049250313e-15,23.022067148763973,285.0,519.0,93.0,242.0,57.105928778672805,52,8,3,4,0.13333333333333333,0.18333333333333332,332.0,0.14676190866049538,0.1720058095743157,0.06934357574928908,0.06267759540893632,20,4,93,238,40,331,53,0,112,0.6586427040007742,0.39362113220747674,17,60,166,73,112,93,0.6586427040007742,nenhuma,57.105928778672805,0.0,63,0,terminal,0.6129832904794635,j6021_1.sm,1,centralizada,0.1,0,3.723684210526316,0.3333333333333333,0.0625
True,292,76,0.5377272215035931,0.0,27.10790181786756,258.0,504.0,115.0,232.0,86.27819579361257,47,13,4,10,0.21666666666666667,0.2833333333333333,332.0,0.20626988607406177,0.25987408371570053,0.08165030668032398,0.0920518541675442,25,10,115,222,35,337,45,0,155,0.7659648859265082,0.2570239140832174,6,60,137,22,155,115,0.7659648859265082,nenhuma,86.27819579361258,0.0,94,0,terminal,0.7930978996407099,j6021_1.sm,2,centralizada,0.1,0,3.8421052631578947,0.4166666666666667,0.14285714285714285
