concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,arquivo,semente,cenario,s_portoes,violacoes,atraso_relativo,fracao_porta1,fracao_fuga
True,250,85,0.7308325965978467,7.993605777301127e-15,23.706700694447946,240.0,529.0,0.0,121.0,73.83197255101544,45,15,3,1,0.25,0.3,323.0,0.18605348776811031,0.2285819583622769,0.07339535818714535,0.10200153537126572,33,1,0,120,27,120,22,4,97,0.6268507180531939,0.4857196752206667,16,60,1,1,97,0,0.6268507180531939,nenhuma,73.83197255101544,0.0,82,0,terminal,0.24833333333333332,j6010_1.sm,0,centralizada,0.05,0,2.9411764705882355,0.55,0.01639344262295082
True,124,85,0.7393315366877334,4.440892098500626e-16,4.6703533421727155,310.0,382.0,69.0,29.0,36.68295080633476,56,4,7,2,0.06666666666666667,0.18333333333333332,323.0,0.10198690464504691,0.1135695071403553,0.014459298272980543,0.07099702196305761,26,2,69,27,34,96,8,3,0,0.6268507180531939,0.4857196752206667,16,60,88,19,0,69,0.6268507180531939,nenhuma,36.68295080633476,0.0,42,0,terminal,0.9783333333333332,j6010_1.sm,0,adaptativa,0.05,0,1.4588235294117646,0.43333333333333335,0.03225806451612903
True,350,85,0.8317184798358641,0.0,15.282801880478726,258.0,505.0,0.0,59.0,43.17660151023636,49,11,1,5,0.18333333333333332,0.2,323.0,0.1179119619663338,0.13367368888618067,0.04731517610055333,0.07111045024271814,28,5,0,54,32,54,7,6,47,0.6586427040007742,0.39362113220747674,14,60,0,0,47,0,0.6586427040007742,nenhuma,43.17660151023636,0.0,48,0,terminal,0.25,j6010_1.sm,1,centralizada,0.05,0,4.117647058823529,0.4666666666666667,0.07692307692307693
True,123,85,0.6852080146252651,0.0,6.190084017686869,315.0,359.0,93.0,39.0,32.92848936002933,59,1,9,0,0.016666666666666666,0.16666666666666666,323.0,0.09251434022389103,0.10194578749235088,0.019164346803984114,0.06284920562394113,16,0,93,39,44,132,21,1,0,0.6586427040007742,0.39362113220747674,14,60,111,18,0,93,0.6586427040007742,nenhuma,32.92848936002933,0.0,35,0,terminal,0.9633333333333334,j6010_1.sm,1,adaptativa,0.05,0,1.4470588235294117,0.26666666666666666,0.0
True,220,85,0.7466254860396003,8.881784197001252e-16,29.377349977203362,217.0,531.0,0.0,100.0,80.19993882962123,42,18,2,2,0.3,0.3333333333333333,323.0,0.19890860862335355,0.2482970242403134,0.09095154791703827,0.11276707779474984,31,2,0,98,29,98,8,14,90,0.7659648859265082,0.2570239140832174,4,60,0,0,90,0,0.7659648859265082,nenhuma,80.19993882962126,0.0,88,0,terminal,0.25,j6010_1.sm,2,centralizada,0.05,0,2.588235294117647,0.5166666666666667,0.03225806451612903
True,145,85,0.6450248760112159,0.0,15.66547665994751,281.0,414.0,85.0,69.0,73.83571114364469,51,9,12,2,0.15,0.35,323.0,0.18606115596516462,0.22859353295246032,0.04849992773977557,0.1150383343614236,36,2,85,67,24,152,8,24,0,0.7659648859265082,0.2570239140832174,4,60,144,59,0,85,0.7659648859265082,nenhuma,73.8357111436447,0.0,80,0,terminal,0.8683333333333332,j6010_1.sm,2,adaptativa,0.05,0,1.7058823529411764,0.6,0.03225806451612903
True,263,85,0.6235197349643995,0.0,42.73863433894768,200.0,532.0,0.0,214.0,107.22078864171804,40,20,2,3,0.3333333333333333,0.36666666666666664,323.0,0.2492227048819113,0.33195290601151095,0.13231775337135507,0.12566593555743974,39,3,0,211,21,211,3,1,208,0.794910294566222,0.24332019624229823,3,60,0,0,208,0,0.794910294566222,nenhuma,107.22078864171803,0.0,118,0,terminal,0.25,j6010_1.sm,3,centralizada,0.05,0,3.0941176470588236,0.65,0.047619047619047616
True,149,85,0.6449360781624025,8.881784197001252e-16,5.085930124891899,303.0,406.0,112.0,57.0,54.51975203000572,55,5,14,0,0.08333333333333333,0.31666666666666665,323.0,0.14441562788924597,0.1687918019504821,0.015745913699355723,0.086605308021228,29,0,112,57,31,169,3,11,0,0.794910294566222,0.24332019624229823,3,60,166,54,0,112,0.794910294566222,nenhuma,54.51975203000572,0.0,60,0,terminal,0.8766666666666666,j6010_1.sm,3,adaptativa,0.05,0,1.7529411764705882,0.48333333333333334,0.0
True,248,85,0.6976947450166663,0.0,23.317748788129002,245.0,528.0,2.0,155.0,71.77795163468986,46,14,3,1,0.23333333333333334,0.2833333333333333,323.0,0.18181854213861975,0.22222276047891595,0.07219117271866564,0.09484677966587793,34,1,2,154,26,156,9,1,145,0.7496468789669437,0.35303232464984247,6,60,2,0,145,2,0.7496468789669437,nenhuma,71.77795163468986,0.0,78,0,terminal,0.2651234338547664,j6010_1.sm,4,centralizada,0.05,0,2.9176470588235293,0.5666666666666667,0.01639344262295082
True,150,85,0.5819768469572012,0.0,5.357262549917917,277.0,393.0,174.0,61.0,47.284596036346066,54,6,6,0,0.1,0.2,323.0,0.12769798296363577,0.14639193819302188,0.016585952166928535,0.07002173056202965,23,0,174,61,37,235,8,5,0,0.7496468789669437,0.35303232464984247,6,60,227,53,0,174,0.7496468789669437,nenhuma,47.28459603634607,0.0,53,0,terminal,0.9133333333333332,j6010_1.sm,4,adaptativa,0.05,0,1.7647058823529411,0.38333333333333336,0.0
