ai,ci,metrica,media,lo,hi,A_tau_inicial,A_tau_min,A_p_reporte,A_p_deteccao,C_tau_inicial,C_tau_min,C_p_reporte,C_p_deteccao
0,9,taxa_falha_efetiva,0.019791666666666662,-0.04009368033751544,0.07967701367084877,0.25,0.25,0.15,0.03,0.25,0.425,0.15,0.03
0,18,taxa_falha_efetiva,0.009374999999999996,-0.030908860894080313,0.0496588608940803,0.25,0.25,0.15,0.03,0.25,0.6,0.15,0.03
2,0,taxa_falha_efetiva,0.0020833333333333363,-0.02731923215776092,0.031485898824427594,0.25,0.25,0.15,0.12,0.25,0.25,0.15,0.03
2,1,taxa_falha_efetiva,0.02395833333333333,0.005700471313225951,0.04221619535344071,0.25,0.25,0.15,0.12,0.25,0.25,0.15,0.075
2,9,taxa_falha_efetiva,0.021875,-0.04516770148541282,0.08891770148541281,0.25,0.25,0.15,0.12,0.25,0.425,0.15,0.03
2,10,taxa_falha_efetiva,0.014583333333333334,-0.002958253092913532,0.0321249197595802,0.25,0.25,0.15,0.12,0.25,0.425,0.15,0.075
2,11,taxa_falha_efetiva,0.002083333333333331,-0.03896619206859294,0.043132858735259606,0.25,0.25,0.15,0.12,0.25,0.425,0.15,0.12
2,18,taxa_falha_efetiva,0.011458333333333333,-0.04567217344775709,0.06858884011442376,0.25,0.25,0.15,0.12,0.25,0.6,0.15,0.03
2,19,taxa_falha_efetiva,0.012499999999999995,-0.05155281720054565,0.07655281720054564,0.25,0.25,0.15,0.12,0.25,0.6,0.15,0.075
2,20,taxa_falha_efetiva,0.015624999999999995,-0.026088442194505727,0.057338442194505714,0.25,0.25,0.15,0.12,0.25,0.6,0.15,0.12
3,9,taxa_falha_efetiva,0.009374999999999993,-0.02866388447053196,0.04741388447053195,0.25,0.25,0.45,0.03,0.25,0.425,0.15,0.03
3,21,taxa_falha_efetiva,0.006249999999999999,-0.03145032440930297,0.043950324409302965,0.25,0.25,0.45,0.03,0.25,0.6,0.45,0.03
4,1,taxa_falha_efetiva,0.02083333333333333,-0.006233922158861191,0.04790058882552785,0.25,0.25,0.45,0.075,0.25,0.25,0.15,0.075
4,3,taxa_falha_efetiva,0.009375,-0.02586444611080245,0.04461444611080245,0.25,0.25,0.45,0.075,0.25,0.25,0.45,0.03
4,9,taxa_falha_efetiva,0.01874999999999999,-0.051936488819149834,0.08943648881914981,0.25,0.25,0.45,0.075,0.25,0.425,0.15,0.03
4,10,taxa_falha_efetiva,0.011458333333333329,-0.021191105336037595,0.04410777200270425,0.25,0.25,0.45,0.075,0.25,0.425,0.15,0.075
4,13,taxa_falha_efetiva,0.007291666666666663,-0.061690018566581135,0.07627335189991447,0.25,0.25,0.45,0.075,0.25,0.425,0.45,0.075
4,18,taxa_falha_efetiva,0.008333333333333328,-0.03728121641187898,0.05394788307854563,0.25,0.25,0.45,0.075,0.25,0.6,0.15,0.03
4,19,taxa_falha_efetiva,0.009374999999999991,-0.04064452651104662,0.05939452651104661,0.25,0.25,0.45,0.075,0.25,0.6,0.15,0.075
4,21,taxa_falha_efetiva,0.015624999999999998,-0.01961444611080245,0.05086444611080245,0.25,0.25,0.45,0.075,0.25,0.6,0.45,0.03
5,1,taxa_falha_efetiva,0.016666666666666663,-0.026301269356569686,0.05963460268990301,0.25,0.25,0.45,0.12,0.25,0.25,0.15,0.075
5,3,taxa_falha_efetiva,0.005208333333333334,-0.04020500436014008,0.05062167102680675,0.25,0.25,0.45,0.12,0.25,0.25,0.45,0.03
5,9,taxa_falha_efetiva,0.014583333333333327,-0.06760490712289713,0.09677157378956378,0.25,0.25,0.45,0.12,0.25,0.425,0.15,0.03
5,10,taxa_falha_efetiva,0.007291666666666663,-0.034069012811784614,0.04865234614511794,0.25,0.25,0.45,0.12,0.25,0.425,0.15,0.075
5,13,taxa_falha_efetiva,0.0031249999999999993,-0.07445468398886414,0.08070468398886414,0.25,0.25,0.45,0.12,0.25,0.425,0.45,0.075
5,18,taxa_falha_efetiva,0.004166666666666662,-0.03411221314661249,0.042445546479945806,0.25,0.25,0.45,0.12,0.25,0.6,0.15,0.03
5,19,taxa_falha_efetiva,0.005208333333333325,-0.03615234614511796,0.04656901281178462,0.25,0.25,0.45,0.12,0.25,0.6,0.15,0.075
5,20,taxa_falha_efetiva,0.008333333333333325,-0.023232239606761393,0.03989890627342804,0.25,0.25,0.45,0.12,0.25,0.6,0.15,0.12
5,21,taxa_falha_efetiva,0.011458333333333333,-0.02734331144305282,0.05025997810971949,0.25,0.25,0.45,0.12,0.25,0.6,0.45,0.03
5,23,taxa_falha_efetiva,0.01145833333333333,-0.00758516892703014,0.0305018355936968,0.25,0.25,0.45,0.12,0.25,0.6,0.45,0.12
6,3,taxa_falha_efetiva,0.00104166666666667,-0.045012455255826124,0.047095788589159464,0.25,0.25,0.75,0.03,0.25,0.25,0.45,0.03
6,9,taxa_falha_efetiva,0.010416666666666663,-0.06737520953005849,0.0882085428633918,0.25,0.25,0.75,0.03,0.25,0.425,0.15,0.03
6,21,taxa_falha_efetiva,0.0072916666666666685,-0.0239824358310781,0.038565769164411436,0.25,0.25,0.75,0.03,0.25,0.6,0.45,0.03
6,24,taxa_falha_efetiva,0.005208333333333336,-0.03205217962840805,0.04246884629507472,0.25,0.25,0.75,0.03,0.25,0.6,0.75,0.03
7,0,taxa_falha_efetiva,0.009375000000000003,-0.07679500117199205,0.09554500117199206,0.25,0.25,0.75,0.075,0.25,0.25,0.15,0.03
7,1,taxa_falha_efetiva,0.03125,-0.03337218677292257,0.09587218677292257,0.25,0.25,0.75,0.075,0.25,0.25,0.15,0.075
7,3,taxa_falha_efetiva,0.019791666666666673,-0.06739263133906512,0.10697596467239848,0.25,0.25,0.75,0.075,0.25,0.25,0.45,0.03
