ai,ci,metrica,media,lo,hi,A_tau_inicial,A_tau_min,A_p_reporte,A_p_deteccao,C_tau_inicial,C_tau_min,C_p_reporte,C_p_deteccao
0,9,atraso_relativo,0.11383661937950867,-0.6110286758932315,0.8387019146522487,0.25,0.25,0.15,0.03,0.25,0.425,0.15,0.03
0,9,taxa_omissao,0.026041666666666664,-0.016712603507199462,0.06879593684053278,0.25,0.25,0.15,0.03,0.25,0.425,0.15,0.03
0,9,divida_latente_sobre_plano,0.00868126064152406,-0.006300201390551596,0.023662722673599715,0.25,0.25,0.15,0.03,0.25,0.425,0.15,0.03
0,9,taxa_falha_efetiva,0.019791666666666662,-0.04009368033751544,0.07967701367084877,0.25,0.25,0.15,0.03,0.25,0.425,0.15,0.03
0,9,fracao_porta1,-0.026041666666666664,-0.09086195125806812,0.03877861792473478,0.25,0.25,0.15,0.03,0.25,0.425,0.15,0.03
0,18,atraso_relativo,-0.05968134138984857,-0.6774700554360417,0.5581073726563445,0.25,0.25,0.15,0.03,0.25,0.6,0.15,0.03
0,18,taxa_omissao,0.012499999999999999,-0.011096686273894445,0.036096686273894445,0.25,0.25,0.15,0.03,0.25,0.6,0.15,0.03
0,18,divida_latente_sobre_plano,0.0007866104610638747,-0.013483468877663623,0.015056689799791372,0.25,0.25,0.15,0.03,0.25,0.6,0.15,0.03
0,18,taxa_falha_efetiva,0.009374999999999996,-0.030908860894080313,0.0496588608940803,0.25,0.25,0.15,0.03,0.25,0.6,0.15,0.03
0,18,fracao_porta1,-0.02604166666666667,-0.05684368014377978,0.004760346810446438,0.25,0.25,0.15,0.03,0.25,0.6,0.15,0.03
1,0,atraso_relativo,-0.7345185191417019,-1.1487937649083475,-0.32024327337505615,0.25,0.25,0.15,0.075,0.25,0.25,0.15,0.03
1,0,taxa_omissao,-0.02916666666666666,-0.06026457563561907,0.0019312423022857482,0.25,0.25,0.15,0.075,0.25,0.25,0.15,0.03
1,0,divida_latente_sobre_plano,-0.034901374762948814,-0.05083126455078546,-0.01897148497511217,0.25,0.25,0.15,0.075,0.25,0.25,0.15,0.03
1,0,taxa_falha_efetiva,-0.021875,-0.0512152057910078,0.0074652057910078035,0.25,0.25,0.15,0.075,0.25,0.25,0.15,0.03
1,0,fracao_porta1,-0.009374999999999998,-0.034981825384892265,0.01623182538489227,0.25,0.25,0.15,0.075,0.25,0.25,0.15,0.03
1,9,atraso_relativo,-0.6206818997621932,-1.0878514522930844,-0.15351234723130208,0.25,0.25,0.15,0.075,0.25,0.425,0.15,0.03
1,9,taxa_omissao,-0.0031249999999999976,-0.05654427054847874,0.05029427054847875,0.25,0.25,0.15,0.075,0.25,0.425,0.15,0.03
1,9,divida_latente_sobre_plano,-0.02622011412142475,-0.04614442698680231,-0.0062958012560471975,0.25,0.25,0.15,0.075,0.25,0.425,0.15,0.03
1,9,taxa_falha_efetiva,-0.0020833333333333363,-0.056622341930040745,0.052455675263374066,0.25,0.25,0.15,0.075,0.25,0.425,0.15,0.03
1,9,fracao_porta1,-0.035416666666666666,-0.10568734900282596,0.03485401566949263,0.25,0.25,0.15,0.075,0.25,0.425,0.15,0.03
1,10,atraso_relativo,-0.07981230026971381,-0.18770304738563331,0.028078446846205696,0.25,0.25,0.15,0.075,0.25,0.425,0.15,0.075
1,10,taxa_omissao,-0.009375000000000003,-0.01572283408678783,-0.0030271659132121787,0.25,0.25,0.15,0.075,0.25,0.425,0.15,0.075
1,10,divida_latente_sobre_plano,-0.002618012179246218,-0.02284029408586067,0.017604269727368234,0.25,0.25,0.15,0.075,0.25,0.425,0.15,0.075
1,10,taxa_falha_efetiva,-0.009375,-0.026811859601146355,0.008061859601146354,0.25,0.25,0.15,0.075,0.25,0.425,0.15,0.075
1,10,fracao_porta1,-0.012499999999999997,-0.04758317285249375,0.022583172852493755,0.25,0.25,0.15,0.075,0.25,0.425,0.15,0.075
1,18,atraso_relativo,-0.7941998605315506,-1.2845493581670429,-0.3038503628960583,0.25,0.25,0.15,0.075,0.25,0.6,0.15,0.03
1,18,taxa_omissao,-0.016666666666666663,-0.056813894512875635,0.02348056117954231,0.25,0.25,0.15,0.075,0.25,0.6,0.15,0.03
1,18,divida_latente_sobre_plano,-0.03411476430188494,-0.061283315904204494,-0.0069462126995653815,0.25,0.25,0.15,0.075,0.25,0.6,0.15,0.03
1,18,taxa_falha_efetiva,-0.0125,-0.07723545975516109,0.0522354597551611,0.25,0.25,0.15,0.075,0.25,0.6,0.15,0.03
1,18,fracao_porta1,-0.035416666666666666,-0.052958253092913535,-0.017875080240419793,0.25,0.25,0.15,0.075,0.25,0.6,0.15,0.03
1,19,atraso_relativo,-0.1000323432195151,-0.32364876253191616,0.12358407609288596,0.25,0.25,0.15,0.075,0.25,0.6,0.15,0.075
