concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,arquivo,semente,cenario,violacoes,atraso_relativo,fracao_porta1,fracao_fuga
True,183,85,0.6249093914434068,0.0,24.708177557349934,272.0,427.0,82.0,128.0,46.299060386532936,51,9,4,20,0.15,0.21666666666666667,323.0,0.1253701006931165,0.14334074423075213,0.0764959057503094,0.06775812096147504,20,20,82,108,40,190,25,4,40,0.6268507180531939,0.4857196752206667,16,60,125,43,40,82,0.6268507180531939,nenhuma,46.29906038653294,0.0,53,0,terminal,0.8156520933563068,j6010_1.sm,0,centralizada,0,2.152941176470588,0.3333333333333333,0.25
True,139,85,0.6012215306651078,0.0,4.012580568762161,298.0,373.0,134.0,68.0,45.403596636608796,56,4,10,5,0.06666666666666667,0.23333333333333334,323.0,0.12324417310560257,0.14056841063965572,0.012422850058087185,0.07318396747335945,16,5,134,63,44,197,34,5,2,0.6268507180531939,0.4857196752206667,16,60,161,27,2,134,0.6268507180531939,nenhuma,45.403596636608796,0.0,50,0,terminal,1.0,j6010_1.sm,0,adaptativa,0,1.6352941176470588,0.26666666666666666,0.07692307692307693
True,195,85,0.7635284032810866,0.0,22.925125337390877,225.0,500.0,14.0,67.0,73.85448589910432,42,18,3,13,0.3,0.35,323.0,0.18609966252940624,0.22865165913035393,0.07097562023960025,0.11277999538737729,27,13,14,54,33,68,14,3,20,0.6586427040007742,0.39362113220747674,14,60,34,20,20,14,0.6586427040007742,nenhuma,73.85448589910432,0.0,81,0,terminal,0.33962572187564083,j6010_1.sm,1,centralizada,0,2.2941176470588234,0.45,0.1780821917808219
True,127,85,0.6591655725221732,0.0,4.5,301.0,363.0,100.0,52.0,35.6962364721942,57,3,7,3,0.05,0.16666666666666666,323.0,0.09951661836006284,0.11051466400060124,0.01393188854489164,0.06482019325366604,19,3,100,49,41,149,10,8,0,0.6586427040007742,0.39362113220747674,14,60,139,39,0,100,0.6586427040007742,nenhuma,35.6962364721942,0.0,38,0,terminal,0.9516666666666667,j6010_1.sm,1,adaptativa,0,1.4941176470588236,0.31666666666666665,0.047619047619047616
True,300,85,0.7520217900443574,0.0,29.477899477862472,243.0,493.0,28.0,76.0,58.56611061884358,45,15,3,16,0.25,0.3,323.0,0.15348876377898982,0.18131922792211635,0.09126284668068876,0.0893366964371574,34,16,28,60,26,88,8,17,22,0.7659648859265082,0.2570239140832174,4,60,58,30,22,28,0.7659648859265082,nenhuma,58.56611061884358,0.0,65,0,terminal,0.5407899536046997,j6010_1.sm,2,centralizada,0,3.5294117647058822,0.5666666666666667,0.21052631578947367
True,135,85,0.6869334209273927,0.0,6.5,292.0,400.0,58.0,44.0,80.29806239443265,55,5,16,6,0.08333333333333333,0.35,323.0,0.199103516435692,0.24860081236666454,0.020123839009287926,0.1378985567361221,30,6,58,38,30,96,8,5,0,0.7659648859265082,0.2570239140832174,4,60,88,30,0,58,0.7659648859265082,nenhuma,80.29806239443265,0.0,88,0,terminal,0.9199999999999999,j6010_1.sm,2,adaptativa,0,1.588235294117647,0.5,0.09090909090909091
True,227,85,0.6327631450880039,0.0,30.216445094656798,240.0,435.0,77.0,107.0,68.46102451889925,44,16,2,5,0.26666666666666666,0.3,323.0,0.17488592792357044,0.21195363628142183,0.0935493656181325,0.09958531767936928,23,5,77,102,37,179,3,11,33,0.794910294566222,0.24332019624229823,3,60,143,66,33,77,0.794910294566222,nenhuma,68.46102451889925,0.0,74,0,terminal,0.7203378790730595,j6010_1.sm,3,centralizada,0,2.6705882352941175,0.38333333333333336,0.07692307692307693
True,155,85,0.6387345233536184,0.0,9.780704079097369,294.0,409.0,91.0,59.0,81.32862644183098,54,6,16,8,0.1,0.36666666666666664,323.0,0.20114486366582154,0.25179141313260367,0.030280817582344795,0.12701076148001808,28,8,91,51,32,142,9,18,1,0.794910294566222,0.24332019624229823,3,60,132,41,1,91,0.794910294566222,nenhuma,81.32862644183098,0.0,92,0,terminal,0.9562608529460315,j6010_1.sm,3,adaptativa,0,1.8235294117647058,0.4666666666666667,0.11764705882352941
True,234,85,0.6138854124037073,5.329070518200751e-15,39.146487885861184,190.0,435.0,82.0,92.0,99.6012979144266,42,18,2,5,0.3,0.3333333333333333,323.0,0.23568620921413985,0.30836315143785326,0.12119655692217085,0.14056042263480983,26,5,82,87,34,169,8,5,23,0.7496468789669437,0.35303232464984247,6,60,138,56,23,82,0.7496468789669437,nenhuma,99.60129791442661,0.0,107,0,terminal,0.7595933185352436,j6010_1.sm,4,centralizada,0,2.7529411764705882,0.43333333333333335,0.07692307692307693
True,154,85,0.6086618075715848,4.440892098500626e-16,9.757302182596908,286.0,401.0,149.0,61.0,47.82234602478862,54,6,7,4,0.1,0.21666666666666667,323.0,0.1289629563521283,0.14805679883835487,0.030208365890392903,0.07258761988469237,23,4,149,57,37,206,8,4,1,0.7496468789669437,0.35303232464984247,6,60,197,48,1,149,0.7496468789669437,nenhuma,47.82234602478863,0.0,52,0,terminal,0.9216666666666665,j6010_1.sm,4,adaptativa,0,1.811764705882353,0.38333333333333336,0.0625
