concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,arquivo,semente,cenario,violacoes,atraso_relativo,fracao_porta1,fracao_fuga
True,210,73,0.6695836649849188,1.4210854715202004e-14,44.56953861357394,265.0,535.0,56.0,110.0,98.0039601877832,46,14,3,21,0.23333333333333334,0.2833333333333333,358.0,0.21491909883288077,0.2737540787368246,0.12449591791501101,0.12265766513191019,35,21,56,89,25,145,15,4,31,0.6268507180531939,0.4857196752206667,30,60,99,43,31,56,0.6268507180531939,nenhuma,98.00396018778319,0.0,104,0,terminal,0.5857921750735907,j6010_9.sm,0,centralizada,0,2.8767123287671232,0.5833333333333334,0.25925925925925924
True,151,73,0.672432217840497,0.0,6.086597974342345,347.0,431.0,111.0,53.0,45.95679618705379,58,2,8,7,0.03333333333333333,0.16666666666666666,358.0,0.1137666122239798,0.12837093906998265,0.017001670319392023,0.07170030251717929,38,7,111,46,22,157,14,1,1,0.6268507180531939,0.4857196752206667,30,60,142,31,1,111,0.6268507180531939,nenhuma,45.95679618705379,0.0,50,0,terminal,0.975,j6010_9.sm,0,adaptativa,0,2.0684931506849313,0.6333333333333333,0.1044776119402985
True,230,73,0.6925955958930128,0.0,46.30753696328873,248.0,544.0,30.0,106.0,105.45113949011198,45,15,4,23,0.25,0.31666666666666665,358.0,0.22753453493744588,0.294556255558972,0.12935066190862773,0.13425550513373405,39,23,30,83,21,113,4,2,42,0.6586427040007742,0.39362113220747674,23,60,67,37,42,30,0.6586427040007742,nenhuma,105.45113949011198,0.0,113,0,terminal,0.482959609968913,j6010_9.sm,1,centralizada,0,3.1506849315068495,0.65,0.27710843373493976
True,138,73,0.6443003068922821,0.0,6.0,328.0,423.0,77.0,75.0,81.5261501120465,54,6,17,24,0.1,0.38333333333333336,358.0,0.18548646102459065,0.22772667629063267,0.01675977653631285,0.12417806982727615,34,24,77,51,26,128,16,20,0,0.6586427040007742,0.39362113220747674,23,60,112,35,0,77,0.6586427040007742,nenhuma,81.5261501120465,0.0,92,0,terminal,0.965,j6010_9.sm,1,adaptativa,0,1.8904109589041096,0.5666666666666667,0.2857142857142857
True,284,73,0.725526812130835,0.0,29.490928288996987,240.0,570.0,28.0,98.0,89.63602401672694,43,17,2,13,0.2833333333333333,0.31666666666666665,358.0,0.2002430975335834,0.25037995535398583,0.08237689466200275,0.1140935767665594,39,13,28,85,21,113,1,9,37,0.7659648859265082,0.2570239140832174,10,60,75,47,37,28,0.7659648859265082,nenhuma,89.63602401672694,0.0,98,0,terminal,0.40032236953615424,j6010_9.sm,2,centralizada,0,3.8904109589041096,0.65,0.1780821917808219
True,158,73,0.665653690276761,0.0,11.749050355731795,297.0,467.0,54.0,55.0,125.56600469807937,52,8,17,9,0.13333333333333333,0.4166666666666667,358.0,0.25966673314117295,0.3507430298829033,0.032818576412658645,0.1789796025708472,34,9,54,46,26,100,2,6,0,0.7659648859265082,0.2570239140832174,10,60,98,44,0,54,0.7659648859265082,nenhuma,125.56600469807937,0.0,135,0,terminal,0.9257686634237272,j6010_9.sm,2,adaptativa,0,2.164383561643836,0.5666666666666667,0.13043478260869565
True,238,73,0.6351409342680513,4.6629367034256575e-15,19.711070234465303,238.0,509.0,92.0,116.0,84.39693812457772,41,19,1,13,0.31666666666666665,0.3333333333333333,358.0,0.1907719761406029,0.23574563721949082,0.05505885540353437,0.10531227923341299,39,13,92,103,21,195,5,13,48,0.794910294566222,0.24332019624229823,8,60,142,50,48,92,0.794910294566222,nenhuma,84.39693812457772,0.0,92,0,terminal,0.7608238607918857,j6010_9.sm,3,centralizada,0,3.26027397260274,0.65,0.1780821917808219
True,165,73,0.5835325176816755,0.0,24.00996086922645,302.0,459.0,118.0,97.0,112.58855520780153,53,7,15,11,0.11666666666666667,0.36666666666666664,358.0,0.23925051717011034,0.31449317097151264,0.06706692980230852,0.14313525726045914,41,11,118,86,19,204,6,23,4,0.794910294566222,0.24332019624229823,8,60,194,76,4,118,0.794910294566222,nenhuma,112.58855520780155,0.0,123,0,terminal,0.8583333333333333,j6010_9.sm,3,adaptativa,0,2.26027397260274,0.6833333333333333,0.15492957746478872
True,212,73,0.6517594507873491,8.881784197001252e-16,28.670173003114428,224.0,530.0,50.0,116.0,117.18345190045306,41,19,5,15,0.31666666666666665,0.4,358.0,0.2466067608873762,0.3273280779342264,0.08008428213160455,0.14410457028680193,41,15,50,101,19,151,0,6,39,0.7496468789669437,0.35303232464984247,12,60,112,62,39,50,0.7496468789669437,nenhuma,117.18345190045306,0.0,127,0,terminal,0.5909028971817502,j6010_9.sm,4,centralizada,0,2.904109589041096,0.6833333333333333,0.2
True,165,73,0.6233090926539452,0.0,4.5,347.0,448.0,111.0,80.0,79.74452864547735,57,3,14,12,0.05,0.2833333333333333,358.0,0.18217138862302318,0.22275008001529983,0.012569832402234637,0.1109497540047523,38,12,111,68,22,179,7,24,2,0.7496468789669437,0.35303232464984247,12,60,170,59,2,111,0.7496468789669437,nenhuma,79.74452864547735,0.0,87,0,terminal,0.8916666666666666,j6010_9.sm,4,adaptativa,0,2.26027397260274,0.6333333333333333,0.16666666666666666
