metrica,media,ic95_inf,ic95_sup,N_instancias,s_portoes
atraso_relativo,-1.064061205035932,-1.1881645944423402,-0.9399578156295236,16,0.1
taxa_omissao,-0.22256944444444446,-0.23822363293663415,-0.20691525595225477,16,0.1
divida_latente_sobre_plano,-0.07378547556270057,-0.08137117687946296,-0.06619977424593818,16,0.1
taxa_falha_efetiva,-0.043055555555555555,-0.05222387209585852,-0.03388723901525259,16,0.1
fracao_porta1,-0.10555555555555554,-0.12175652390865413,-0.08935458720245695,16,0.1
atraso_relativo,-0.9428782267235009,-1.0863528987466575,-0.7994035547003443,16,0.25
taxa_omissao,-0.2015625,-0.21370195157902874,-0.18942304842097127,16,0.25
divida_latente_sobre_plano,-0.06943108766067446,-0.07606321900301213,-0.06279895631833679,16,0.25
taxa_falha_efetiva,-0.02291666666666667,-0.03469311740266282,-0.011140215930670515,16,0.25
fracao_porta1,-0.05112847222222222,-0.06965178048035026,-0.03260516396409418,16,0.25
