metrica,media,ic95_inf,ic95_sup,N_instancias,fator,nivel
atraso_relativo,-1.2814875424991152,-1.4271713047709689,-1.1358037802272616,16,NC,1.5
taxa_omissao,-0.23975694444444445,-0.25216710375151163,-0.22734678513737727,16,NC,1.5
divida_latente_sobre_plano,-0.09128163709251455,-0.0999888309470252,-0.0825744432380039,16,NC,1.5
taxa_falha_efetiva,-0.04045138888888889,-0.05575019303838132,-0.02515258473939646,16,NC,1.5
fracao_porta1,-0.10182291666666668,-0.13102489989220645,-0.0726209334411269,16,NC,1.5
atraso_relativo,-1.0496554143455121,-1.1393046217481178,-0.9600062069429065,16,NC,1.806452
taxa_omissao,-0.21814236111111113,-0.23249436632243445,-0.2037903558997878,16,NC,1.806452
divida_latente_sobre_plano,-0.0764420688519028,-0.0851574225453539,-0.0677267151584517,16,NC,1.806452
taxa_falha_efetiva,-0.0388888888888889,-0.053158046072129234,-0.024619731705648573,16,NC,1.806452
fracao_porta1,-0.10017361111111112,-0.11898962582035047,-0.08135759640187176,16,NC,1.806452
atraso_relativo,-1.084876290455092,-1.1986527259462167,-0.9710998549639672,16,NC,2.112903
taxa_omissao,-0.21796875,-0.2323512539120373,-0.2035862460879627,16,NC,2.112903
divida_latente_sobre_plano,-0.07693970469524516,-0.08496263849033786,-0.06891677090015247,16,NC,2.112903
taxa_falha_efetiva,-0.03177083333333333,-0.044359197422014475,-0.019182469244652188,16,NC,2.112903
fracao_porta1,-0.08802083333333334,-0.10849485481470006,-0.06754681185196662,16,NC,2.112903
atraso_relativo,-1.0470156929223395,-1.17364139184698,-0.9203899939976992,12,RF,0.25
taxa_omissao,-0.22060185185185185,-0.2376753788521664,-0.2035283248515373,12,RF,0.25
divida_latente_sobre_plano,-0.07805863503485001,-0.08790999652506286,-0.06820727354463717,12,RF,0.25
taxa_falha_efetiva,-0.0394675925925926,-0.05995146504151194,-0.01898372014367326,12,RF,0.25
fracao_porta1,-0.11377314814814815,-0.15183611551439863,-0.07571018078189767,12,RF,0.25
atraso_relativo,-1.145989593684652,-1.3414798517834716,-0.9504993355858325,12,RF,0.504167
taxa_omissao,-0.21631944444444443,-0.22799099081905416,-0.2046478980698347,12,RF,0.504167
divida_latente_sobre_plano,-0.07677583033958287,-0.08687481077934697,-0.06667684989981876,12,RF,0.504167
taxa_falha_efetiva,-0.04571759259259261,-0.061767913032680324,-0.029667272152504892,12,RF,0.504167
fracao_porta1,-0.09733796296296297,-0.11924147344877162,-0.07543445247715433,12,RF,0.504167
atraso_relativo,-1.108792780935587,-1.2119024926566557,-1.0056830692145184,12,RF,0.754167
taxa_omissao,-0.22974537037037035,-0.2518867627370293,-0.20760397800371136,12,RF,0.754167
divida_latente_sobre_plano,-0.08369830438776786,-0.09568047265324724,-0.07171613612228848,12,RF,0.754167
taxa_falha_efetiva,-0.03495370370370371,-0.046064095777500244,-0.023843311629907174,12,RF,0.754167
fracao_porta1,-0.08356481481481481,-0.10155890559441241,-0.06557072403521721,12,RF,0.754167
atraso_relativo,-1.252894262190381,-1.4123022994563283,-1.0934862249244335,12,RF,1.0
taxa_omissao,-0.23449074074074075,-0.2510506813760388,-0.2179308001054427,12,RF,1.0
divida_latente_sobre_plano,-0.08768511109068262,-0.09890234424373986,-0.07646787793762538,12,RF,1.0
taxa_falha_efetiva,-0.028009259259259265,-0.04552083258162634,-0.010497685936892185,12,RF,1.0
fracao_porta1,-0.0920138888888889,-0.11944664178114713,-0.06458113599663066,12,RF,1.0
atraso_relativo,-1.1574878115285578,-1.2821922379835022,-1.0327833850736134,16,RS_tercil,baixo
taxa_omissao,-0.22725694444444444,-0.23906088179723817,-0.21545300709165072,16,RS_tercil,baixo
divida_latente_sobre_plano,-0.0701863985154276,-0.07869624215290881,-0.06167655487794639,16,RS_tercil,baixo
taxa_falha_efetiva,-0.02725694444444445,-0.03859058474831612,-0.015923304140572782,16,RS_tercil,baixo
fracao_porta1,-0.06927083333333334,-0.08523996426227576,-0.053301702404390916,16,RS_tercil,baixo
atraso_relativo,-1.1230824259643648,-1.2207233856113255,-1.025441466317404,16,RS_tercil,medio
taxa_omissao,-0.22517361111111112,-0.24220927403475553,-0.2081379481874667,16,RS_tercil,medio
divida_latente_sobre_plano,-0.08559527023391456,-0.09410857390271271,-0.0770819665651164,16,RS_tercil,medio
taxa_falha_efetiva,-0.04513888888888889,-0.060291699875838455,-0.02998607790193932,16,RS_tercil,medio
fracao_porta1,-0.11788194444444444,-0.14041248837423545,-0.09535140051465343,16,RS_tercil,medio
atraso_relativo,-1.1354490098067969,-1.2979014272339484,-0.9729965923796453,16,RS_tercil,alto
taxa_omissao,-0.2234375,-0.2386092762791549,-0.20826572372084512,16,RS_tercil,alto
divida_latente_sobre_plano,-0.08888174189032033,-0.09622491379124612,-0.08153856998939454,16,RS_tercil,alto
taxa_falha_efetiva,-0.038715277777777786,-0.05290456156866368,-0.02452599398689189,16,RS_tercil,alto
fracao_porta1,-0.10286458333333334,-0.12572270988507625,-0.08000645678159045,16,RS_tercil,alto
