ai,ci,metrica,media,lo,hi,A_tau_inicial,A_tau_min,A_p_reporte,A_p_deteccao,C_tau_inicial,C_tau_min,C_p_reporte,C_p_deteccao,referencia_nominal,par
56,65,taxa_falha_efetiva,0.015624999999999997,-0.04547149785206392,0.0767214978520639,0.8,0.25,0.15,0.12,0.8,0.425,0.15,0.12,False,amostra_01
17,9,taxa_falha_efetiva,0.009374999999999996,-0.03472884823664141,0.053478848236641396,0.25,0.425,0.75,0.12,0.25,0.425,0.15,0.03,False,amostra_02
62,68,taxa_falha_efetiva,0.016666666666666663,-0.07112475708949992,0.10445809042283324,0.8,0.25,0.75,0.12,0.8,0.425,0.45,0.12,False,amostra_03
2,18,taxa_falha_efetiva,0.011458333333333333,-0.04567217344775709,0.06858884011442376,0.25,0.25,0.15,0.12,0.25,0.6,0.15,0.03,False,amostra_04
62,73,taxa_falha_efetiva,0.018749999999999996,-0.021941007396330217,0.05944100739633021,0.8,0.25,0.75,0.12,0.8,0.6,0.15,0.075,False,amostra_05
11,18,taxa_falha_efetiva,0.009375000000000001,-0.08429100199944389,0.10304100199944388,0.25,0.425,0.15,0.12,0.25,0.6,0.15,0.03,False,amostra_06
68,66,taxa_falha_efetiva,0.006249999999999999,-0.11364297142051488,0.12614297142051487,0.8,0.425,0.45,0.12,0.8,0.425,0.45,0.03,False,amostra_07
64,9,taxa_falha_efetiva,0.0125,-0.05109365130055152,0.07609365130055151,0.8,0.425,0.15,0.075,0.25,0.425,0.15,0.03,False,amostra_08
7,9,taxa_falha_efetiva,0.02916666666666666,-0.07594354075290988,0.1342768740862432,0.25,0.25,0.75,0.075,0.25,0.425,0.15,0.03,False,amostra_09
8,19,taxa_falha_efetiva,0.018749999999999992,-0.06761108924959032,0.1051110892495903,0.25,0.25,0.75,0.12,0.25,0.6,0.15,0.075,False,amostra_10
79,49,taxa_falha_efetiva,0.01979166666666668,-0.050244039666566126,0.08982737299989949,0.8,0.6,0.75,0.075,0.525,0.6,0.45,0.075,False,amostra_11
61,55,taxa_falha_efetiva,0.014583333333333332,0.0060239155968296754,0.023142751069836986,0.8,0.25,0.75,0.075,0.8,0.25,0.15,0.075,False,amostra_12
60,3,taxa_falha_efetiva,0.0031250000000000062,-0.016672990583280357,0.02292299058328037,0.8,0.25,0.75,0.03,0.25,0.25,0.45,0.03,False,amostra_13
8,14,taxa_falha_efetiva,0.013541666666666664,-0.02411004350654176,0.051193376839875085,0.25,0.25,0.75,0.12,0.25,0.425,0.45,0.12,False,amostra_14
62,77,taxa_falha_efetiva,0.017708333333333326,-0.07658133599337809,0.11199800266004474,0.8,0.25,0.75,0.12,0.8,0.6,0.45,0.12,False,amostra_15
78,51,taxa_falha_efetiva,0.0072916666666666685,-0.046673408812961316,0.06125674214629465,0.8,0.6,0.75,0.03,0.525,0.6,0.75,0.03,False,amostra_16
34,51,taxa_falha_efetiva,0.031249999999999997,0.017448353606589848,0.045051646393410145,0.525,0.25,0.75,0.075,0.525,0.6,0.75,0.03,False,amostra_17
31,19,taxa_falha_efetiva,0.011458333333333329,-0.06574268001637369,0.08865934668304036,0.525,0.25,0.45,0.075,0.25,0.6,0.15,0.075,False,amostra_18
67,10,taxa_falha_efetiva,0.005208333333333336,-0.054921195507382635,0.0653378621740493,0.8,0.425,0.45,0.075,0.25,0.425,0.15,0.075,False,amostra_19
64,19,taxa_falha_efetiva,0.0031249999999999993,-0.058686798292662684,0.06493679829266269,0.8,0.425,0.15,0.075,0.25,0.6,0.15,0.075,False,amostra_20
62,18,,,,,0.8,0.25,0.75,0.12,0.25,0.6,0.15,0.03,True,nominal
