concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,canto,celula,cenario,arquivo,semente,kind,violacoes,atraso_relativo,fracao_porta1,n_selecoes_p1,fracao_fuga_p1,fracao_fuga,bateria_media,denominador_falha,numerador_falha,n_executadas,n_concluidas,ids_executadas,ids_concluidas
True,157,85,0.7470151003199398,0.0,12.092015426038198,252.0,527.0,0.0,120.0,58.47436025629292,48,12,2,0,0.2,0.23333333333333334,323.0,0.15328516500298214,0.1810351710721143,0.03743658026637213,0.0828865846166963,35,0,0,120,25,120,22,4,98,0.6268507180531939,0.4857196752206667,16,60,0,0,98,0,0.6268507180531939,nenhuma,58.47436025629292,0.0,66,0,terminal,0.25,00,2,adaptativa,j6010_1.sm,0,GOV,0,1.8470588235294119,0.5833333333333334,35,0.0,0.0,0.5448040907062522,60,14,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,164,85,0.7926978358626344,0.0,15.282801880478726,258.0,520.0,0.0,55.0,80.98766197478321,47,13,5,0,0.21666666666666667,0.3,323.0,0.2004706321447966,0.2507357955875641,0.04731517610055333,0.1234591238057408,26,0,0,55,34,55,7,6,48,0.6586427040007742,0.39362113220747674,14,60,0,0,48,0,0.6586427040007742,nenhuma,80.98766197478321,0.0,88,0,terminal,0.25,00,2,adaptativa,j6010_1.sm,1,GOV,0,1.9294117647058824,0.43333333333333335,26,0.0,0.0,0.6427821265507848,60,18,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,171,85,0.7108636267109992,0.0,22.608192970976248,199.0,531.0,0.0,119.0,96.97871722149245,42,18,2,0,0.3,0.3333333333333333,323.0,0.23091340881053948,0.3002437065680881,0.0699944054828986,0.1298279522370067,37,0,0,119,23,119,8,11,111,0.7659648859265082,0.2570239140832174,4,60,0,0,111,0,0.7659648859265082,nenhuma,96.97871722149246,0.0,106,0,terminal,0.25,00,2,adaptativa,j6010_1.sm,2,GOV,0,2.011764705882353,0.6166666666666667,37,0.0,0.0,0.5641780729304098,60,20,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,175,85,0.6786970461834855,0.0,15.616316140518977,225.0,518.0,0.0,166.0,79.22713191823573,45,15,3,0,0.25,0.3,323.0,0.1969711280797958,0.24528523813695272,0.04834772798922284,0.1038054448079072,28,0,0,166,32,166,3,14,163,0.794910294566222,0.24332019624229825,3,60,0,0,163,0,0.794910294566222,nenhuma,79.22713191823573,0.0,88,0,terminal,0.25,00,2,adaptativa,j6010_1.sm,3,GOV,0,2.0588235294117645,0.4666666666666667,28,0.0,0.0,0.6416350109103622,60,18,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,235,76,0.7825831083626956,0.0,9.061051072069258,269.0,531.0,0.0,84.0,63.52218419452904,46,14,3,0,0.23333333333333334,0.2833333333333333,332.0,0.16060334093241918,0.19133188010400312,0.027292322506232706,0.093618433817217,33,0,0,84,27,84,16,0,68,0.6268507180531939,0.4857196752206667,18,60,0,0,68,0,0.6268507180531939,nenhuma,63.52218419452904,0.0,70,0,terminal,0.25,00,2,adaptativa,j6021_1.sm,0,GOV,0,3.0921052631578947,0.55,33,0.0,0.0,0.7070129754430446,60,17,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,268,76,0.7466442455357952,0.0,8.5,244.0,527.0,0.0,79.0,99.82476614659028,48,12,6,0,0.2,0.3,332.0,0.2311696177997884,0.3006770064656334,0.025602409638554216,0.14142995674631517,30,0,0,79,30,79,5,2,74,0.6586427040007742,0.39362113220747674,17,60,0,0,74,0,0.6586427040007742,nenhuma,99.82476614659025,0.0,107,0,terminal,0.25,00,2,adaptativa,j6021_1.sm,1,GOV,0,3.526315789473684,0.5,30,0.0,0.0,0.7427942762690445,60,18,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,270,76,0.7720211303468172,0.0,20.599834668416175,206.0,548.0,0.0,34.0,127.82513102176415,38,22,3,0,0.36666666666666664,0.4166666666666667,332.0,0.2779863961278663,0.3850154548848318,0.06204769478438607,0.18007974842728536,39,0,0,34,21,34,4,0,30,0.7659648859265082,0.2570239140832174,6,60,0,0,30,0,0.7659648859265082,nenhuma,127.82513102176414,0.0,140,0,terminal,0.25,00,2,adaptativa,j6021_1.sm,2,GOV,0,3.5526315789473686,0.65,39,0.0,0.0,0.6529652740582664,60,25,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,237,76,0.7255102478200925,2.220446049250313e-16,20.261155669543403,231.0,548.0,0.0,113.0,94.33047485759229,44,16,2,0,0.26666666666666666,0.3,332.0,0.22126139326329325,0.28412793631804906,0.061027577317901816,0.12488636166226058,37,0,0,113,23,113,0,0,113,0.794910294566222,0.24332019624229825,2,60,0,0,113,0,0.794910294566222,nenhuma,94.33047485759229,0.0,101,0,terminal,0.25,00,2,adaptativa,j6021_1.sm,3,GOV,0,3.1184210526315788,0.6166666666666667,37,0.0,0.0,0.6474582721279543,60,18,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,150,69,0.7404608734713874,0.0,16.730480016726418,253.0,558.0,0.0,141.0,54.5847199920442,44,16,1,0,0.26666666666666666,0.2833333333333333,337.0,0.1393944074047455,0.16197246288440414,0.049645341295924086,0.07243342194175655,34,0,0,141,26,141,18,13,123,0.6268507180531939,0.4857196752206667,14,60,0,0,123,0,0.6268507180531939,nenhuma,54.5847199920442,0.0,60,0,terminal,0.25,00,2,adaptativa,j6032_1.sm,0,GOV,0,2.1739130434782608,0.5666666666666667,34,0.0,0.0,0.5396476926845222,60,17,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,169,69,0.7139928374440656,1.7763568394002505e-15,17.68514960432847,227.0,583.0,0.0,131.0,102.53480178738116,44,16,6,0,0.26666666666666666,0.36666666666666664,337.0,0.23328028035645954,0.3042575720693803,0.05247818873687973,0.12557309445100706,37,0,0,131,23,131,11,8,120,0.6586427040007742,0.39362113220747674,13,60,0,0,120,0,0.6586427040007742,nenhuma,102.53480178738116,0.0,109,0,terminal,0.25,00,2,adaptativa,j6032_1.sm,1,GOV,0,2.449275362318841,0.6166666666666667,37,0.0,0.0,0.467974621750085,60,22,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
