concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,canto,celula,cenario,arquivo,semente,kind,violacoes,atraso_relativo,fracao_porta1,n_selecoes_p1,fracao_fuga_p1,fracao_fuga,bateria_media,denominador_falha,numerador_falha,n_executadas,n_concluidas,ids_executadas,ids_concluidas
True,147,85,0.7481517044025783,0.0,8.855901764955274,281.0,430.0,56.0,54.0,34.74974322670026,52,8,2,0,0.13333333333333333,0.16666666666666666,323.0,0.09713422269231345,0.10758434435510916,0.027417652523081343,0.060460650285134296,25,0,56,54,35,110,16,4,5,0.6268507180531939,0.4857196752206667,16,60,89,33,5,56,0.6268507180531939,nenhuma,34.74974322670026,0.0,38,0,terminal,0.7798992991659368,10,2,adaptativa,j6010_1.sm,0,GOV,0,1.7294117647058824,0.4166666666666667,25,0.0,0.0,0.699472283006572,60,10,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,143,85,0.8239130190706325,0.0,9.799419083853898,278.0,492.0,27.0,41.0,37.15041346836843,50,10,4,0,0.16666666666666666,0.23333333333333334,323.0,0.10315249428869892,0.11501675996398894,0.03033875877354148,0.06221282382204415,19,0,27,41,41,68,6,5,6,0.6586427040007742,0.39362113220747674,14,60,56,29,6,27,0.6586427040007742,nenhuma,37.15041346836843,0.0,41,0,terminal,0.4841844423070559,10,2,adaptativa,j6010_1.sm,1,GOV,0,1.6823529411764706,0.31666666666666665,19,0.0,0.0,0.7090017869709926,60,14,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,152,85,0.7559566544844839,0.0,11.0,262.0,470.0,51.0,52.0,48.72876872221088,50,10,3,0,0.16666666666666666,0.21666666666666667,323.0,0.13108689136359364,0.15086306105947642,0.034055727554179564,0.07837624889444829,28,0,51,52,32,103,8,10,5,0.7659648859265082,0.2570239140832174,4,60,90,39,5,51,0.7659648859265082,nenhuma,48.728768722210866,0.0,56,0,terminal,0.7156576171970322,10,2,adaptativa,j6010_1.sm,2,GOV,0,1.7882352941176471,0.4666666666666667,28,0.0,0.0,0.6292022579810564,60,13,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,163,85,0.6217899986571246,1.7763568394002505e-15,23.42664680858891,201.0,451.0,92.0,82.0,100.32527215622875,39,21,4,0,0.35,0.4166666666666667,323.0,0.23699334472807845,0.31060455775922213,0.07252831829284492,0.13831762935542602,32,0,92,82,28,174,6,15,6,0.794910294566222,0.24332019624229825,3,60,162,70,6,92,0.794910294566222,nenhuma,100.32527215622873,0.0,111,0,terminal,0.639152932429617,10,2,adaptativa,j6010_1.sm,3,GOV,0,1.9176470588235295,0.5333333333333333,32,0.0,0.0,0.6261348243580825,60,25,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,236,76,0.7636629989812638,0.0,8.557361867365783,282.0,459.0,52.0,48.0,42.05046416064655,49,11,2,0,0.18333333333333332,0.21666666666666667,332.0,0.11241922732272507,0.12665802458026068,0.025775186347487298,0.06996161997706644,33,0,52,48,27,100,17,0,6,0.6268507180531939,0.4857196752206667,18,60,77,25,6,52,0.6268507180531939,nenhuma,42.05046416064655,0.0,47,0,terminal,0.7835994795858138,10,2,adaptativa,j6021_1.sm,0,GOV,0,3.1052631578947367,0.55,33,0.0,0.0,0.7740198338619171,60,13,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,250,76,0.7988338907678745,0.0,22.34027392537271,223.0,516.0,15.0,27.0,87.94154800317494,41,19,4,0,0.31666666666666665,0.38333333333333336,332.0,0.20941378251648982,0.2648841807324547,0.06728998170292985,0.13614474603008922,29,0,15,27,31,42,3,0,6,0.6586427040007742,0.39362113220747674,17,60,33,18,6,15,0.6586427040007742,nenhuma,87.94154800317493,0.0,96,0,terminal,0.3447652061858511,10,2,adaptativa,j6021_1.sm,1,GOV,0,3.289473684210526,0.48333333333333334,29,0.0,0.0,0.7225296317156523,60,23,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,225,76,0.7933884858837547,1.7763568394002505e-15,19.052278323748496,252.0,513.0,21.0,24.0,88.5937042539379,46,14,7,0,0.23333333333333334,0.35,332.0,0.2106396347779103,0.2668485067889696,0.05738638049321836,0.13701603289837222,30,0,21,24,30,45,4,0,5,0.7659648859265082,0.2570239140832174,6,60,36,15,5,21,0.7659648859265082,nenhuma,88.5937042539379,0.0,97,0,terminal,0.4276614181941969,10,2,adaptativa,j6021_1.sm,2,GOV,0,2.960526315789474,0.5,30,0.0,0.0,0.7109578642332125,60,21,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,244,76,0.7249445453750168,0.0,21.263619790596607,223.0,506.0,57.0,43.0,91.98442270952476,43,17,0,0,0.2833333333333333,0.2833333333333333,332.0,0.21695236377243993,0.27706151418531555,0.06404704756203797,0.131785781625968,34,0,57,43,26,100,0,0,10,0.794910294566222,0.24332019624229825,2,60,90,33,10,57,0.794910294566222,nenhuma,91.98442270952478,0.0,100,0,terminal,0.6373001087666296,10,2,adaptativa,j6021_1.sm,3,GOV,0,3.210526315789474,0.5666666666666667,34,0.0,0.0,0.7183614030544023,60,17,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,137,69,0.7005269552768086,3.552713678800501e-15,17.27373662378103,274.0,481.0,95.0,59.0,51.625969745783834,48,12,3,0,0.2,0.25,337.0,0.1328423053651162,0.15319278856315677,0.05125737870558169,0.07518790727489935,28,0,95,59,32,154,16,4,12,0.6268507180531939,0.4857196752206667,14,60,126,31,12,95,0.6268507180531939,nenhuma,51.625969745783834,0.0,58,0,terminal,0.8898497388678197,10,2,adaptativa,j6032_1.sm,0,GOV,0,1.9855072463768115,0.4666666666666667,28,0.0,0.0,0.5816027650717582,60,15,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
True,134,69,0.7270330245779637,8.881784197001252e-16,13.268651704339849,268.0,497.0,53.0,77.0,56.600308649671234,47,13,2,0,0.21666666666666667,0.25,337.0,0.1438014844141015,0.16795343812958824,0.0393728537220767,0.08279737140767959,26,0,53,77,34,130,8,23,7,0.6586427040007742,0.39362113220747674,13,60,115,62,7,53,0.6586427040007742,nenhuma,56.60030864967123,0.0,63,0,terminal,0.6763626972228228,10,2,adaptativa,j6032_1.sm,1,GOV,0,1.9420289855072463,0.43333333333333335,26,0.0,0.0,0.5776723668382557,60,15,60,60,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
