par,ai,ci,nominal,D00,D10,D01,D11,nova_inversao,ja_positivo_v1,assistencia_so_inverte,fuga_so_inverte,somente_juntos,H1_direcao,H1_delta_C,H1_delta_A,delta_pedidos_C,delta_sucesso_C,interacao,interacao_ic95_inf,interacao_ic95_sup,total_delta_C,total_delta_A
amostra_01,56,65,False,0.0010416666666666664,-0.004166666666666671,0.002083333333333333,0.015624999999999997,False,True,False,False,False,False,-0.008333333333333337,-0.013541666666666674,18.0,9.25,0.018750000000000003,-0.07770973907527114,0.11520973907527114,-0.006250000000000002,0.008333333333333328
amostra_02,17,9,False,0.007291666666666672,-0.003125000000000008,-0.015624999999999997,0.009374999999999996,False,True,False,False,False,False,-0.01979166666666666,-0.030208333333333344,99.0,62.125,0.03541666666666667,-0.04349726568355632,0.11433059901688966,-0.04166666666666666,-0.03958333333333333
amostra_03,62,68,False,-0.015624999999999997,-0.007291666666666665,0.01666666666666667,0.016666666666666663,True,False,False,True,False,True,-0.0041666666666666675,0.004166666666666666,13.0,4.25,-0.008333333333333342,-0.14560462001521815,0.1289379533485515,-0.014583333333333332,0.017708333333333333
amostra_04,2,18,False,-0.004166666666666664,-0.020833333333333332,0.009375,0.011458333333333333,True,False,False,True,False,False,-0.01979166666666666,-0.03645833333333333,73.75,39.0625,0.018750000000000006,-0.07094028259670432,0.10844028259670432,-0.031249999999999993,-0.015624999999999998
amostra_05,62,73,False,-0.015624999999999997,-0.035416666666666666,0.015624999999999998,0.018749999999999996,True,False,False,True,False,False,0.02395833333333333,0.004166666666666666,3.8125,-8.625,0.02291666666666667,-0.026845877090587528,0.07267921042392086,-0.016666666666666663,0.017708333333333333
amostra_06,11,18,False,-0.004166666666666664,0.011458333333333326,0.009375,0.009375000000000001,True,False,True,True,False,True,-0.01979166666666666,-0.004166666666666669,73.75,39.0625,-0.015624999999999986,-0.15515926174526867,0.12390926174526871,-0.031249999999999993,-0.017708333333333333
amostra_07,68,66,False,0.015624999999999998,-0.0031250000000000097,-0.0010416666666666716,0.006249999999999999,False,True,False,False,False,False,0.01458333333333334,-0.0041666666666666675,7.8125,-0.625,0.02604166666666668,-0.1305161440026448,0.18259947733597817,-0.0052083333333333304,-0.014583333333333332
amostra_08,64,9,False,-0.03645833333333333,-0.006249999999999999,-0.03645833333333333,0.0125,True,False,False,False,True,True,-0.01979166666666666,0.010416666666666671,99.0,62.125,0.018749999999999996,-0.1265585638870834,0.16405856388708337,-0.04166666666666666,0.007291666666666672
amostra_09,7,9,False,0.004166666666666669,0.015624999999999995,-0.011458333333333334,0.02916666666666666,False,True,False,False,False,True,-0.01979166666666666,-0.008333333333333335,99.0,62.125,0.029166666666666674,-0.06270264488518724,0.12103597821852059,-0.04166666666666666,-0.016666666666666666
amostra_10,8,19,False,0.005208333333333336,-0.006249999999999995,-0.017708333333333326,0.018749999999999992,False,True,False,False,False,False,0.0010416666666666682,-0.010416666666666661,80.8125,42.8125,0.04791666666666666,-0.05328736364791681,0.14912069698125013,-0.034374999999999996,-0.020833333333333336
amostra_11,79,49,False,-0.015625000000000007,-0.02291666666666666,0.018750000000000003,0.01979166666666668,True,False,False,True,False,False,-0.007291666666666672,-0.014583333333333328,116.6875,74.8125,0.008333333333333333,-0.1555968353763319,0.17226350204299856,-0.02500000000000001,0.010416666666666675
