par,ai,ci,nominal,canto,media,ic95_inf,ic95_sup,N_instancias
amostra_01,56,65,False,00,0.0010416666666666664,-0.002273381568003862,0.004356714901337195,4
amostra_01,56,65,False,10,-0.004166666666666671,-0.05465997704715755,0.0463266437138242,4
amostra_01,56,65,False,01,0.002083333333333333,-0.004546763136007724,0.00871342980267439,4
amostra_01,56,65,False,11,0.015624999999999997,-0.04547149785205326,0.07672149785205325,4
amostra_02,17,9,False,00,0.007291666666666672,-0.05110715240563114,0.06569048573896448,4
amostra_02,17,9,False,10,-0.003125000000000008,-0.03296043411203476,0.026710434112034748,4
amostra_02,17,9,False,01,-0.015624999999999997,-0.030326282745544546,-0.0009237172544554455,4
amostra_02,17,9,False,11,0.009374999999999996,-0.03472884823663372,0.05347884823663371,4
amostra_03,62,68,False,00,-0.015624999999999997,-0.0662270151572917,0.03497701515729171,4
amostra_03,62,68,False,10,-0.007291666666666665,-0.025549528686770857,0.010966195353437527,4
amostra_03,62,68,False,01,0.01666666666666667,-0.05159435438073263,0.08492768771406597,4
amostra_03,62,68,False,11,0.016666666666666663,-0.07112475708948461,0.10445809042281794,4
amostra_04,2,18,False,00,-0.004166666666666664,-0.030128666094467293,0.02179533276113397,4
amostra_04,2,18,False,10,-0.020833333333333332,-0.04564088276286714,0.00397421609620047,4
amostra_04,2,18,False,01,0.009375,-0.0347288482366337,0.0534788482366337,4
amostra_04,2,18,False,11,0.011458333333333333,-0.04567217344774712,0.06858884011441378,4
amostra_05,62,73,False,00,-0.015624999999999997,-0.0626239202475613,0.03137392024756132,4
amostra_05,62,73,False,10,-0.035416666666666666,-0.09384684081186645,0.02301350747853312,4
amostra_05,62,73,False,01,0.015624999999999998,-0.03260486953763557,0.06385486953763557,4
amostra_05,62,73,False,11,0.018749999999999996,-0.02194100739632312,0.05944100739632311,4
amostra_06,11,18,False,00,-0.004166666666666664,-0.030128666094467293,0.02179533276113397,4
amostra_06,11,18,False,10,0.011458333333333326,-0.035540586914227984,0.05845725358089464,4
amostra_06,11,18,False,01,0.009375,-0.0347288482366337,0.0534788482366337,4
amostra_06,11,18,False,11,0.009375000000000001,-0.08429100199942755,0.10304100199942756,4
amostra_07,68,66,False,00,0.015624999999999998,-0.01834413604745018,0.04959413604745018,4
amostra_07,68,66,False,10,-0.0031250000000000097,-0.04448567947844409,0.03823567947844407,4
amostra_07,68,66,False,01,-0.0010416666666666716,-0.06873686724134659,0.06665353390801323,4
amostra_07,68,66,False,11,0.006249999999999999,-0.11364297142049395,0.12614297142049397,4
amostra_08,64,9,False,00,-0.03645833333333333,-0.07525997810971272,0.002343311443046052,4
amostra_08,64,9,False,10,-0.006249999999999999,-0.08663564760787218,0.0741356476078722,4
amostra_08,64,9,False,01,-0.03645833333333333,-0.09202866793995598,0.019112001273289332,4
amostra_08,64,9,False,11,0.0125,-0.051093651300540416,0.07609365130054041,4
amostra_09,7,9,False,00,0.004166666666666669,-0.029640324607505996,0.03797365794083933,4
amostra_09,7,9,False,10,0.015624999999999995,-0.04099022674575032,0.07224022674575031,4
amostra_09,7,9,False,01,-0.011458333333333334,-0.039259975685411216,0.016343309018744544,4
amostra_09,7,9,False,11,0.02916666666666666,-0.07594354075289153,0.13427687408622485,4
amostra_10,8,19,False,00,0.005208333333333336,-0.049027584878826684,0.059444251545493355,4
amostra_10,8,19,False,10,-0.006249999999999995,-0.06972834086786715,0.05722834086786717,4
amostra_10,8,19,False,01,-0.017708333333333326,-0.056885789735549,0.02146912306888235,4
amostra_10,8,19,False,11,0.018749999999999992,-0.06761108924957526,0.10511108924957524,4
amostra_11,79,49,False,00,-0.015625000000000007,-0.07884312338991534,0.04759312338991533,4
amostra_11,79,49,False,10,-0.02291666666666666,-0.0988015892419234,0.05296825590859006,4
amostra_11,79,49,False,01,0.018750000000000003,-0.027343875164174358,0.06484387516417436,4
amostra_11,79,49,False,11,0.01979166666666668,-0.050244039666553914,0.08982737299988727,4
amostra_12,61,55,False,00,-0.005208333333333334,-0.04761849915833477,0.0372018324916681,4
amostra_12,61,55,False,10,0.01666666666666667,-0.0991862460295278,0.13251957936286113,4
amostra_12,61,55,False,01,-0.002083333333333331,-0.04055313143725568,0.036386464770589017,4
amostra_12,61,55,False,11,0.014583333333333332,0.006023915596831169,0.023142751069835495,4
amostra_13,60,3,False,00,-0.05208333333333333,-0.10414823882209873,-1.8427844567923957e-05,4
amostra_13,60,3,False,10,-0.030208333333333323,-0.07993405685339125,0.01951739018672461,4
amostra_13,60,3,False,01,-0.040625,-0.13159272632664135,0.05034272632664135,4
amostra_13,60,3,False,11,0.0031250000000000062,-0.016672990583276905,0.022922990583276917,4
amostra_14,8,14,False,00,0.002083333333333338,-0.039321605846889866,0.043488272513556546,4
amostra_14,8,14,False,10,0.037500000000000006,-0.04860621090943633,0.12360621090943634,4
amostra_14,8,14,False,01,-0.02083333333333333,-0.07074288640276315,0.02907621973609649,4
amostra_14,8,14,False,11,0.013541666666666664,-0.024110043506535197,0.05119337683986852,4
amostra_15,62,77,False,00,-0.012500000000000002,-0.08692264828860138,0.06192264828860138,4
amostra_15,62,77,False,10,-0.0072916666666666685,-0.08334535655380158,0.06876202322046825,4
amostra_15,62,77,False,01,0.01041666666666667,-0.0671866228860921,0.08801995621942545,4
amostra_15,62,77,False,11,0.017708333333333326,-0.07658133599336164,0.1119980026600283,4
amostra_16,78,51,False,00,-0.006249999999999999,-0.07568159932485333,0.06318159932485334,4
amostra_16,78,51,False,10,-0.01041666666666666,-0.06934625309172765,0.04851291975839433,4
amostra_16,78,51,False,01,-0.027083333333333327,-0.06359905737354171,0.00943239070687505,4
amostra_16,78,51,False,11,0.0072916666666666685,-0.0466734088129519,0.06125674214628524,4
amostra_17,34,51,False,00,-0.014583333333333334,-0.05305313143725569,0.023886464770589023,4
amostra_17,34,51,False,10,0.014583333333333334,-0.03151054183084104,0.0606772084975077,4
amostra_17,34,51,False,01,-0.010416666666666663,-0.04888646477058902,0.028053131437255692,4
amostra_17,34,51,False,11,0.031249999999999997,0.017448353606592255,0.04505164639340774,4
amostra_18,31,19,False,00,-0.04583333333333334,-0.11826037283058927,0.026593706163922592,4
amostra_18,31,19,False,10,-0.03645833333333333,-0.16540476127790565,0.09248809461123901,4
amostra_18,31,19,False,01,-0.04374999999999998,-0.1211642434995921,0.03366424349959213,4
amostra_18,31,19,False,11,0.011458333333333329,-0.06574268001636023,0.0886593466830269,4
amostra_19,67,10,False,00,-0.03541666666666666,-0.11433059901688966,0.04349726568355634,4
amostra_19,67,10,False,10,-0.01875,-0.06484387516417436,0.02734387516417436,4
amostra_19,67,10,False,01,-0.04270833333333333,-0.14773137745121043,0.062314710784543766,4
amostra_19,67,10,False,11,0.005208333333333336,-0.05492119550737214,0.06533786217403881,4
amostra_20,64,19,False,00,-0.03854166666666667,-0.08197596790071046,0.004892634567377117,4
amostra_20,64,19,False,10,-0.029166666666666664,-0.12448030874641065,0.06614697541307733,4
amostra_20,64,19,False,01,-0.03854166666666666,-0.1252202999067222,0.048136966573388874,4
amostra_20,64,19,False,11,0.0031249999999999993,-0.058686798292651915,0.0649367982926519,4
nominal,62,18,True,00,-0.04791666666666666,-0.11410703751378676,0.01827370418045343,4
nominal,62,18,True,10,-0.023958333333333335,-0.06772868832943586,0.019812021662769196,4
nominal,62,18,True,01,-0.026041666666666664,-0.03238950075345337,-0.019693832579879958,4
nominal,62,18,True,11,0.001041666666666663,-0.055314153322732325,0.05739748665606565,4
