par,ai,ci,nominal,canto,cenario,N_blocked,N_fail,N_req,N_success,bateria_media,confianca_media_final,denominador_falha,fracao_fuga,fracao_fuga_p1,fracao_porta1,n_concluidas,n_executadas,numerador_falha,p2_bloqueio,taxa_falha_efetiva
amostra_01,56,65,False,00,adaptativa,0.0625,34.5625,127.5625,93.0,0.7405388775277801,0.9314736732175877,60.0,0.0,0.0,0.4041666666666667,60.0,60.0,16.5625,42.0,0.2760416666666667
amostra_01,56,65,False,00,centralizada,0.9375,33.6875,126.6875,93.0,0.7408532313820133,0.9342861732175876,60.0,0.0,0.0,0.4041666666666667,60.0,60.0,16.5,42.0,0.275
amostra_01,56,65,False,01,adaptativa,0.0,33.875,138.125,104.25,0.7436420320272912,0.9517871485431615,60.0,0.11219473584055631,0.2436889852836845,0.38125,60.0,60.0,16.25,42.6875,0.27083333333333337
amostra_01,56,65,False,01,centralizada,0.1875,33.3125,137.25,103.9375,0.7430117380768575,0.9551204818764948,60.0,0.10881270120852168,0.24029751241546743,0.378125,60.0,60.0,16.125,42.3125,0.26875
amostra_01,56,65,False,10,adaptativa,1.75,37.25,137.0,99.75,0.750390148244175,0.9323147143687543,60.0,0.0,0.0,0.40729166666666666,60.0,60.0,15.75,49.0625,0.26249999999999996
amostra_01,56,65,False,10,centralizada,3.0,42.4375,144.6875,102.25,0.7492037917339947,0.9268807837567619,60.0,0.0,0.0,0.40625,60.0,60.0,16.0,55.5625,0.26666666666666666
amostra_01,56,65,False,11,adaptativa,2.25,36.5625,140.5,103.9375,0.7288124047618395,0.9472603966904068,60.0,0.11281987590926276,0.2311267807930155,0.4104166666666667,60.0,60.0,17.0625,47.875,0.284375
amostra_01,56,65,False,11,centralizada,2.875,42.5,147.875,105.375,0.7444980735488272,0.9505123080071817,60.0,0.10586220506602863,0.2255322842738495,0.38645833333333335,60.0,60.0,16.125,54.5625,0.26875
amostra_02,17,9,False,00,adaptativa,109.375,0.0,0.0,0.0,0.6091061842804223,0.25,60.0,0.0,0.0,0.5416666666666667,60.0,60.0,18.875,116.1875,0.3145833333333333
amostra_02,17,9,False,00,centralizada,118.5625,0.0,0.0,0.0,0.7010087629867267,0.25,60.0,0.0,0.0,0.5385416666666667,60.0,60.0,18.4375,126.9375,0.3072916666666667
