concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,arquivo,semente,cenario,violacoes,atraso_relativo,fracao_porta1
True,205,68,0.7122825655374023,3.552713678800501e-15,61.274368146226074,222.0,590.0,39.0,101.0,98.3229557287525,41,19,0,16,0.31666666666666665,0.31666666666666665,356.0,0.21641643788621354,0.27618807788975425,0.17211901164670246,0.11870123247067164,28,16,39,85,32,124,12,4,29,0.6785210398721897,0.41109404234558594,16,60,83,44,29,39,0.6785210398721897,nenhuma,98.3229557287525,0.0,105,0,terminal,0.5486906193584792,j6016_10.sm,100,centralizada,0,3.014705882352941,0.4666666666666667
True,363,68,0.6773350690313862,8.881784197001252e-15,54.30160795269418,219.0,537.0,44.0,101.0,110.81292901005338,38,22,3,14,0.36666666666666664,0.4166666666666667,356.0,0.23738187638686178,0.31127227250014994,0.1525326066086915,0.13977184901414266,48,14,44,87,12,131,11,12,23,0.6393153435855895,0.3058449421801753,21,60,97,53,23,44,0.6393153435855895,nenhuma,110.81292901005338,0.0,120,0,terminal,0.6007917831247053,j6016_10.sm,101,centralizada,0,5.338235294117647,0.8
True,205,68,0.6791929470096402,8.881784197001252e-16,26.309979940947052,266.0,533.0,47.0,133.0,71.75490999531068,46,14,3,26,0.23333333333333334,0.2833333333333333,356.0,0.16774771795395008,0.20155873594188395,0.07390443803636812,0.09143607651430873,35,26,47,107,25,154,0,25,39,0.80971904307432,0.42037210923704227,6,60,115,68,39,47,0.80971904307432,nenhuma,71.75490999531067,0.0,79,0,terminal,0.5992405429334158,j6016_10.sm,102,centralizada,0,3.014705882352941,0.5833333333333334
True,219,68,0.6334836752971167,0.0,38.65136638232144,242.0,573.0,55.0,150.0,126.52212479074758,42,18,5,13,0.3,0.38333333333333336,356.0,0.26220999678639745,0.3553992269403022,0.10857125388292539,0.13987731347093058,40,13,55,137,20,192,17,18,36,0.682401763500029,0.3632714158106943,16,60,139,84,36,55,0.682401763500029,nenhuma,126.52212479074758,0.0,138,0,terminal,0.5660164614508163,j6016_10.sm,103,centralizada,0,3.2205882352941178,0.6666666666666666
True,169,68,0.6521582298592127,0.0,59.008328265877026,178.0,533.0,60.0,99.0,125.28632039967286,33,27,1,18,0.45,0.4666666666666667,356.0,0.26031556495441593,0.3519278662912159,0.16575373108392422,0.15329550644920228,40,18,60,81,20,141,25,3,29,0.6174539985625742,0.4753051929556708,22,60,87,27,29,60,0.6174539985625742,nenhuma,125.28632039967289,0.0,136,0,terminal,0.8352522238592087,j6016_10.sm,104,centralizada,0,2.485294117647059,0.6666666666666666
True,157,68,0.7620148867606906,0.0,39.21264871767418,243.0,603.0,17.0,65.0,106.32312304729433,42,18,4,16,0.3,0.36666666666666664,356.0,0.22997578478552064,0.29866045799801777,0.11014788965638814,0.13436119829009446,37,16,17,49,23,66,3,5,32,0.7885613443465458,0.5213010960898347,8,60,31,14,32,17,0.7885613443465458,nenhuma,106.32312304729435,0.0,115,0,terminal,0.3861461756816429,j6016_10.sm,105,centralizada,0,2.3088235294117645,0.6166666666666667
True,155,68,0.6938815170106859,3.552713678800501e-15,39.852961886951064,250.0,544.0,30.0,108.0,101.99551892318577,44,16,4,16,0.26666666666666666,0.3333333333333333,356.0,0.22269981846763937,0.28650426663816225,0.11194652215435692,0.13009706874763283,32,16,30,92,28,122,5,29,28,0.6649030651029196,0.3670304499655417,18,60,89,59,28,30,0.6649030651029196,nenhuma,101.99551892318576,0.0,108,0,terminal,0.4839780885075815,j6016_10.sm,106,centralizada,0,2.2794117647058822,0.5333333333333333
True,252,68,0.7239995812909814,2.6645352591003757e-15,29.31321466868362,255.0,593.0,27.0,116.0,83.06124716620295,43,17,3,27,0.2833333333333333,0.3333333333333333,356.0,0.18917918104204903,0.233318110017424,0.08234049064236972,0.1014103004550382,42,27,27,89,18,116,2,17,37,0.7634951179286306,0.32348807353957354,11,60,77,50,37,27,0.7634951179286306,nenhuma,83.06124716620293,0.0,90,0,terminal,0.4740461431020955,j6016_10.sm,107,centralizada,0,3.7058823529411766,0.7
True,250,68,0.7946883057494312,0.0,30.792704288511835,259.0,578.0,20.0,62.0,67.3291878315949,43,17,0,12,0.2833333333333333,0.2833333333333333,356.0,0.15904688305683096,0.1891269321112216,0.0864963603609883,0.09257044672210271,26,12,20,50,34,70,9,10,10,0.900978086937479,0.4075346872281833,2,60,51,31,10,20,0.900978086937479,nenhuma,67.3291878315949,0.0,72,0,terminal,0.44015597826875913,j6016_10.sm,108,centralizada,0,3.676470588235294,0.43333333333333335
True,171,68,0.7634466730374209,2.6645352591003757e-15,25.14893663477845,247.0,617.0,21.0,77.0,93.17694514958919,43,17,3,25,0.2833333333333333,0.3333333333333333,356.0,0.2074392868016824,0.2617329919932281,0.07064308043477092,0.1152927532872676,35,25,21,52,25,73,9,7,25,0.6841356270768235,0.3982340110055644,16,60,39,18,25,21,0.6841356270768235,nenhuma,93.17694514958917,0.0,101,0,terminal,0.4077623803198325,j6016_10.sm,109,centralizada,0,2.514705882352941,0.5833333333333334
