concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,arquivo,semente,cenario,violacoes,atraso_relativo,fracao_porta1
True,147,68,0.6220161959579632,0.0,24.60251503161218,320.0,500.0,92.0,92.0,119.83759016106194,55,5,18,13,0.08333333333333333,0.38333333333333336,356.0,0.251845572184617,0.33662244427264587,0.06910818829104545,0.14908184392950638,37,13,92,79,23,171,10,35,1,0.6785210398721897,0.41109404234558594,16,60,160,68,1,92,0.6785210398721897,nenhuma,119.83759016106194,0.0,128,0,terminal,0.9533333333333335,j6016_10.sm,100,adaptativa,0,2.161764705882353,0.6166666666666667
True,149,68,0.5918852713277195,0.0,10.931495301753834,314.0,464.0,136.0,100.0,83.93570929574463,54,6,16,21,0.1,0.36666666666666664,356.0,0.19079085312285768,0.2357744643138894,0.030706447476836613,0.10706963377283706,41,21,136,79,19,215,18,34,1,0.6393153435855895,0.3058449421801753,21,60,196,60,1,136,0.6393153435855895,nenhuma,83.93570929574464,0.0,92,0,terminal,0.9333333333333332,j6016_10.sm,101,adaptativa,0,2.1911764705882355,0.6833333333333333
True,137,68,0.7144726107466737,0.0,10.45411785024,315.0,482.0,51.0,52.0,89.62348136239457,53,7,15,8,0.11666666666666667,0.36666666666666664,356.0,0.20111929714383706,0.2517513521415578,0.02936549957932584,0.13284963218505372,26,8,51,44,34,95,3,13,0,0.80971904307432,0.42037210923704227,6,60,92,41,0,51,0.80971904307432,nenhuma,89.62348136239457,0.0,97,0,terminal,0.9483333333333333,j6016_10.sm,102,adaptativa,0,2.014705882352941,0.43333333333333335
True,139,68,0.6309888413631565,0.0,9.06437858908123,342.0,453.0,94.0,88.0,82.92077815728352,58,2,17,18,0.03333333333333333,0.31666666666666665,356.0,0.18891969185284177,0.23292353414967282,0.025461737609778736,0.11550129301191095,36,18,94,70,24,164,15,17,0,0.682401763500029,0.3632714158106943,16,60,149,55,0,94,0.682401763500029,nenhuma,82.92077815728352,0.0,92,0,terminal,0.9433333333333332,j6016_10.sm,103,adaptativa,0,2.0441176470588234,0.6
True,157,68,0.6256579997249917,0.0,13.335094647832367,312.0,508.0,110.0,80.0,113.94518446705965,54,6,15,14,0.1,0.35,356.0,0.24246484107775024,0.320070742884999,0.03745813103323699,0.14033605549597586,38,14,110,66,22,176,12,19,3,0.6174539985625742,0.4753051929556708,22,60,161,51,3,110,0.6174539985625742,nenhuma,113.94518446705965,0.0,122,0,terminal,0.9499999999999998,j6016_10.sm,104,adaptativa,0,2.3088235294117645,0.6333333333333333
True,131,68,0.7373732645813436,0.0,10.48108402708659,309.0,477.0,35.0,41.0,93.89082573508412,52,8,12,8,0.13333333333333333,0.3333333333333333,356.0,0.20869691125991363,0.26373827453675314,0.029441247267097164,0.1451416869738302,28,8,35,33,32,68,9,8,0,0.7885613443465458,0.5213010960898347,8,60,59,24,0,35,0.7885613443465458,nenhuma,93.89082573508412,0.0,100,0,terminal,0.9915659935082878,j6016_10.sm,105,adaptativa,0,1.9264705882352942,0.4666666666666667
True,136,68,0.6891096931263969,0.0,8.167130797758569,317.0,453.0,69.0,71.0,64.36994344804626,53,7,12,13,0.11666666666666667,0.31666666666666665,356.0,0.15312689323137058,0.18081444788777037,0.022941378645389237,0.09792042378818251,31,13,69,58,29,127,11,19,1,0.6649030651029196,0.3670304499655417,18,60,115,46,1,69,0.6649030651029196,nenhuma,64.36994344804626,0.0,73,0,terminal,0.9566666666666666,j6016_10.sm,106,adaptativa,0,2.0,0.5166666666666667
True,150,68,0.6596183519185392,0.0,9.976355314405405,327.0,516.0,103.0,85.0,78.27053340645124,55,5,14,13,0.08333333333333333,0.31666666666666665,356.0,0.18023450219495943,0.21986104889452596,0.028023469984284843,0.10005558187858204,38,13,103,72,22,175,1,31,2,0.7634951179286306,0.32348807353957354,11,60,172,69,2,103,0.7634951179286306,nenhuma,78.27053340645122,0.0,87,0,terminal,0.8884651252437791,j6016_10.sm,107,adaptativa,0,2.2058823529411766,0.6333333333333333
True,135,68,0.754783308167359,0.0,3.5,338.0,492.0,32.0,62.0,65.84271389704386,57,3,13,14,0.05,0.26666666666666666,356.0,0.15608356320482433,0.18495144353102208,0.009831460674157303,0.10101012482505631,26,14,32,48,34,80,0,32,2,0.900978086937479,0.4075346872281833,2,60,78,46,2,32,0.900978086937479,nenhuma,65.84271389704386,0.0,74,0,terminal,0.9702928991472949,j6016_10.sm,108,adaptativa,0,1.9852941176470589,0.43333333333333335
True,146,68,0.6936943259774125,0.0,7.0,288.0,488.0,69.0,55.0,91.47987827694853,50,10,15,11,0.16666666666666666,0.4166666666666667,356.0,0.2044335012988695,0.25696595021614754,0.019662921348314606,0.13003908299554007,32,11,69,44,28,113,6,9,2,0.6841356270768235,0.3982340110055644,16,60,105,36,2,69,0.6841356270768235,nenhuma,91.47987827694853,0.0,103,0,terminal,0.9361684527065811,j6016_10.sm,109,adaptativa,0,2.1470588235294117,0.5333333333333333
