regra,limite,cenario,N,completas,incompletas,p1_fuga_medio,p1_omissao_medio,fracao_fuga_p1_pool,fracao_fuga_p1_media,N_req_medio,tarefas_executadas_media
constante,0.1,adaptativa,16,5,11,84717.6875,0.0,1.0,1.0,348.625,45.25
constante,0.1,centralizada,16,0,16,71356.5625,0.0,1.0,1.0,0.0,5.25
constante,0.2,adaptativa,16,5,11,84717.6875,0.0,1.0,1.0,348.625,45.25
constante,0.2,centralizada,16,0,16,71356.5625,0.0,1.0,1.0,0.0,5.25
constante,0.3,adaptativa,16,5,11,84717.6875,0.0,1.0,1.0,348.625,45.25
constante,0.3,centralizada,16,0,16,71356.5625,0.0,1.0,1.0,0.0,5.25
constante,0.4,adaptativa,16,5,11,84717.6875,0.0,1.0,1.0,348.625,45.25
constante,0.4,centralizada,16,0,16,71356.5625,0.0,1.0,1.0,0.0,5.25
constante,0.6,adaptativa,16,16,0,0.0,25.8125,0.0,0.0,140.9375,60.0
constante,0.6,centralizada,16,16,0,0.0,32.3125,0.0,0.0,0.0,60.0
dependente_estado,0.1,adaptativa,16,8,8,57160.4375,17.4375,0.9996950306390365,0.7956235666970328,157.625,52.9375
dependente_estado,0.1,centralizada,16,0,16,129243.375,14.625,0.9998868541985796,0.9998874480792844,0.0,35.6875
dependente_estado,0.2,adaptativa,16,8,8,57163.375,17.4375,0.9996950463059615,0.7924287960401075,157.0,52.75
dependente_estado,0.2,centralizada,16,0,16,129245.0,14.875,0.9998849217516264,0.9998849278003508,0.0,35.9375
dependente_estado,0.3,adaptativa,16,8,8,57158.0625,17.625,0.99969173960523,0.7649381925879404,155.0,53.1875
dependente_estado,0.3,centralizada,16,0,16,129240.0625,14.9375,0.9998844338710301,0.9998842713067009,0.0,36.375
dependente_estado,0.4,adaptativa,16,9,7,49893.625,18.1875,0.9996356073023795,0.728281240787912,155.4375,54.8125
dependente_estado,0.4,centralizada,16,0,16,129225.625,16.0625,0.9998757173454579,0.9998754281536743,0.0,37.6875
dependente_estado,0.6,adaptativa,16,16,0,0.0,25.8125,0.0,0.0,140.9375,60.0
dependente_estado,0.6,centralizada,16,16,0,0.0,32.3125,0.0,0.0,0.0,60.0
