cenario,limite,N_estados,fracao_fuga_constante,fracao_fuga_estado
adaptativa,0.0,5996,1.0,0.5618745830553702
adaptativa,0.01,5996,1.0,0.5605403602401601
adaptativa,0.02,5996,1.0,0.5598732488325551
adaptativa,0.03,5996,1.0,0.5590393595730487
adaptativa,0.04,5996,1.0,0.5582054703135424
adaptativa,0.05,5996,1.0,0.5570380253502335
adaptativa,0.06,5996,1.0,0.5560373582388258
adaptativa,0.07,5996,1.0,0.5550366911274183
adaptativa,0.08,5996,1.0,0.5540360240160107
adaptativa,0.09,5996,1.0,0.5533689126084056
adaptativa,0.1,5996,1.0,0.5527018012008005
adaptativa,0.11,5996,1.0,0.5520346897931955
adaptativa,0.12,5996,1.0,0.5515343562374917
adaptativa,0.13,5996,1.0,0.5512008005336891
adaptativa,0.14,5996,1.0,0.5507004669779854
adaptativa,0.15,5996,1.0,0.549866577718479
adaptativa,0.16,5996,1.0,0.5488659106070714
adaptativa,0.17,5996,1.0,0.5478652434956638
adaptativa,0.18,5996,1.0,0.5463642428285523
adaptativa,0.19,5996,1.0,0.5458639092728486
adaptativa,0.2,5996,1.0,0.5440293529019347
adaptativa,0.21,5996,1.0,0.543028685790527
adaptativa,0.22,5996,1.0,0.5425283522348232
adaptativa,0.23,5996,1.0,0.5408605737158105
adaptativa,0.24,5996,1.0,0.5396931287525016
adaptativa,0.25,5996,1.0,0.5391927951967979
adaptativa,0.26,5996,1.0,0.537358238825884
adaptativa,0.27,5996,1.0,0.5360240160106737
adaptativa,0.28,5996,1.0,0.534856571047365
adaptativa,0.29,5996,1.0,0.5340226817878586
adaptativa,0.3,5996,1.0,0.5330220146764509
adaptativa,0.31,5996,1.0,0.5313542361574383
adaptativa,0.32,5996,1.0,0.5296864576384256
adaptativa,0.33,5996,1.0,0.5288525683789193
adaptativa,0.34,5996,1.0,0.5275183455637091
adaptativa,0.35,5996,1.0,0.5265176784523016
adaptativa,0.36,5996,1.0,0.5253502334889927
adaptativa,0.37,5996,1.0,0.5248498999332889
adaptativa,0.38,5996,1.0,0.5230153435623749
adaptativa,0.39,5996,1.0,0.5208472314876584
adaptativa,0.4,5996,1.0,0.5183455637091394
adaptativa,0.41,5996,1.0,0.5153435623749166
adaptativa,0.42,5996,1.0,0.5138425617078052
adaptativa,0.43,5996,1.0,0.5116744496330887
adaptativa,0.44,5996,1.0,0.5098398932621748
adaptativa,0.45,5996,1.0,0.5073382254836558
adaptativa,0.46,5996,1.0,0.5051701134089392
adaptativa,0.47,5996,1.0,0.5016677785190127
adaptativa,0.48,5996,1.0,0.4973315543695797
adaptativa,0.49,5996,1.0,0.49049366244162773
adaptativa,0.5,5996,0.0,0.0
adaptativa,0.51,5996,0.0,0.0
adaptativa,0.52,5996,0.0,0.0
adaptativa,0.53,5996,0.0,0.0
adaptativa,0.54,5996,0.0,0.0
adaptativa,0.55,5996,0.0,0.0
adaptativa,0.56,5996,0.0,0.0
adaptativa,0.57,5996,0.0,0.0
adaptativa,0.58,5996,0.0,0.0
adaptativa,0.59,5996,0.0,0.0
adaptativa,0.6,5996,0.0,0.0
centralizada,0.0,7338,1.0,0.6657127282638321
centralizada,0.01,7338,1.0,0.6647587898609976
centralizada,0.02,7338,1.0,0.6636685745434724
centralizada,0.03,7338,1.0,0.6628509130553284
centralizada,0.04,7338,1.0,0.6624420823112565
centralizada,0.05,7338,1.0,0.6617606977378032
centralizada,0.06,7338,1.0,0.6603979285908967
centralizada,0.07,7338,1.0,0.6599890978468248
centralizada,0.08,7338,1.0,0.6593077132733715
centralizada,0.09,7338,1.0,0.6584900517852276
centralizada,0.1,7338,1.0,0.6573998364677024
centralizada,0.11,7338,1.0,0.6568547288089398
centralizada,0.12,7338,1.0,0.6550831289179613
centralizada,0.13,7338,1.0,0.6541291905151267
centralizada,0.14,7338,1.0,0.6531752521122922
centralizada,0.15,7338,1.0,0.6518124829653856
centralizada,0.16,7338,1.0,0.6514036522213137
centralizada,0.17,7338,1.0,0.6507222676478605
centralizada,0.18,7338,1.0,0.6503134369037885
centralizada,0.19,7338,1.0,0.6488143908421913
centralizada,0.2,7338,1.0,0.648133006268738
centralizada,0.21,7338,1.0,0.6474516216952848
centralizada,0.22,7338,1.0,0.6467702371218316
centralizada,0.23,7338,1.0,0.6454074679749251
centralizada,0.24,7338,1.0,0.6434995911692559
centralizada,0.25,7338,1.0,0.6422730989370401
centralizada,0.26,7338,1.0,0.6409103297901335
centralizada,0.27,7338,1.0,0.6406377759607522
centralizada,0.28,7338,1.0,0.6384573453257019
centralizada,0.29,7338,1.0,0.6376396838375579
centralizada,0.3,7338,1.0,0.6366857454347233
centralizada,0.31,7338,1.0,0.6357318070318888
centralizada,0.32,7338,1.0,0.6339602071409103
centralizada,0.33,7338,1.0,0.6321886072499319
centralizada,0.34,7338,1.0,0.6312346688470973
centralizada,0.35,7338,1.0,0.6297356227855001
centralizada,0.36,7338,1.0,0.6279640228945217
centralizada,0.37,7338,1.0,0.6266012537476151
centralizada,0.38,7338,1.0,0.6253747615153993
centralizada,0.39,7338,1.0,0.6240119923684928
centralizada,0.4,7338,1.0,0.6225129463068956
centralizada,0.41,7338,1.0,0.6207413464159172
centralizada,0.42,7338,1.0,0.6189697465249386
centralizada,0.43,7338,1.0,0.6174707004633415
centralizada,0.44,7338,1.0,0.6131098391932407
centralizada,0.45,7338,1.0,0.610248023984737
centralizada,0.46,7338,1.0,0.6086127010084492
centralizada,0.47,7338,1.0,0.6050695012264923
centralizada,0.48,7338,1.0,0.6001635322976288
centralizada,0.49,7338,1.0,0.5932134096484055
centralizada,0.5,7338,0.0,0.0
centralizada,0.51,7338,0.0,0.0
centralizada,0.52,7338,0.0,0.0
centralizada,0.53,7338,0.0,0.0
centralizada,0.54,7338,0.0,0.0
centralizada,0.55,7338,0.0,0.0
centralizada,0.56,7338,0.0,0.0
centralizada,0.57,7338,0.0,0.0
centralizada,0.58,7338,0.0,0.0
centralizada,0.59,7338,0.0,0.0
centralizada,0.6,7338,0.0,0.0
