etapa,canal,cenario,tau_sat,s_transicao,N,completas
grade,ativo,adaptativa,0.7,0.01,16,16
grade,ativo,adaptativa,0.7,0.25,16,16
grade,ativo,adaptativa,0.7,0.6,16,16
grade,ativo,adaptativa,1.0,0.01,16,16
grade,ativo,adaptativa,1.0,0.25,16,16
grade,ativo,adaptativa,1.0,0.6,16,16
grade,ativo,adaptativa,1.4,0.01,16,16
grade,ativo,adaptativa,1.4,0.25,16,16
grade,ativo,adaptativa,1.4,0.6,16,16
grade,ativo,centralizada,0.7,0.01,16,16
grade,ativo,centralizada,0.7,0.25,16,16
grade,ativo,centralizada,0.7,0.6,16,16
grade,ativo,centralizada,1.0,0.01,16,9
grade,ativo,centralizada,1.0,0.25,16,16
grade,ativo,centralizada,1.0,0.6,16,16
grade,ativo,centralizada,1.4,0.01,16,5
grade,ativo,centralizada,1.4,0.25,16,16
grade,ativo,centralizada,1.4,0.6,16,16
grade,desligado,adaptativa,0.7,0.01,16,16
grade,desligado,adaptativa,0.7,0.25,16,16
grade,desligado,adaptativa,0.7,0.6,16,16
grade,desligado,adaptativa,1.0,0.01,16,16
grade,desligado,adaptativa,1.0,0.25,16,16
grade,desligado,adaptativa,1.0,0.6,16,16
grade,desligado,adaptativa,1.4,0.01,16,16
grade,desligado,adaptativa,1.4,0.25,16,16
grade,desligado,adaptativa,1.4,0.6,16,16
grade,desligado,centralizada,0.7,0.01,16,16
grade,desligado,centralizada,0.7,0.25,16,16
grade,desligado,centralizada,0.7,0.6,16,16
grade,desligado,centralizada,1.0,0.01,16,9
grade,desligado,centralizada,1.0,0.25,16,16
grade,desligado,centralizada,1.0,0.6,16,16
grade,desligado,centralizada,1.4,0.01,16,5
grade,desligado,centralizada,1.4,0.25,16,16
grade,desligado,centralizada,1.4,0.6,16,16
nominal,ativo,adaptativa,1.0,0.25,192,192
nominal,ativo,centralizada,1.0,0.25,192,192
nominal,desligado,adaptativa,1.0,0.25,192,192
nominal,desligado,centralizada,1.0,0.25,192,192
