etapa,canal,tau_sat,s_transicao,metrica,censuradas,pares_indefinidos,media,ic95_inferior,ic95_superior,n_instancias,estatuto,valor_rotulado
grade,ativo,0.7,0.01,atraso_relativo,0,0,-1.4162901548236888,-2.3248372894007914,-0.5077430202465862,4,COMPLETO,-1.416290 [COMPLETO]
grade,ativo,0.7,0.01,taxa_omissao,0,0,-0.3052083333333333,-0.3465690128117846,-0.263847653854882,4,COMPLETO,-0.305208 [COMPLETO]
grade,ativo,0.7,0.01,divida_latente_sobre_plano,0,0,-0.0973361482489453,-0.1399772728223113,-0.0546950236755793,4,COMPLETO,-0.097336 [COMPLETO]
grade,ativo,0.7,0.01,taxa_falha_efetiva,0,0,-0.10625,-0.1988342586112396,-0.0136657413887604,4,COMPLETO,-0.106250 [COMPLETO]
grade,ativo,0.7,0.01,fracao_porta1,0,0,-0.3125,-0.5277485095632358,-0.0972514904367641,4,COMPLETO,-0.312500 [COMPLETO]
grade,ativo,0.7,0.25,atraso_relativo,0,0,-1.2474464903556135,-1.9652925366646163,-0.5296004440466107,4,COMPLETO,-1.247446 [COMPLETO]
grade,ativo,0.7,0.25,taxa_omissao,0,0,-0.2208333333333333,-0.2987193316167488,-0.1429473350499178,4,COMPLETO,-0.220833 [COMPLETO]
grade,ativo,0.7,0.25,divida_latente_sobre_plano,0,0,-0.072188554649634,-0.1038771497989942,-0.0404999595002738,4,COMPLETO,-0.072189 [COMPLETO]
grade,ativo,0.7,0.25,taxa_falha_efetiva,0,0,-0.053125,-0.1652991003705153,0.0590491003705153,4,COMPLETO,-0.053125 [COMPLETO]
grade,ativo,0.7,0.25,fracao_porta1,0,0,-0.1145833333333333,-0.2066915771783189,-0.0224750894883476,4,COMPLETO,-0.114583 [COMPLETO]
grade,ativo,0.7,0.6,atraso_relativo,0,0,-1.1350008475294515,-1.3778804972442946,-0.8921211978146084,4,COMPLETO,-1.135001 [COMPLETO]
grade,ativo,0.7,0.6,taxa_omissao,0,0,-0.2052083333333333,-0.2797047770275728,-0.1307118896390938,4,COMPLETO,-0.205208 [COMPLETO]
grade,ativo,0.7,0.6,divida_latente_sobre_plano,0,0,-0.0635917738568001,-0.0991851453615236,-0.0279984023520767,4,COMPLETO,-0.063592 [COMPLETO]
grade,ativo,0.7,0.6,taxa_falha_efetiva,0,0,-0.0468749999999999,-0.1320186221052991,0.0382686221052991,4,COMPLETO,-0.046875 [COMPLETO]
grade,ativo,0.7,0.6,fracao_porta1,0,0,-0.0406249999999999,-0.0995234972187791,0.0182734972187792,4,COMPLETO,-0.040625 [COMPLETO]
