etapa,canal,tau_sat,cenario,arquivo,semente,s_antes,s_depois,concluiu_antes,concluiu_depois,fracao_porta1_depois,N_req_depois
grade,ativo,1.0,centralizada,j6021_1.sm,0,0.01,0.25,False,True,0.5333333333333333,0
grade,ativo,1.0,centralizada,j6021_1.sm,1,0.01,0.25,False,True,0.5666666666666667,0
grade,ativo,1.0,centralizada,j6021_1.sm,2,0.01,0.25,False,True,0.5166666666666667,0
grade,ativo,1.0,centralizada,j6032_1.sm,0,0.01,0.25,False,True,0.65,0
grade,ativo,1.0,centralizada,j6032_1.sm,1,0.01,0.25,False,True,0.6166666666666667,0
grade,ativo,1.0,centralizada,j6043_1.sm,0,0.01,0.25,False,True,0.45,0
grade,ativo,1.0,centralizada,j6043_1.sm,1,0.01,0.25,False,True,0.4833333333333333,0
grade,ativo,1.4,centralizada,j6010_1.sm,0,0.01,0.25,False,True,0.55,0
grade,ativo,1.4,centralizada,j6010_1.sm,1,0.01,0.25,False,True,0.4166666666666667,0
grade,ativo,1.4,centralizada,j6010_1.sm,2,0.01,0.25,False,True,0.4833333333333333,0
grade,ativo,1.4,centralizada,j6010_1.sm,3,0.01,0.25,False,True,0.5333333333333333,0
grade,ativo,1.4,centralizada,j6021_1.sm,0,0.01,0.25,False,True,0.5,0
grade,ativo,1.4,centralizada,j6021_1.sm,1,0.01,0.25,False,True,0.4333333333333333,0
grade,ativo,1.4,centralizada,j6021_1.sm,2,0.01,0.25,False,True,0.55,0
grade,ativo,1.4,centralizada,j6032_1.sm,0,0.01,0.25,False,True,0.5666666666666667,0
grade,ativo,1.4,centralizada,j6032_1.sm,1,0.01,0.25,False,True,0.6,0
grade,ativo,1.4,centralizada,j6043_1.sm,0,0.01,0.25,False,True,0.45,0
grade,ativo,1.4,centralizada,j6043_1.sm,1,0.01,0.25,False,True,0.65,0
grade,desligado,1.0,centralizada,j6021_1.sm,0,0.01,0.25,False,True,0.5666666666666667,0
grade,desligado,1.0,centralizada,j6021_1.sm,1,0.01,0.25,False,True,0.5833333333333334,0
grade,desligado,1.0,centralizada,j6021_1.sm,2,0.01,0.25,False,True,0.5166666666666667,0
grade,desligado,1.0,centralizada,j6032_1.sm,0,0.01,0.25,False,True,0.65,0
grade,desligado,1.0,centralizada,j6032_1.sm,1,0.01,0.25,False,True,0.6166666666666667,0
grade,desligado,1.0,centralizada,j6043_1.sm,0,0.01,0.25,False,True,0.4333333333333333,0
grade,desligado,1.0,centralizada,j6043_1.sm,1,0.01,0.25,False,True,0.4833333333333333,0
grade,desligado,1.4,centralizada,j6010_1.sm,0,0.01,0.25,False,True,0.4833333333333333,0
grade,desligado,1.4,centralizada,j6010_1.sm,1,0.01,0.25,False,True,0.3833333333333333,0
grade,desligado,1.4,centralizada,j6010_1.sm,2,0.01,0.25,False,True,0.4833333333333333,0
grade,desligado,1.4,centralizada,j6010_1.sm,3,0.01,0.25,False,True,0.55,0
grade,desligado,1.4,centralizada,j6021_1.sm,0,0.01,0.25,False,True,0.5166666666666667,0
grade,desligado,1.4,centralizada,j6021_1.sm,1,0.01,0.25,False,True,0.4333333333333333,0
grade,desligado,1.4,centralizada,j6021_1.sm,2,0.01,0.25,False,True,0.55,0
grade,desligado,1.4,centralizada,j6032_1.sm,0,0.01,0.25,False,True,0.6333333333333333,0
grade,desligado,1.4,centralizada,j6032_1.sm,1,0.01,0.25,False,True,0.65,0
grade,desligado,1.4,centralizada,j6043_1.sm,0,0.01,0.25,False,True,0.5166666666666667,0
grade,desligado,1.4,centralizada,j6043_1.sm,1,0.01,0.25,False,True,0.6166666666666667,0
grade,ativo,1.0,centralizada,j6021_1.sm,0,0.01,0.6,False,True,0.6833333333333333,0
grade,ativo,1.0,centralizada,j6021_1.sm,1,0.01,0.6,False,True,0.55,0
grade,ativo,1.0,centralizada,j6021_1.sm,2,0.01,0.6,False,True,0.65,0
grade,ativo,1.0,centralizada,j6032_1.sm,0,0.01,0.6,False,True,0.65,0
grade,ativo,1.0,centralizada,j6032_1.sm,1,0.01,0.6,False,True,0.6666666666666666,0
grade,ativo,1.0,centralizada,j6043_1.sm,0,0.01,0.6,False,True,0.5,0
grade,ativo,1.0,centralizada,j6043_1.sm,1,0.01,0.6,False,True,0.5666666666666667,0
grade,ativo,1.4,centralizada,j6010_1.sm,0,0.01,0.6,False,True,0.5833333333333334,0
grade,ativo,1.4,centralizada,j6010_1.sm,1,0.01,0.6,False,True,0.4833333333333333,0
grade,ativo,1.4,centralizada,j6010_1.sm,2,0.01,0.6,False,True,0.65,0
grade,ativo,1.4,centralizada,j6010_1.sm,3,0.01,0.6,False,True,0.4666666666666667,0
grade,ativo,1.4,centralizada,j6021_1.sm,0,0.01,0.6,False,True,0.4333333333333333,0
grade,ativo,1.4,centralizada,j6021_1.sm,1,0.01,0.6,False,True,0.55,0
grade,ativo,1.4,centralizada,j6021_1.sm,2,0.01,0.6,False,True,0.4666666666666667,0
grade,ativo,1.4,centralizada,j6032_1.sm,0,0.01,0.6,False,True,0.45,0
grade,ativo,1.4,centralizada,j6032_1.sm,1,0.01,0.6,False,True,0.5833333333333334,0
grade,ativo,1.4,centralizada,j6043_1.sm,0,0.01,0.6,False,True,0.4666666666666667,0
grade,ativo,1.4,centralizada,j6043_1.sm,1,0.01,0.6,False,True,0.4833333333333333,0
grade,desligado,1.0,centralizada,j6021_1.sm,0,0.01,0.6,False,True,0.6833333333333333,0
grade,desligado,1.0,centralizada,j6021_1.sm,1,0.01,0.6,False,True,0.55,0
grade,desligado,1.0,centralizada,j6021_1.sm,2,0.01,0.6,False,True,0.6666666666666666,0
grade,desligado,1.0,centralizada,j6032_1.sm,0,0.01,0.6,False,True,0.65,0
grade,desligado,1.0,centralizada,j6032_1.sm,1,0.01,0.6,False,True,0.6666666666666666,0
grade,desligado,1.0,centralizada,j6043_1.sm,0,0.01,0.6,False,True,0.5,0
grade,desligado,1.0,centralizada,j6043_1.sm,1,0.01,0.6,False,True,0.5666666666666667,0
grade,desligado,1.4,centralizada,j6010_1.sm,0,0.01,0.6,False,True,0.5166666666666667,0
grade,desligado,1.4,centralizada,j6010_1.sm,1,0.01,0.6,False,True,0.4166666666666667,0
grade,desligado,1.4,centralizada,j6010_1.sm,2,0.01,0.6,False,True,0.6,0
grade,desligado,1.4,centralizada,j6010_1.sm,3,0.01,0.6,False,True,0.5666666666666667,0
grade,desligado,1.4,centralizada,j6021_1.sm,0,0.01,0.6,False,True,0.5,0
grade,desligado,1.4,centralizada,j6021_1.sm,1,0.01,0.6,False,True,0.5333333333333333,0
grade,desligado,1.4,centralizada,j6021_1.sm,2,0.01,0.6,False,True,0.4666666666666667,0
grade,desligado,1.4,centralizada,j6032_1.sm,0,0.01,0.6,False,True,0.45,0
grade,desligado,1.4,centralizada,j6032_1.sm,1,0.01,0.6,False,True,0.5333333333333333,0
grade,desligado,1.4,centralizada,j6043_1.sm,0,0.01,0.6,False,True,0.4666666666666667,0
grade,desligado,1.4,centralizada,j6043_1.sm,1,0.01,0.6,False,True,0.4833333333333333,0
