mapa,cenario,metrica,N_pares,antes,depois
curto,centralizada,atraso_relativo,16,3.0090263756150817,2.863149045532273
curto,adaptativa,atraso_relativo,16,1.9582766392216686,1.7931786498606561
curto,centralizada,taxa_omissao,16,0.26875000000000004,0.15416666666666667
curto,adaptativa,taxa_omissao,16,0.06145833333333334,0.021875
curto,centralizada,divida_latente_sobre_plano,16,0.09128964386347413,0.07175726585377293
curto,adaptativa,divida_latente_sobre_plano,16,0.023304825633525157,0.01018396861534295
curto,centralizada,taxa_falha_efetiva,16,0.30729166666666663,0.17916666666666667
curto,adaptativa,taxa_falha_efetiva,16,0.259375,0.08958333333333333
curto,centralizada,fracao_porta1,16,0.5385416666666667,0.5385416666666667
curto,adaptativa,fracao_porta1,16,0.4302083333333333,0.34687500000000004
curto,centralizada,retrabalho_sobre_esforco_total,16,0.1908140677734686,0.12948797410871982
curto,adaptativa,retrabalho_sobre_esforco_total,16,0.14799177891965898,0.0699622417845752
historica,centralizada,atraso_relativo,16,3.0090263756150817,3.0090263756150817
historica,adaptativa,atraso_relativo,16,1.9582766392216686,1.9582766392216686
historica,centralizada,taxa_omissao,16,0.26875000000000004,0.26875000000000004
historica,adaptativa,taxa_omissao,16,0.06145833333333334,0.06145833333333334
historica,centralizada,divida_latente_sobre_plano,16,0.09128964386347413,0.09128964386347413
historica,adaptativa,divida_latente_sobre_plano,16,0.023304825633525157,0.023304825633525157
historica,centralizada,taxa_falha_efetiva,16,0.30729166666666663,0.30729166666666663
historica,adaptativa,taxa_falha_efetiva,16,0.259375,0.259375
historica,centralizada,fracao_porta1,16,0.5385416666666667,0.5385416666666667
historica,adaptativa,fracao_porta1,16,0.4302083333333333,0.4302083333333333
historica,centralizada,retrabalho_sobre_esforco_total,16,0.1908140677734686,0.1908140677734686
historica,adaptativa,retrabalho_sobre_esforco_total,16,0.14799177891965898,0.14799177891965898
longo,centralizada,atraso_relativo,16,3.0090263756150817,2.8944599617116107
longo,adaptativa,atraso_relativo,16,1.9582766392216686,1.8178506372673657
longo,centralizada,taxa_omissao,16,0.26875000000000004,0.16562500000000002
longo,adaptativa,taxa_omissao,16,0.06145833333333334,0.03333333333333334
longo,centralizada,divida_latente_sobre_plano,16,0.09128964386347413,0.07495451803288578
longo,adaptativa,divida_latente_sobre_plano,16,0.023304825633525157,0.015273123664292895
longo,centralizada,taxa_falha_efetiva,16,0.30729166666666663,0.20104166666666667
longo,adaptativa,taxa_falha_efetiva,16,0.259375,0.10833333333333334
longo,centralizada,fracao_porta1,16,0.5385416666666667,0.5385416666666667
longo,adaptativa,fracao_porta1,16,0.4302083333333333,0.3489583333333333
longo,centralizada,retrabalho_sobre_esforco_total,16,0.1908140677734686,0.1426756217603185
longo,adaptativa,retrabalho_sobre_esforco_total,16,0.14799177891965898,0.08013950177853688
