mapa,arquivo,semente,cenario,concluiu,violacoes,atraso_relativo,fracao_porta1,TW,TL,TU,TR,taxa_omissao,divida_latente_sobre_plano,taxa_falha_efetiva,retrabalho_sobre_esforco_total
historica,j6010_1.sm,0,centralizada,True,0,2.411764705882353,0.5166666666666667,535.0,0.0,121.0,69.8894835451404,0.23333333333333334,0.08894242034778303,0.26666666666666666,0.17788585969395274
historica,j6010_1.sm,0,adaptativa,True,0,1.4352941176470588,0.4666666666666667,382.0,80.0,32.0,37.04251869831918,0.06666666666666667,0.02358931983237935,0.16666666666666666,0.10288373393298371
historica,j6010_1.sm,1,centralizada,True,0,3.0352941176470587,0.5,518.0,0.0,65.0,73.56675043879109,0.23333333333333334,0.080676008929519,0.2833333333333333,0.18550912389248805
historica,j6010_1.sm,1,adaptativa,True,0,1.4470588235294117,0.26666666666666666,359.0,93.0,39.0,32.92848936002933,0.016666666666666666,0.019164346803984114,0.16666666666666666,0.09251434022389103
historica,j6010_1.sm,2,centralizada,True,0,2.376470588235294,0.55,525.0,0.0,98.0,85.0062091711865,0.31666666666666665,0.12674635278409738,0.36666666666666664,0.2083453811741394
historica,j6010_1.sm,2,adaptativa,True,0,1.611764705882353,0.6,420.0,57.0,52.0,64.09790123313071,0.08333333333333333,0.012451647991487227,0.2833333333333333,0.16558576274617307
historica,j6010_1.sm,3,centralizada,True,0,2.611764705882353,0.6666666666666666,526.0,0.0,207.0,74.76847840892171,0.21666666666666667,0.05040944109350287,0.3,0.18796984292972746
historica,j6010_1.sm,3,adaptativa,True,0,1.7529411764705882,0.48333333333333334,406.0,112.0,57.0,54.51975203000572,0.08333333333333333,0.015745913699355723,0.31666666666666665,0.14441562788924597
historica,j6021_1.sm,0,centralizada,True,0,3.5,0.5333333333333333,531.0,0.0,121.0,72.91508796032242,0.2833333333333333,0.07528251860987722,0.3,0.1800750086335814
historica,j6021_1.sm,0,adaptativa,True,0,2.973684210526316,0.4666666666666667,417.0,73.0,21.0,79.90484904866048,0.1,0.05893108541779092,0.2833333333333333,0.19398860982872504
historica,j6021_1.sm,1,centralizada,True,0,4.092105263157895,0.5666666666666667,540.0,0.0,86.0,75.55507246772123,0.2833333333333333,0.10180891915996569,0.3,0.18538616636578673
historica,j6021_1.sm,1,adaptativa,True,0,2.8947368421052633,0.43333333333333335,402.0,63.0,27.0,85.1059307580569,0.05,0.03521602156517454,0.3,0.20403912886921466
historica,j6021_1.sm,2,centralizada,True,0,3.4210526315789473,0.5166666666666667,525.0,0.0,23.0,56.66461519537095,0.2,0.07318080412579829,0.25,0.1457930899289281
historica,j6021_1.sm,2,adaptativa,True,0,2.6052631578947367,0.4166666666666667,406.0,51.0,25.0,64.45882801434658,0.03333333333333333,0.025673916629181368,0.23333333333333334,0.16258643637016962
historica,j6021_1.sm,3,centralizada,True,0,3.8421052631578947,0.5666666666666667,541.0,0.0,82.0,118.83749212091763,0.31666666666666665,0.12867547013828065,0.38333333333333336,0.2635927450528995
historica,j6021_1.sm,3,adaptativa,True,0,2.8157894736842106,0.43333333333333335,434.0,89.0,31.0,41.17820953591587,0.016666666666666666,0.012962556419254487,0.2,0.11034462485664706
historica,j6032_1.sm,0,centralizada,True,0,2.463768115942029,0.65,600.0,0.0,123.0,99.87695663387204,0.31666666666666665,0.11761381668178554,0.36666666666666664,0.22861575809221418
historica,j6032_1.sm,0,adaptativa,True,0,1.9275362318840579,0.4666666666666667,443.0,96.0,57.0,53.18976284929845,0.1,0.0273756073923319,0.25,0.13631767902081462
historica,j6032_1.sm,1,centralizada,True,0,4.884057971014493,0.6166666666666667,585.0,0.0,128.0,94.0257936140988,0.3333333333333333,0.15935100909713734,0.36666666666666664,0.2181442387141242
historica,j6032_1.sm,1,adaptativa,True,0,1.8985507246376812,0.43333333333333335,425.0,90.0,57.0,72.54175110323301,0.06666666666666667,0.010385756676557863,0.3333333333333333,0.17712907391692878
historica,j6032_1.sm,2,centralizada,True,0,3.9565217391304346,0.5333333333333333,560.0,0.0,106.0,87.00716173258073,0.2833333333333333,0.08192236705737872,0.31666666666666665,0.20520210408015638
historica,j6032_1.sm,2,adaptativa,True,0,1.7391304347826086,0.55,459.0,49.0,65.0,61.08897116982239,0.06666666666666667,0.025825384386607312,0.25,0.15345557298486975
historica,j6032_1.sm,3,centralizada,True,0,3.1884057971014492,0.55,557.0,0.0,165.0,77.3133163150021,0.3,0.09124377311585785,0.31666666666666665,0.18660591699693485
historica,j6032_1.sm,3,adaptativa,True,0,1.8695652173913044,0.48333333333333334,460.0,94.0,62.0,41.832369695010556,0.06666666666666667,0.04119843409525285,0.21666666666666667,0.11042448597697407
