mapa,metrica,N_pares,N_instancias,diferenca,ic95_inf,ic95_sup
curto,atraso_relativo,16,4,-1.0699703956716173,-1.8876480421538457,-0.25229274918938893
curto,taxa_omissao,16,4,-0.13229166666666667,-0.1828936818239672,-0.08168965150936612
curto,divida_latente_sobre_plano,16,4,-0.06157329723842997,-0.09906851588981422,-0.024078078587045713
curto,taxa_falha_efetiva,16,4,-0.08958333333333332,-0.14331030142502965,-0.03585636524163699
curto,fracao_porta1,16,4,-0.19166666666666665,-0.2827350099097421,-0.10059832342359123
curto,retrabalho_sobre_esforco_total,16,4,-0.0595257323241446,-0.09142633105849643,-0.02762513358979276
historica,atraso_relativo,16,4,-1.050749736393413,-1.8918157843693875,-0.20968368841743878
historica,taxa_omissao,16,4,-0.20729166666666665,-0.24455217962840803,-0.17003115370492528
historica,divida_latente_sobre_plano,16,4,-0.06798481822994898,-0.08943409122398426,-0.0465355452359137
historica,taxa_falha_efetiva,16,4,-0.04791666666666666,-0.1141070375137983,0.018273704180464978
historica,fracao_porta1,16,4,-0.10833333333333335,-0.11770970568011908,-0.09895696098654762
historica,retrabalho_sobre_esforco_total,16,4,-0.042822288853809655,-0.08304622873616743,-0.0025983489714518845
longo,atraso_relativo,16,4,-1.076609324444245,-1.4517303854425014,-0.7014882634459885
longo,taxa_omissao,16,4,-0.13229166666666667,-0.17705504829575133,-0.087528285037582
longo,divida_latente_sobre_plano,16,4,-0.05968139436859289,-0.09992288349809661,-0.019439905239089166
longo,taxa_falha_efetiva,16,4,-0.09270833333333334,-0.12710611896854207,-0.058310547698124604
longo,fracao_porta1,16,4,-0.18958333333333333,-0.23238042201585163,-0.14678624465081502
longo,retrabalho_sobre_esforco_total,16,4,-0.0625361199817816,-0.10102092559787174,-0.024051314365691467
