F_ancora,nivel,F_base,beta_valida,alpha,beta,motivo
0.05,baixa,0.05,True,0.6939893492051064,13.185797634897018,
0.05,media,0.09675,True,0.6106272417573813,5.700765437905474,
0.05,alta,0.11835000000000001,True,0.5721112733965072,4.2619510282216355,
0.05,muito_alta,0.14925,True,0.517012040880257,2.9470552346993544,
0.1,baixa,0.1,True,0.6048320150364166,5.443488135327749,
0.1,media,0.1935,True,0.4381078001409664,1.8260151980035628,
0.1,alta,0.23670000000000002,True,0.3610758634192183,1.1643819457029543,
0.1,muito_alta,0.2985,True,0.25087739838671796,0.5895828977161898,
0.15,baixa,0.15,True,0.5156746808677266,2.9221565249171175,
0.15,media,0.29025,True,0.2655883585245518,0.6494447457805362,
0.15,alta,0.35505,True,0.1500404534419299,0.272549191514921,
0.15,muito_alta,0.44775,False,,,"Beta CV=1.13: media=0.44775 fora do dominio estrito (0,0.439193640476086); CV nao alterado"
0.2,baixa,0.2,True,0.426517346699037,1.706069386796148,
0.2,media,0.387,True,0.09306891690813694,0.14741924047722982,
0.2,alta,0.47340000000000004,False,,,"Beta CV=1.13: media=0.47340000000000004 fora do dominio estrito (0,0.439193640476086); CV nao alterado"
0.2,muito_alta,0.597,False,,,"Beta CV=1.13: media=0.597 fora do dominio estrito (0,0.439193640476086); CV nao alterado"
0.25,baixa,0.25,True,0.3373600125303471,1.0120800375910413,
0.25,media,0.48375,False,,,"Beta CV=1.13: media=0.48375 fora do dominio estrito (0,0.439193640476086); CV nao alterado"
0.25,alta,0.59175,False,,,"Beta CV=1.13: media=0.59175 fora do dominio estrito (0,0.439193640476086); CV nao alterado"
0.25,muito_alta,0.74625,False,,,"Beta CV=1.13: media=0.74625 fora do dominio estrito (0,0.439193640476086); CV nao alterado"
