base,heterogeneidade,arquivo,semente,cenario,executada,concluiu,estatuto,motivo,violacoes,atraso_relativo,taxa_omissao,divida_latente_sobre_plano,taxa_falha_efetiva,fracao_porta1,TW,TL,TU,TR
historica_0.05,nenhuma,j6010_1.sm,0,centralizada,True,True,COMPLETA,terminal,0,2.3058823529411763,0.16666666666666666,0.06400897562049916,0.23333333333333334,0.43333333333333335,521.0,0.0,137.0,60.850397508717755
historica_0.05,nenhuma,j6010_1.sm,0,adaptativa,True,True,COMPLETA,terminal,0,1.576470588235294,0.08333333333333333,0.023371847129168195,0.2,0.43333333333333335,392.0,71.0,29.0,48.14978568846493
historica_0.05,nenhuma,j6010_1.sm,1,centralizada,True,True,COMPLETA,terminal,0,2.5294117647058822,0.2,0.1015994240156363,0.26666666666666666,0.45,506.0,0.0,69.0,63.630180837808275
historica_0.05,nenhuma,j6010_1.sm,1,adaptativa,True,True,COMPLETA,terminal,0,1.3647058823529412,0.03333333333333333,0.015479876160990712,0.11666666666666667,0.23333333333333334,352.0,88.0,39.0,23.5
historica_0.05,nenhuma,j6010_1.sm,2,centralizada,True,True,COMPLETA,terminal,0,1.9411764705882353,0.18333333333333332,0.09832207887524806,0.23333333333333334,0.65,537.0,0.0,95.0,65.11849413052151
historica_0.05,nenhuma,j6010_1.sm,2,adaptativa,True,True,COMPLETA,terminal,0,1.6,0.05,0.018984215573713076,0.23333333333333334,0.5333333333333333,418.0,63.0,35.0,45.6613043560278
historica_0.05,nenhuma,j6010_1.sm,3,centralizada,True,True,COMPLETA,terminal,0,2.0588235294117645,0.21666666666666667,0.08577925046927512,0.2833333333333333,0.6166666666666667,527.0,0.0,171.0,70.09940085034378
historica_0.05,nenhuma,j6010_1.sm,3,adaptativa,True,True,COMPLETA,terminal,0,1.4588235294117646,0.03333333333333333,0.01408036733278559,0.13333333333333333,0.3,379.0,103.0,49.0,27.72638289152852
historica_0.05,nenhuma,j6021_1.sm,0,centralizada,True,True,COMPLETA,terminal,0,3.539473684210526,0.2,0.07299609598708036,0.26666666666666666,0.5166666666666667,532.0,0.0,132.0,86.77521761488994
historica_0.05,nenhuma,j6021_1.sm,0,adaptativa,True,True,COMPLETA,terminal,0,2.9473684210526314,0.06666666666666667,0.007530120481927711,0.2,0.45,409.0,74.0,25.0,46.201010635311725
historica_0.05,nenhuma,j6021_1.sm,1,centralizada,True,True,COMPLETA,terminal,0,3.3552631578947367,0.2,0.05074836235701228,0.21666666666666667,0.5333333333333333,541.0,0.0,49.0,67.81612587609482
historica_0.05,nenhuma,j6021_1.sm,1,adaptativa,True,True,COMPLETA,terminal,0,2.6710526315789473,0.05,0.027292322506232706,0.18333333333333332,0.35,393.0,66.0,18.0,41.847115928056226
historica_0.05,nenhuma,j6021_1.sm,2,centralizada,True,True,COMPLETA,terminal,0,4.894736842105263,0.23333333333333334,0.07603786180760158,0.26666666666666666,0.5166666666666667,528.0,0.0,26.0,75.42973120755146
historica_0.05,nenhuma,j6021_1.sm,2,adaptativa,True,True,COMPLETA,terminal,0,2.4078947368421053,0.05,0.03521602156517454,0.18333333333333332,0.4166666666666667,405.0,50.0,22.0,60.82186598743248
historica_0.05,nenhuma,j6021_1.sm,3,centralizada,True,True,COMPLETA,terminal,0,3.4078947368421053,0.25,0.07170599876526479,0.25,0.65,542.0,0.0,72.0,70.56575695715135
historica_0.05,nenhuma,j6021_1.sm,3,adaptativa,True,True,COMPLETA,terminal,0,2.8157894736842106,0.05,0.01372699357640296,0.16666666666666666,0.48333333333333334,449.0,61.0,17.0,47.20913855366325
historica_0.05,nenhuma,j6032_1.sm,0,centralizada,True,True,COMPLETA,terminal,0,2.5652173913043477,0.25,0.1247679136118483,0.2833333333333333,0.6333333333333333,601.0,0.0,126.0,71.25827368974696
historica_0.05,nenhuma,j6032_1.sm,0,adaptativa,True,True,COMPLETA,terminal,0,1.855072463768116,0.1,0.03835734925293946,0.23333333333333334,0.36666666666666664,441.0,86.0,38.0,52.093024986608754
historica_0.05,nenhuma,j6032_1.sm,1,centralizada,True,True,COMPLETA,terminal,0,2.9130434782608696,0.23333333333333334,0.09930370456813223,0.26666666666666666,0.5666666666666667,574.0,0.0,154.0,64.61643025149574
historica_0.05,nenhuma,j6032_1.sm,1,adaptativa,True,True,COMPLETA,terminal,0,1.8115942028985508,0.05,0.008250856514794817,0.21666666666666667,0.31666666666666665,434.0,87.0,60.0,49.734101046641904
historica_0.05,nenhuma,j6032_1.sm,2,centralizada,True,True,COMPLETA,terminal,0,3.289855072463768,0.26666666666666666,0.08457603211568485,0.2833333333333333,0.6166666666666667,571.0,0.0,136.0,57.33977793723948
historica_0.05,nenhuma,j6032_1.sm,2,adaptativa,True,True,COMPLETA,terminal,0,1.8405797101449275,0.06666666666666667,0.04316777533854225,0.21666666666666667,0.5,450.0,53.0,76.0,63.312914255785195
historica_0.05,nenhuma,j6032_1.sm,3,centralizada,True,True,COMPLETA,terminal,0,3.0869565217391304,0.2833333333333333,0.11586167829153168,0.3333333333333333,0.6333333333333333,574.0,0.0,176.0,95.92479069477938
historica_0.05,nenhuma,j6032_1.sm,3,adaptativa,True,True,COMPLETA,terminal,0,2.0144927536231885,0.016666666666666666,0.005934718100890208,0.15,0.4166666666666667,450.0,131.0,67.0,32.36678548808135
historica_0.05,nenhuma,j6043_1.sm,0,centralizada,True,True,COMPLETA,terminal,0,2.1018518518518516,0.08333333333333333,0.04913685413387005,0.1,0.4666666666666667,479.0,0.0,237.0,33.244731728380636
historica_0.05,nenhuma,j6043_1.sm,0,adaptativa,True,True,COMPLETA,terminal,0,1.4722222222222223,0.016666666666666666,0.011976047904191617,0.15,0.3,360.0,214.0,66.0,33.42205487483696
historica_0.05,nenhuma,j6043_1.sm,1,centralizada,True,True,COMPLETA,terminal,0,2.2777777777777777,0.15,0.09579861656541036,0.18333333333333332,0.4666666666666667,507.0,0.0,181.0,53.436740501322326
historica_0.05,nenhuma,j6043_1.sm,1,adaptativa,True,True,COMPLETA,terminal,0,1.3425925925925926,0.016666666666666666,0.005988023952095809,0.13333333333333333,0.35,354.0,171.0,53.0,24.51030755484504
historica_0.05,nenhuma,j6043_1.sm,2,centralizada,True,True,COMPLETA,terminal,0,2.509259259259259,0.23333333333333334,0.08979785473031261,0.25,0.5,525.0,0.0,92.0,58.625320928385946
historica_0.05,nenhuma,j6043_1.sm,2,adaptativa,True,True,COMPLETA,terminal,0,1.2777777777777777,0.05,0.016467065868263474,0.15,0.3,385.0,85.0,37.0,26.80196259602286
historica_0.05,nenhuma,j6043_1.sm,3,centralizada,True,True,COMPLETA,terminal,0,1.7962962962962963,0.1,0.040149602695508095,0.11666666666666667,0.43333333333333335,497.0,0.0,233.0,35.282400709699886
historica_0.05,nenhuma,j6043_1.sm,3,adaptativa,True,True,COMPLETA,terminal,0,1.5185185185185186,0.03333333333333333,0.0074850299401197605,0.18333333333333332,0.31666666666666665,368.0,204.0,72.0,41.48057483646058
historica_0.05,beta_cv113,j6010_1.sm,0,centralizada,True,True,COMPLETA,terminal,0,2.5764705882352943,0.13333333333333333,0.06498504967775132,0.18333333333333332,0.5,524.0,0.0,123.0,53.85725436096517
historica_0.05,beta_cv113,j6010_1.sm,0,adaptativa,True,True,COMPLETA,terminal,0,1.588235294117647,0.0,0.0,0.08333333333333333,0.35,373.0,120.0,42.0,22.737580788233345
historica_0.05,beta_cv113,j6010_1.sm,1,centralizada,True,True,COMPLETA,terminal,0,4.270588235294118,0.18333333333333332,0.07052428970456341,0.23333333333333334,0.4166666666666667,476.0,0.0,100.0,42.70036941180057
historica_0.05,beta_cv113,j6010_1.sm,1,adaptativa,True,True,COMPLETA,terminal,0,1.4470588235294117,0.016666666666666666,0.019168536869709325,0.13333333333333333,0.23333333333333334,398.0,56.0,29.0,28.6200832048655
historica_0.05,beta_cv113,j6010_1.sm,2,centralizada,True,True,COMPLETA,terminal,0,3.611764705882353,0.23333333333333334,0.12295006530115693,0.26666666666666666,0.6833333333333333,540.0,0.0,90.0,81.80451376975807
historica_0.05,beta_cv113,j6010_1.sm,2,adaptativa,True,True,COMPLETA,terminal,0,1.4,0.016666666666666666,0.02616630492274403,0.11666666666666667,0.45,380.0,87.0,47.0,29.89433612876906
historica_0.05,beta_cv113,j6010_1.sm,3,centralizada,True,True,COMPLETA,terminal,0,2.847058823529412,0.21666666666666667,0.06585003343998039,0.2833333333333333,0.6666666666666666,526.0,0.0,175.0,52.78364171022744
historica_0.05,beta_cv113,j6010_1.sm,3,adaptativa,True,True,COMPLETA,terminal,0,1.611764705882353,0.0,0.0,0.06666666666666667,0.3333333333333333,401.0,100.0,43.0,12.573192817456901
historica_0.05,beta_cv113,j6021_1.sm,0,centralizada,True,True,COMPLETA,terminal,0,3.6315789473684212,0.25,0.09102965927127037,0.3,0.5833333333333334,528.0,0.0,116.0,93.5348143302617
historica_0.05,beta_cv113,j6021_1.sm,0,adaptativa,True,True,COMPLETA,terminal,0,2.8947368421052633,0.06666666666666667,0.028074943998331856,0.3,0.5333333333333333,403.0,82.0,24.0,66.69665620697579
historica_0.05,beta_cv113,j6021_1.sm,1,centralizada,True,True,COMPLETA,terminal,0,3.8026315789473686,0.21666666666666667,0.05310851599084157,0.23333333333333334,0.5833333333333334,507.0,0.0,65.0,61.467423717179436
historica_0.05,beta_cv113,j6021_1.sm,1,adaptativa,True,True,COMPLETA,terminal,0,2.486842105263158,0.06666666666666667,0.03521602156517454,0.2,0.48333333333333334,397.0,38.0,18.0,69.59193491816468
historica_0.05,beta_cv113,j6021_1.sm,2,centralizada,True,True,COMPLETA,terminal,0,2.8947368421052633,0.15,0.062079653690391354,0.16666666666666666,0.4166666666666667,549.0,0.0,35.0,47.00610996454709
historica_0.05,beta_cv113,j6021_1.sm,2,adaptativa,True,True,COMPLETA,terminal,0,2.460526315789474,0.03333333333333333,0.015383686987955572,0.2,0.4,405.0,50.0,21.0,54.2818338764867
historica_0.05,beta_cv113,j6021_1.sm,3,centralizada,True,True,COMPLETA,terminal,0,3.3684210526315788,0.26666666666666666,0.0853329307665112,0.26666666666666666,0.6166666666666667,561.0,0.0,71.0,79.1324221042229
historica_0.05,beta_cv113,j6021_1.sm,3,adaptativa,True,True,COMPLETA,terminal,0,2.539473684210526,0.03333333333333333,0.016845328052898425,0.11666666666666667,0.4666666666666667,433.0,54.0,25.0,34.68904563379797
historica_0.05,beta_cv113,j6032_1.sm,0,centralizada,True,True,COMPLETA,terminal,0,2.869565217391304,0.3,0.14594156192016106,0.3,0.6166666666666667,600.0,0.0,125.0,82.4170156541032
historica_0.05,beta_cv113,j6032_1.sm,0,adaptativa,True,True,COMPLETA,terminal,0,1.710144927536232,0.06666666666666667,0.022255032632899942,0.15,0.4166666666666667,434.0,84.0,41.0,31.44410421676374
historica_0.05,beta_cv113,j6032_1.sm,1,centralizada,True,True,COMPLETA,terminal,0,3.463768115942029,0.2833333333333333,0.13914589194670846,0.36666666666666664,0.5166666666666667,565.0,0.0,114.0,95.80556438227416
historica_0.05,beta_cv113,j6032_1.sm,1,adaptativa,True,True,COMPLETA,terminal,0,1.6521739130434783,0.016666666666666666,0.008902077151335312,0.11666666666666667,0.3,406.0,91.0,47.0,29.932797483303325
historica_0.05,beta_cv113,j6032_1.sm,2,centralizada,True,True,COMPLETA,terminal,0,3.608695652173913,0.21666666666666667,0.1140313027195471,0.23333333333333334,0.5,591.0,0.0,35.0,63.411159779902746
historica_0.05,beta_cv113,j6032_1.sm,2,adaptativa,True,True,COMPLETA,terminal,0,1.8115942028985508,0.06666666666666667,0.04316777533854225,0.18333333333333332,0.5,453.0,53.0,76.0,54.31995675146287
historica_0.05,beta_cv113,j6032_1.sm,3,centralizada,True,True,COMPLETA,terminal,0,3.0434782608695654,0.25,0.10515276332004302,0.26666666666666666,0.55,565.0,0.0,165.0,76.48761906649047
historica_0.05,beta_cv113,j6032_1.sm,3,adaptativa,True,True,COMPLETA,terminal,0,1.8840579710144927,0.06666666666666667,0.014318927337929587,0.11666666666666667,0.45,436.0,119.0,59.0,19.195103754446357
historica_0.05,beta_cv113,j6043_1.sm,0,centralizada,True,True,COMPLETA,terminal,0,1.8888888888888888,0.15,0.06360528333251836,0.2,0.45,506.0,0.0,163.0,63.63870239410013
historica_0.05,beta_cv113,j6043_1.sm,0,adaptativa,True,True,COMPLETA,terminal,0,1.5462962962962963,0.05,0.024039747650138037,0.1,0.43333333333333335,370.0,191.0,54.0,26.464133711694956
