base,heterogeneidade,metrica,estatuto,N_pares,media,ic95_inf,ic95_sup,N_instancias
curto,beta_cv113,atraso_relativo,COMPLETO,16,-0.8407723205605659,-1.4095606865369668,-0.27198395458416524,4
curto,beta_cv113,taxa_omissao,COMPLETO,16,-0.11979166666666666,-0.1448197319833701,-0.09476360134996321,4
curto,beta_cv113,divida_latente_sobre_plano,COMPLETO,16,-0.052740102230661196,-0.07044488816554492,-0.03503531629577747,4
curto,beta_cv113,taxa_falha_efetiva,COMPLETO,16,-0.09479166666666666,-0.13396912306888914,-0.05561421026444417,4
curto,beta_cv113,fracao_porta1,COMPLETO,16,-0.16666666666666669,-0.2638075736011347,-0.06952575973219863,4
curto,nenhuma,atraso_relativo,COMPLETO,16,-1.0699703956716173,-1.8876480421538457,-0.25229274918938893,4
curto,nenhuma,taxa_omissao,COMPLETO,16,-0.13229166666666667,-0.1828936818239672,-0.08168965150936612,4
curto,nenhuma,divida_latente_sobre_plano,COMPLETO,16,-0.06157329723842997,-0.09906851588981422,-0.024078078587045713,4
curto,nenhuma,taxa_falha_efetiva,COMPLETO,16,-0.08958333333333332,-0.14331030142502965,-0.03585636524163699,4
curto,nenhuma,fracao_porta1,COMPLETO,16,-0.19166666666666665,-0.2827350099097421,-0.10059832342359123,4
historica_0.05,beta_cv113,atraso_relativo,COMPLETO,16,-1.2593935864455115,-2.0078969488207488,-0.5108902240702741,4
historica_0.05,beta_cv113,taxa_omissao,COMPLETO,16,-0.17395833333333333,-0.22368405685339993,-0.12423260981326673,4
historica_0.05,beta_cv113,divida_latente_sobre_plano,COMPLETO,16,-0.06992774356859564,-0.10844754881094217,-0.03140793832624912,4
historica_0.05,beta_cv113,taxa_falha_efetiva,COMPLETO,16,-0.09999999999999998,-0.18712125041546435,-0.012878749584535595,4
historica_0.05,beta_cv113,fracao_porta1,COMPLETO,16,-0.14479166666666668,-0.2410803608528381,-0.04850297248049526,4
historica_0.05,nenhuma,atraso_relativo,COMPLETO,16,-0.912372792684325,-1.2338969986874389,-0.5908485866812112,4
historica_0.05,nenhuma,taxa_omissao,COMPLETO,16,-0.15520833333333334,-0.21435508664596864,-0.09606158002069803,4
historica_0.05,nenhuma,divida_latente_sobre_plano,COMPLETO,16,-0.06420510458823019,-0.08825421021726318,-0.04015599895919719,4
historica_0.05,nenhuma,taxa_falha_efetiva,COMPLETO,16,-0.06145833333333334,-0.11960570314697991,-0.003310963519686773,4
historica_0.05,nenhuma,fracao_porta1,COMPLETO,16,-0.1635416666666667,-0.21989748665607547,-0.10718584667725792,4
historica_0.1,beta_cv113,atraso_relativo,COMPLETO,16,-1.038215430146124,-1.521528296619249,-0.554902563672999,4
historica_0.1,beta_cv113,taxa_omissao,COMPLETO,16,-0.22708333333333333,-0.2826866180374988,-0.17148004862916788,4
historica_0.1,beta_cv113,divida_latente_sobre_plano,COMPLETO,16,-0.07823973440018778,-0.08512856563233466,-0.0713509031680409,4
historica_0.1,beta_cv113,taxa_falha_efetiva,COMPLETO,16,-0.07291666666666667,-0.1440165302893922,-0.0018168030439411342,4
historica_0.1,beta_cv113,fracao_porta1,COMPLETO,16,-0.159375,-0.26523184915280895,-0.05351815084719104,4
historica_0.1,nenhuma,atraso_relativo,COMPLETO,16,-1.050749736393413,-1.8918157843693875,-0.20968368841743878,4
historica_0.1,nenhuma,taxa_omissao,COMPLETO,16,-0.20729166666666665,-0.24455217962840803,-0.17003115370492528,4
historica_0.1,nenhuma,divida_latente_sobre_plano,COMPLETO,16,-0.06798481822994898,-0.08943409122398426,-0.0465355452359137,4
historica_0.1,nenhuma,taxa_falha_efetiva,COMPLETO,16,-0.04791666666666666,-0.1141070375137983,0.018273704180464978,4
historica_0.1,nenhuma,fracao_porta1,COMPLETO,16,-0.10833333333333335,-0.11770970568011908,-0.09895696098654762,4
historica_0.15,beta_cv113,atraso_relativo,REJEITADA_DOMINIO,0,,,,0
historica_0.15,beta_cv113,taxa_omissao,REJEITADA_DOMINIO,0,,,,0
historica_0.15,beta_cv113,divida_latente_sobre_plano,REJEITADA_DOMINIO,0,,,,0
historica_0.15,beta_cv113,taxa_falha_efetiva,REJEITADA_DOMINIO,0,,,,0
historica_0.15,beta_cv113,fracao_porta1,REJEITADA_DOMINIO,0,,,,0
historica_0.15,nenhuma,atraso_relativo,COMPLETO,16,-1.0054479317788645,-1.5508346482805218,-0.46006121527720734,4
historica_0.15,nenhuma,taxa_omissao,COMPLETO,16,-0.246875,-0.32921908989409593,-0.1645309101059041,4
historica_0.15,nenhuma,divida_latente_sobre_plano,COMPLETO,16,-0.07554375867458246,-0.12019788900263004,-0.03088962834653488,4
historica_0.15,nenhuma,taxa_falha_efetiva,COMPLETO,16,-0.012499999999999994,-0.13023478318714732,0.10523478318714732,4
historica_0.15,nenhuma,fracao_porta1,COMPLETO,16,-0.1375,-0.2996326344610637,0.024632634461063646,4
historica_0.2,beta_cv113,atraso_relativo,REJEITADA_DOMINIO,0,,,,0
historica_0.2,beta_cv113,taxa_omissao,REJEITADA_DOMINIO,0,,,,0
historica_0.2,beta_cv113,divida_latente_sobre_plano,REJEITADA_DOMINIO,0,,,,0
historica_0.2,beta_cv113,taxa_falha_efetiva,REJEITADA_DOMINIO,0,,,,0
historica_0.2,beta_cv113,fracao_porta1,REJEITADA_DOMINIO,0,,,,0
