base,heterogeneidade,cenario,N,executadas,completas
curto,beta_cv113,adaptativa,16,16,16
curto,beta_cv113,centralizada,16,16,16
curto,nenhuma,adaptativa,16,16,16
curto,nenhuma,centralizada,16,16,16
historica_0.05,beta_cv113,adaptativa,16,16,16
historica_0.05,beta_cv113,centralizada,16,16,16
historica_0.05,nenhuma,adaptativa,16,16,16
historica_0.05,nenhuma,centralizada,16,16,16
historica_0.1,beta_cv113,adaptativa,16,16,16
historica_0.1,beta_cv113,centralizada,16,16,16
historica_0.1,nenhuma,adaptativa,16,16,16
historica_0.1,nenhuma,centralizada,16,16,16
historica_0.15,beta_cv113,adaptativa,16,0,0
historica_0.15,beta_cv113,centralizada,16,0,0
historica_0.15,nenhuma,adaptativa,16,16,16
historica_0.15,nenhuma,centralizada,16,16,16
historica_0.2,beta_cv113,adaptativa,16,0,0
historica_0.2,beta_cv113,centralizada,16,0,0
historica_0.2,nenhuma,adaptativa,16,16,16
historica_0.2,nenhuma,centralizada,16,16,16
historica_0.25,beta_cv113,adaptativa,16,0,0
historica_0.25,beta_cv113,centralizada,16,0,0
historica_0.25,nenhuma,adaptativa,16,16,16
historica_0.25,nenhuma,centralizada,16,16,16
longo,beta_cv113,adaptativa,16,16,16
longo,beta_cv113,centralizada,16,16,16
longo,nenhuma,adaptativa,16,16,16
longo,nenhuma,centralizada,16,16,16
