base,metrica,residuo_maximo,N
historica_0.1,atraso_relativo,0.0,32
historica_0.1,taxa_omissao,0.0,32
historica_0.1,divida_latente_sobre_plano,0.0,32
historica_0.1,taxa_falha_efetiva,0.0,32
historica_0.1,fracao_porta1,0.0,32
historica_0.1,TW,0.0,32
historica_0.1,TL,0.0,32
historica_0.1,TU,0.0,32
historica_0.1,TR,0.0,32
curto,atraso_relativo,0.0,32
curto,taxa_omissao,0.0,32
curto,divida_latente_sobre_plano,0.0,32
curto,taxa_falha_efetiva,0.0,32
curto,fracao_porta1,0.0,32
curto,TW,0.0,32
curto,TL,0.0,32
curto,TU,0.0,32
curto,TR,0.0,32
longo,atraso_relativo,0.0,32
longo,taxa_omissao,0.0,32
longo,divida_latente_sobre_plano,0.0,32
longo,taxa_falha_efetiva,0.0,32
longo,fracao_porta1,0.0,32
longo,TW,0.0,32
longo,TL,0.0,32
longo,TU,0.0,32
longo,TR,0.0,32
