base,nivel,mu,admissivel,alpha,beta,motivo
historica_0.05,baixa,0.05,True,0.6939893492051064,13.185797634897018,
historica_0.05,media,0.09675,True,0.6106272417573813,5.700765437905474,
historica_0.05,alta,0.11835000000000001,True,0.5721112733965072,4.2619510282216355,
historica_0.05,muito alta,0.14925,True,0.517012040880257,2.9470552346993544,
historica_0.1,baixa,0.1,True,0.6048320150364166,5.443488135327749,
historica_0.1,media,0.1935,True,0.4381078001409664,1.8260151980035628,
historica_0.1,alta,0.23670000000000002,True,0.3610758634192183,1.1643819457029543,
historica_0.1,muito alta,0.2985,True,0.25087739838671796,0.5895828977161898,
historica_0.15,baixa,0.15,True,0.5156746808677266,2.9221565249171175,
historica_0.15,media,0.29025,True,0.2655883585245518,0.6494447457805362,
historica_0.15,alta,0.35505,True,0.1500404534419299,0.272549191514921,
historica_0.15,muito alta,0.44775,False,,,"Beta CV=1.13: media=0.44775 fora de (0,0.439193640476086); CV nao alterado"
historica_0.2,baixa,0.2,True,0.426517346699037,1.706069386796148,
historica_0.2,media,0.387,True,0.09306891690813694,0.14741924047722982,
historica_0.2,alta,0.47340000000000004,False,,,"Beta CV=1.13: media=0.47340000000000004 fora de (0,0.439193640476086); CV nao alterado"
historica_0.2,muito alta,0.597,False,,,"Beta CV=1.13: media=0.597 fora de (0,0.439193640476086); CV nao alterado"
historica_0.25,baixa,0.25,True,0.3373600125303471,1.0120800375910413,
historica_0.25,media,0.48375,False,,,"Beta CV=1.13: media=0.48375 fora de (0,0.439193640476086); CV nao alterado"
historica_0.25,alta,0.59175,False,,,"Beta CV=1.13: media=0.59175 fora de (0,0.439193640476086); CV nao alterado"
historica_0.25,muito alta,0.74625,False,,,"Beta CV=1.13: media=0.74625 fora de (0,0.439193640476086); CV nao alterado"
curto,baixa,0.0128,True,0.7603224058266115,58.639865549377404,
curto,media,0.0256,True,0.737498128279427,28.07102250763569,
curto,alta,0.038400000000000004,True,0.7146738507322423,17.896624345419898,
curto,muito alta,0.0512,True,0.6918495731850577,12.8208374030856,
longo,baixa,0.0128,True,0.7603224058266115,58.639865549377404,
longo,media,0.0256,True,0.737498128279427,28.07102250763569,
longo,alta,0.0512,True,0.6918495731850577,12.8208374030856,
longo,muito alta,0.1024,True,0.6005524629963193,5.26421768345211,
