base,cenario,metrica,estatuto,N_pares,antes,depois,media,ic95_inf,ic95_sup,N_instancias
curto,adaptativa,atraso_relativo,COMPLETO,16,1.7931786498606561,1.7910505875373286,-0.0021280623233275037,-0.12706893300842806,0.12281280836177305,4.0
curto,adaptativa,taxa_omissao,COMPLETO,16,0.021875,0.029166666666666667,0.007291666666666667,-0.00637662735889967,0.020959960692233003,4.0
curto,adaptativa,divida_latente_sobre_plano,COMPLETO,16,0.01018396861534295,0.016225122075623318,0.006041153460280368,0.0015842237139750007,0.010498083206585736,4.0
curto,adaptativa,taxa_falha_efetiva,COMPLETO,16,0.08958333333333333,0.08229166666666668,-0.0072916666666666685,-0.04865234614511796,0.03406901281178462,4.0
curto,adaptativa,fracao_porta1,COMPLETO,16,0.34687500000000004,0.36354166666666665,0.01666666666666667,0.00042631337134995534,0.032907019961983384,4.0
curto,centralizada,atraso_relativo,COMPLETO,16,2.863149045532273,2.6318229080978948,-0.2313261374343788,-1.216248558166702,0.7535962832979444,4.0
curto,centralizada,taxa_omissao,COMPLETO,16,0.15416666666666667,0.14895833333333333,-0.005208333333333338,-0.05493405685339994,0.04451739018673327,4.0
curto,centralizada,divida_latente_sobre_plano,COMPLETO,16,0.07175726585377293,0.06896522430628452,-0.0027920415474884017,-0.030423951768838393,0.024839868673861593,4.0
curto,centralizada,taxa_falha_efetiva,COMPLETO,16,0.17916666666666667,0.17708333333333331,-0.002083333333333333,-0.05358229912843101,0.04941563246176434,4.0
curto,centralizada,fracao_porta1,COMPLETO,16,0.5385416666666667,0.5302083333333333,-0.008333333333333328,-0.03943124230228573,0.02276457563561907,4.0
historica_0.05,adaptativa,atraso_relativo,COMPLETO,16,1.8734347190439866,1.8504361972350598,-0.022998521808926975,-0.20885987277083357,0.16286282915297962,4.0
historica_0.05,adaptativa,taxa_omissao,COMPLETO,16,0.04791666666666668,0.043750000000000004,-0.0041666666666666675,-0.052887726552616816,0.044554393219283485,4.0
historica_0.05,adaptativa,divida_latente_sobre_plano,COMPLETO,16,0.018331789449889557,0.019443891082351145,0.0011121016324615895,-0.010117547155898443,0.012341750420821621,4.0
historica_0.05,adaptativa,taxa_falha_efetiva,COMPLETO,16,0.178125,0.15416666666666667,-0.02395833333333333,-0.1026630986565535,0.05474643198988684,4.0
historica_0.05,adaptativa,fracao_porta1,COMPLETO,16,0.37916666666666665,0.3958333333333333,0.016666666666666673,-0.03985142207203403,0.07318475540536737,4.0
historica_0.05,centralizada,atraso_relativo,COMPLETO,16,2.785807511728312,3.109829783680571,0.3240222719522593,-0.6495395778820605,1.2975841217865791,4.0
historica_0.05,centralizada,taxa_omissao,COMPLETO,16,0.203125,0.21770833333333334,0.014583333333333332,-0.02752343446127374,0.0566901011279404,4.0
