base,nivel,N,mu,media,desvio,CV
curto,alta,24,0.038400000000000004,0.0347605702007329,0.05470706258888749,1.5738252356900069
curto,baixa,24,0.0128,0.011377677176652787,0.019061661988147793,1.6753561990019097
curto,media,24,0.0256,0.01627088971823756,0.016591899998088508,1.0197291165639908
curto,muito alta,24,0.0512,0.05857757401547153,0.07057668814732997,1.204841431785639
historica_0.05,alta,24,0.11835000000000001,0.12204613565469823,0.16436871655523658,1.3467752639074166
historica_0.05,baixa,24,0.05,0.04022636193213306,0.065525613239196,1.6289221816714614
historica_0.05,media,24,0.09675,0.0599431815572036,0.06397328716687657,1.0672320938758824
historica_0.05,muito alta,24,0.14925,0.18750193060066214,0.22122351130045037,1.179846578601944
historica_0.1,alta,24,0.23670000000000002,0.2515584160936334,0.30285277242987274,1.2039063416472893
historica_0.1,baixa,24,0.1,0.06567588891841736,0.0605895202203961,0.9225534852776861
historica_0.1,media,24,0.1935,0.11664662371847834,0.1534695344245161,1.3156791815501518
historica_0.1,muito alta,24,0.2985,0.4399481764774911,0.30323381379664865,0.6892489388739695
longo,alta,24,0.0512,0.04641689411116017,0.07191720445397642,1.5493756277993862
longo,baixa,24,0.0128,0.011377677176652787,0.019061661988147793,1.6753561990019097
longo,media,24,0.0256,0.01627088971823756,0.016591899998088508,1.0197291165639908
longo,muito alta,24,0.1024,0.12280448773824536,0.14419443204462715,1.1741788488379505
