base,semente,agente,nivel,taxa,mu
historica_0.05,0,0,baixa,0.030720593177232112,0.05
historica_0.05,0,0,media,0.0677800333400656,0.09675
historica_0.05,0,0,alta,0.6660231107112761,0.11835000000000001
historica_0.05,0,0,muito alta,0.0019286216446929814,0.14925
historica_0.05,0,1,baixa,0.008325419611479184,0.05
historica_0.05,0,1,media,0.0067935104832313785,0.09675
historica_0.05,0,1,alta,0.03040361301914101,0.11835000000000001
historica_0.05,0,1,muito alta,0.13321860238737826,0.14925
historica_0.05,0,2,baixa,0.06921743316631622,0.05
historica_0.05,0,2,media,0.04474686850615482,0.09675
historica_0.05,0,2,alta,0.03375686569719493,0.11835000000000001
historica_0.05,0,2,muito alta,0.23105184458877662,0.14925
historica_0.05,0,3,baixa,0.011249295228009555,0.05
historica_0.05,0,3,media,0.027325527334920167,0.09675
historica_0.05,0,3,alta,0.1122713812044848,0.11835000000000001
historica_0.05,0,3,muito alta,0.008537217464695209,0.14925
historica_0.05,0,4,baixa,0.03722054612217601,0.05
historica_0.05,0,4,media,0.023954884289045124,0.09675
historica_0.05,0,4,alta,0.09107451442652743,0.11835000000000001
historica_0.05,0,4,muito alta,0.05668215245623645,0.14925
historica_0.05,0,5,baixa,0.012817897334793478,0.05
historica_0.05,0,5,media,0.17561026742411948,0.09675
historica_0.05,0,5,alta,0.08062348491054888,0.11835000000000001
historica_0.05,0,5,muito alta,0.7033293558539164,0.14925
historica_0.05,1,0,baixa,0.019587835630854648,0.05
historica_0.05,1,0,media,0.0003499418928325399,0.09675
historica_0.05,1,0,alta,0.17741653832360083,0.11835000000000001
historica_0.05,1,0,muito alta,0.840851890102166,0.14925
historica_0.05,1,1,baixa,0.017388530455924537,0.05
historica_0.05,1,1,media,0.021553682384295392,0.09675
historica_0.05,1,1,alta,0.001182611147529315,0.11835000000000001
historica_0.05,1,1,muito alta,0.3567230238243541,0.14925
historica_0.05,1,2,baixa,0.05723788496432057,0.05
historica_0.05,1,2,media,0.007284102527018744,0.09675
historica_0.05,1,2,alta,0.05073564409966138,0.11835000000000001
historica_0.05,1,2,muito alta,0.12083851646171351,0.14925
historica_0.05,1,3,baixa,0.04671566630913804,0.05
historica_0.05,1,3,media,0.083489580016232,0.09675
historica_0.05,1,3,alta,0.00569514687890709,0.11835000000000001
historica_0.05,1,3,muito alta,0.258043778202229,0.14925
historica_0.05,1,4,baixa,0.28815299561920255,0.05
historica_0.05,1,4,media,0.031795929406787396,0.09675
historica_0.05,1,4,alta,0.23349023117387915,0.11835000000000001
historica_0.05,1,4,muito alta,0.025553681837769505,0.14925
historica_0.05,1,5,baixa,0.0054790770260174,0.05
historica_0.05,1,5,media,2.852510712993939e-06,0.09675
historica_0.05,1,5,alta,0.4290342273084919,0.11835000000000001
historica_0.05,1,5,muito alta,0.0005767626315334294,0.14925
historica_0.05,2,0,baixa,0.009064268536988732,0.05
historica_0.05,2,0,media,0.0514263583059812,0.09675
historica_0.05,2,0,alta,3.0384241445251564e-05,0.11835000000000001
historica_0.05,2,0,muito alta,0.15088268648459968,0.14925
historica_0.05,2,1,baixa,0.0033331053443211465,0.05
historica_0.05,2,1,media,0.07804505095406548,0.09675
historica_0.05,2,1,alta,0.05719775807915619,0.11835000000000001
historica_0.05,2,1,muito alta,0.05157266312575233,0.14925
historica_0.05,2,2,baixa,0.011120392080548947,0.05
historica_0.05,2,2,media,0.2157477333386669,0.09675
