incremento_base,fator_transferencia,cenario,N,completas,N_req_medio,N_success_medio,TL_medio,dC_por_sucesso,fracao_sucessos_teto
7.5,1.5,adaptativa,192,192,151.72395833333334,108.578125,108.578125,0.08062717807148288,0.0
7.5,1.5,centralizada,192,192,0.0,0.0,0.0,,
7.5,3.0,adaptativa,192,192,151.41145833333334,108.63541666666667,108.63541666666667,0.08610473340601325,0.0
7.5,3.0,centralizada,192,192,0.0,0.0,0.0,,
7.5,6.0,adaptativa,192,192,152.41145833333334,108.83854166666667,108.83854166666667,0.09675238737053857,0.0
7.5,6.0,centralizada,192,192,0.0,0.0,0.0,,
15.0,1.5,adaptativa,192,192,143.53645833333334,103.55208333333333,103.55208333333333,0.15633211476293712,0.0
15.0,1.5,centralizada,192,192,0.0,0.0,0.0,,
15.0,3.0,adaptativa,192,192,141.97395833333334,102.859375,102.859375,0.16262689025964203,0.0
15.0,3.0,centralizada,192,192,0.0,0.0,0.0,,
15.0,6.0,adaptativa,192,192,139.98958333333334,100.72395833333333,100.72395833333333,0.1751652770280811,0.00020683592740058948
15.0,6.0,centralizada,192,192,0.0,0.0,0.0,,
22.5,1.5,adaptativa,192,192,137.16145833333334,98.640625,98.640625,0.23198720812369697,0.0
22.5,1.5,centralizada,192,192,0.0,0.0,0.0,,
22.5,3.0,adaptativa,192,192,136.68229166666666,98.015625,98.015625,0.23906920811259572,0.0006907912216377066
22.5,3.0,centralizada,192,192,0.0,0.0,0.0,,
22.5,6.0,adaptativa,192,192,131.55729166666666,94.078125,94.078125,0.2521044176686167,0.059846094225765374
22.5,6.0,centralizada,192,192,0.0,0.0,0.0,,
