concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,incremento_base,fator_transferencia,arquivo,semente,cenario,violacoes,atraso_relativo,fracao_porta1,dC_soma,dC_N,dC_teto_N
True,205,85,0.7370267955765616,8.881784197001252e-16,28.728401772333918,246.0,535.0,0.0,121.0,69.8894835451404,46,14,2,0,0.23333333333333334,0.26666666666666666,323.0,0.17788585969395274,0.2163761100468743,0.08894242034778303,0.09628116280705729,31,0,0,121,29,121,22,4,99,0.6268507180531939,0.4857196752206667,16,60,0,0,99,0,0.6268507180531939,nenhuma,69.88948354514038,0.0,78,0,terminal,0.25,7.5,1.5,j6010_1.sm,0,centralizada,0,2.411764705882353,0.5166666666666667,0,0,0
True,131,85,0.6405245099811275,0.0,8.0,295.0,384.0,119.0,40.0,56.50867455690985,56,4,11,0,0.06666666666666667,0.25,323.0,0.14889955973440075,0.17494945683253824,0.02476780185758514,0.0942583101048117,26,0,119,40,34,159,15,0,0,0.6268507180531939,0.4857196752206667,16,60,144,25,0,119,0.6268507180531939,nenhuma,56.50867455690985,0.0,63,0,terminal,0.975,7.5,1.5,j6010_1.sm,0,adaptativa,0,1.5411764705882354,0.43333333333333335,9.23721778626542,119,0
True,258,85,0.7889525317171706,8.881784197001252e-16,26.058350884234635,240.0,518.0,0.0,65.0,73.56675043879109,46,14,3,0,0.23333333333333334,0.2833333333333333,323.0,0.18550912389248805,0.22776083727179905,0.080676008929519,0.11204763322179441,30,0,0,65,30,65,7,6,58,0.6586427040007742,0.39362113220747674,14,60,0,0,58,0,0.6586427040007742,nenhuma,73.56675043879109,0.0,81,0,terminal,0.25,7.5,1.5,j6010_1.sm,1,centralizada,0,3.0352941176470587,0.5,0,0,0
True,125,85,0.7018134478122082,0.0,7.990488599761703,308.0,393.0,67.0,33.0,66.97787050834523,58,2,14,0,0.03333333333333333,0.26666666666666666,323.0,0.17174787487566415,0.20736182819921126,0.024738354798023846,0.11960806673939284,16,0,67,33,44,100,10,7,0,0.6586427040007742,0.39362113220747674,14,60,90,23,0,67,0.6586427040007742,nenhuma,66.97787050834523,0.0,68,0,terminal,0.9566666666666667,7.5,1.5,j6010_1.sm,1,adaptativa,0,1.4705882352941178,0.26666666666666666,5.4974077124628,67,0
True,202,85,0.7415189205961639,0.0,40.93907194926345,214.0,525.0,0.0,98.0,85.0062091711865,41,19,3,0,0.31666666666666665,0.36666666666666664,323.0,0.2083453811741394,0.263177118177048,0.12674635278409738,0.12006421422588559,33,0,0,98,27,98,8,17,90,0.7659648859265082,0.2570239140832174,4,60,0,0,90,0,0.7659648859265082,nenhuma,85.0062091711865,0.0,95,0,terminal,0.25,7.5,1.5,j6010_1.sm,2,centralizada,0,2.376470588235294,0.55,0,0,0
True,131,85,0.757767129650071,0.0,7.160018187366291,294.0,419.0,50.0,27.0,56.94032111618491,54,6,9,0,0.1,0.25,323.0,0.14986648679167874,0.17628582388911737,0.022167238970174277,0.10297733578416413,19,0,50,27,41,77,8,11,0,0.7659648859265082,0.2570239140832174,4,60,69,19,0,50,0.7659648859265082,nenhuma,56.94032111618491,0.0,61,0,terminal,0.9349999999999999,7.5,1.5,j6010_1.sm,2,adaptativa,0,1.5411764705882354,0.31666666666666665,4.1454480603225825,50,0
True,222,85,0.6511766849779445,0.0,16.28224947320143,262.0,526.0,0.0,207.0,74.76847840892171,47,13,5,0,0.21666666666666667,0.3,323.0,0.18796984292972746,0.2314813573031632,0.05040944109350287,0.09256176789195182,40,0,0,207,20,207,3,2,204,0.794910294566222,0.24332019624229823,3,60,0,0,204,0,0.794910294566222,nenhuma,74.76847840892171,0.0,81,0,terminal,0.25,7.5,1.5,j6010_1.sm,3,centralizada,0,2.611764705882353,0.6666666666666666,0,0,0
True,154,85,0.5903020465630907,0.0,0.7504866602179336,322.0,392.0,139.0,66.0,67.06681508617058,59,1,15,0,0.016666666666666666,0.26666666666666666,323.0,0.17193673620083444,0.20763719840919684,0.0023234881121298257,0.1009940770454971,28,0,139,66,32,205,3,9,0,0.794910294566222,0.24332019624229823,3,60,202,63,0,139,0.794910294566222,nenhuma,67.06681508617059,0.0,74,0,terminal,0.8616666666666667,7.5,1.5,j6010_1.sm,3,adaptativa,0,1.811764705882353,0.4666666666666667,11.531317277283396,139,0
True,251,85,0.6995082932743885,0.0,30.304565184460557,240.0,525.0,0.0,147.0,78.52719895926086,45,15,4,0,0.25,0.31666666666666665,323.0,0.19557130665817798,0.24311826303176737,0.09382218323362401,0.10462938460878267,36,0,0,147,24,147,9,2,138,0.7496468789669437,0.35303232464984247,6,60,0,0,138,0,0.7496468789669437,nenhuma,78.52719895926086,0.0,85,0,terminal,0.25,7.5,1.5,j6010_1.sm,4,centralizada,0,2.9529411764705884,0.6,0,0,0
True,134,85,0.6514299272794769,0.0,7.0,302.0,405.0,115.0,56.0,45.70923232123261,56,4,8,0,0.06666666666666667,0.2,323.0,0.12397094597677202,0.14151465114932696,0.021671826625386997,0.07352188120252166,24,0,115,56,36,171,9,8,0,0.7496468789669437,0.35303232464984247,6,60,162,47,0,115,0.7496468789669437,nenhuma,45.70923232123262,0.0,50,0,terminal,0.899538824823204,7.5,1.5,j6010_1.sm,4,adaptativa,0,1.576470588235294,0.4,9.370329449454118,115,0
