incremento_base,fator_transferencia,metrica,estimando,pares_previstos,pares_retidos,pares_indefinidos,estatuto,media,ic95_inf,ic95_sup,N_instancias
7.5,1.5,atraso_relativo,observado,192,192,0,COMPLETO,-0.9962986131451681,-1.0814369405481783,-0.911160285742158,16
7.5,1.5,atraso_relativo,pares_completos,192,192,0,COMPLETO,-0.9962986131451681,-1.0814369405481783,-0.911160285742158,16
7.5,1.5,taxa_omissao,observado,192,192,0,COMPLETO,-0.22942708333333334,-0.24229755329590535,-0.21655661337076132,16
7.5,1.5,taxa_omissao,pares_completos,192,192,0,COMPLETO,-0.22942708333333334,-0.24229755329590535,-0.21655661337076132,16
7.5,1.5,divida_latente_sobre_plano,observado,192,192,0,COMPLETO,-0.07665279153687998,-0.08464423078012967,-0.0686613522936303,16
7.5,1.5,divida_latente_sobre_plano,pares_completos,192,192,0,COMPLETO,-0.07665279153687998,-0.08464423078012967,-0.0686613522936303,16
7.5,1.5,taxa_falha_efetiva,observado,192,192,0,COMPLETO,-0.04244791666666667,-0.05491413015968713,-0.029981703173646207,16
7.5,1.5,taxa_falha_efetiva,pares_completos,192,192,0,COMPLETO,-0.04244791666666667,-0.05491413015968713,-0.029981703173646207,16
7.5,1.5,fracao_porta1,observado,192,192,0,COMPLETO,-0.08619791666666668,-0.10684703044561476,-0.0655488028877186,16
7.5,1.5,fracao_porta1,pares_completos,192,192,0,COMPLETO,-0.08619791666666668,-0.10684703044561476,-0.0655488028877186,16
7.5,3.0,atraso_relativo,observado,192,192,0,COMPLETO,-1.0032955278459923,-1.0858509388787831,-0.9207401168132013,16
7.5,3.0,atraso_relativo,pares_completos,192,192,0,COMPLETO,-1.0032955278459923,-1.0858509388787831,-0.9207401168132013,16
7.5,3.0,taxa_omissao,observado,192,192,0,COMPLETO,-0.23003472222222224,-0.24347600794972704,-0.21659343649471743,16
7.5,3.0,taxa_omissao,pares_completos,192,192,0,COMPLETO,-0.23003472222222224,-0.24347600794972704,-0.21659343649471743,16
