campo,residuo
concluiu,0.0
makespan,0.0
makespan_cpm,0.0
E_total,0.0
S_UR_final,0.0
S_UR_maximo,0.0
S_PV_final,0.0
TW,0.0
TL,0.0
TU,0.0
TR,0.0
n_limpas,0.0
n_com_erro,0.0
n_reportadas,0.0
n_adiamentos,0.0
taxa_omissao,0.0
taxa_falha_efetiva,0.0
E_plano,0.0
retrabalho_sobre_plano,0.0
divida_latente_sobre_plano,0.0
retrabalho_sobre_esforco_realizado,0.0
p1_omissao,0.0
p1_fuga,0.0
p2_ajuda,0.0
p2_bloqueio,0.0
p3_analitica,0.0
hiato_encontrado,0.0
hiato_sem_colega_capaz,0.0
hiato_sem_colega_livre,0.0
hiato_colega_capaz_sem_confianca,0.0
competencia_maxima_inicial,0.0
competencia_minima_inicial,0.0
tarefas_acima_da_competencia_maxima_inicial,0.0
n_tarefas,0.0
N_req,0.0
N_fail,0.0
N_blocked,0.0
N_success,0.0
competencia_maxima_final,0.0
retrabalho_gerado,0.0
retrabalho_pendente,0.0
ocupacao_retrabalho,0.0
extensoes_horizonte,0.0
confianca_media_final,0.0
retrabalho_sobre_esforco_total,0.0
