incremento_base,fator_transferencia,cenario,metrica,estatuto,incompletas,media,ic95_inf,ic95_sup,N_instancias
7.5,1.5,adaptativa,atraso_relativo,COMPLETO,0,2.0645038187445244,1.7972171863632482,2.3317904511258005,16
7.5,1.5,adaptativa,taxa_omissao,COMPLETO,0,0.08307291666666666,0.07387986569393012,0.0922659676394032,16
7.5,1.5,adaptativa,divida_latente_sobre_plano,COMPLETO,0,0.0266193933078754,0.024160783520724136,0.029078003095026665,16
7.5,1.5,adaptativa,taxa_falha_efetiva,COMPLETO,0,0.31953125,0.2942821533595837,0.3447803466404163,16
7.5,1.5,adaptativa,fracao_porta1,COMPLETO,0,0.55078125,0.48914015107330006,0.6124223489267,16
7.5,1.5,centralizada,atraso_relativo,COMPLETO,0,3.0608024318896927,2.7529853412717444,3.368619522507641,16
7.5,1.5,centralizada,taxa_omissao,COMPLETO,0,0.3125,0.2943696393264874,0.3306303606735126,16
7.5,1.5,centralizada,divida_latente_sobre_plano,COMPLETO,0,0.10327218484475538,0.09376041991880793,0.11278394977070283,16
7.5,1.5,centralizada,taxa_falha_efetiva,COMPLETO,0,0.36197916666666663,0.33980804322759767,0.3841502901057356,16
7.5,1.5,centralizada,fracao_porta1,COMPLETO,0,0.6369791666666667,0.5824306302401504,0.6915277030931829,16
7.5,3.0,adaptativa,atraso_relativo,COMPLETO,0,2.0575069040437,1.79347444764152,2.32153936044588,16
7.5,3.0,adaptativa,taxa_omissao,COMPLETO,0,0.08246527777777778,0.07372985142873845,0.0912007041268171,16
7.5,3.0,adaptativa,divida_latente_sobre_plano,COMPLETO,0,0.026889153693094112,0.02378016109647396,0.029998146289714266,16
7.5,3.0,adaptativa,taxa_falha_efetiva,COMPLETO,0,0.3182291666666667,0.29161775974569476,0.3448405735876386,16
7.5,3.0,adaptativa,fracao_porta1,COMPLETO,0,0.5463541666666667,0.4845622497951303,0.6081460835382031,16
7.5,3.0,centralizada,atraso_relativo,COMPLETO,0,3.0608024318896927,2.7529853412717444,3.368619522507641,16
7.5,3.0,centralizada,taxa_omissao,COMPLETO,0,0.3125,0.2943696393264874,0.3306303606735126,16
7.5,3.0,centralizada,divida_latente_sobre_plano,COMPLETO,0,0.10327218484475538,0.09376041991880793,0.11278394977070283,16
7.5,3.0,centralizada,taxa_falha_efetiva,COMPLETO,0,0.36197916666666663,0.33980804322759767,0.3841502901057356,16
7.5,3.0,centralizada,fracao_porta1,COMPLETO,0,0.6369791666666667,0.5824306302401504,0.6915277030931829,16
7.5,6.0,adaptativa,atraso_relativo,COMPLETO,0,2.0545028438431325,1.791872695731302,2.317132991954963,16
7.5,6.0,adaptativa,taxa_omissao,COMPLETO,0,0.08385416666666666,0.07573848298595838,0.09196985034737494,16
7.5,6.0,adaptativa,divida_latente_sobre_plano,COMPLETO,0,0.025531560537270605,0.02285146093369162,0.02821166014084959,16
7.5,6.0,adaptativa,taxa_falha_efetiva,COMPLETO,0,0.31710069444444444,0.29197736880651604,0.34222402008237285,16
7.5,6.0,adaptativa,fracao_porta1,COMPLETO,0,0.5513020833333334,0.4893092232634888,0.613294943403178,16
7.5,6.0,centralizada,atraso_relativo,COMPLETO,0,3.0608024318896927,2.7529853412717444,3.368619522507641,16
7.5,6.0,centralizada,taxa_omissao,COMPLETO,0,0.3125,0.2943696393264874,0.3306303606735126,16
7.5,6.0,centralizada,divida_latente_sobre_plano,COMPLETO,0,0.10327218484475538,0.09376041991880793,0.11278394977070283,16
7.5,6.0,centralizada,taxa_falha_efetiva,COMPLETO,0,0.36197916666666663,0.33980804322759767,0.3841502901057356,16
7.5,6.0,centralizada,fracao_porta1,COMPLETO,0,0.6369791666666667,0.5824306302401504,0.6915277030931829,16
15.0,1.5,adaptativa,atraso_relativo,COMPLETO,0,2.030969743048612,1.769066712650596,2.2928727734466285,16
15.0,1.5,adaptativa,taxa_omissao,COMPLETO,0,0.08697916666666666,0.08006882845031531,0.09388950488301802,16
15.0,1.5,adaptativa,divida_latente_sobre_plano,COMPLETO,0,0.02623496920961016,0.023811933229616694,0.028658005189603625,16
15.0,1.5,adaptativa,taxa_falha_efetiva,COMPLETO,0,0.3199652777777777,0.2972475107224506,0.34268304483310486,16
15.0,1.5,adaptativa,fracao_porta1,COMPLETO,0,0.5277777777777778,0.4619763469315421,0.5935792086240135,16
15.0,1.5,centralizada,atraso_relativo,COMPLETO,0,3.0608024318896927,2.7529853412717444,3.368619522507641,16
15.0,1.5,centralizada,taxa_omissao,COMPLETO,0,0.3125,0.2943696393264874,0.3306303606735126,16
15.0,1.5,centralizada,divida_latente_sobre_plano,COMPLETO,0,0.10327218484475538,0.09376041991880793,0.11278394977070283,16
15.0,1.5,centralizada,taxa_falha_efetiva,COMPLETO,0,0.36197916666666663,0.33980804322759767,0.3841502901057356,16
15.0,1.5,centralizada,fracao_porta1,COMPLETO,0,0.6369791666666667,0.5824306302401504,0.6915277030931829,16
15.0,3.0,adaptativa,atraso_relativo,COMPLETO,0,2.0373813983341833,1.7734917939251005,2.3012710027432663,16
15.0,3.0,adaptativa,taxa_omissao,COMPLETO,0,0.08428819444444444,0.0765039334367004,0.09207245545218848,16
15.0,3.0,adaptativa,divida_latente_sobre_plano,COMPLETO,0,0.025457608424232565,0.02297190322204099,0.02794331362642414,16
15.0,3.0,adaptativa,taxa_falha_efetiva,COMPLETO,0,0.3189236111111111,0.2964693692083124,0.3413778530139098,16
15.0,3.0,adaptativa,fracao_porta1,COMPLETO,0,0.5204861111111112,0.45863357891696677,0.5823386433052556,16
15.0,3.0,centralizada,atraso_relativo,COMPLETO,0,3.0608024318896927,2.7529853412717444,3.368619522507641,16
15.0,3.0,centralizada,taxa_omissao,COMPLETO,0,0.3125,0.2943696393264874,0.3306303606735126,16
15.0,3.0,centralizada,divida_latente_sobre_plano,COMPLETO,0,0.10327218484475538,0.09376041991880793,0.11278394977070283,16
15.0,3.0,centralizada,taxa_falha_efetiva,COMPLETO,0,0.36197916666666663,0.33980804322759767,0.3841502901057356,16
15.0,3.0,centralizada,fracao_porta1,COMPLETO,0,0.6369791666666667,0.5824306302401504,0.6915277030931829,16
15.0,6.0,adaptativa,atraso_relativo,COMPLETO,0,2.0333225536201387,1.7597919850541415,2.3068531221861357,16
15.0,6.0,adaptativa,taxa_omissao,COMPLETO,0,0.08046875,0.0732960477389845,0.08764145226101551,16
15.0,6.0,adaptativa,divida_latente_sobre_plano,COMPLETO,0,0.026303370309040383,0.023998999703955026,0.02860774091412574,16
15.0,6.0,adaptativa,taxa_falha_efetiva,COMPLETO,0,0.31397569444444445,0.2917525979053133,0.3361987909835756,16
15.0,6.0,adaptativa,fracao_porta1,COMPLETO,0,0.5157118055555556,0.4551953898063018,0.5762282213048094,16
15.0,6.0,centralizada,atraso_relativo,COMPLETO,0,3.0608024318896927,2.7529853412717444,3.368619522507641,16
15.0,6.0,centralizada,taxa_omissao,COMPLETO,0,0.3125,0.2943696393264874,0.3306303606735126,16
15.0,6.0,centralizada,divida_latente_sobre_plano,COMPLETO,0,0.10327218484475538,0.09376041991880793,0.11278394977070283,16
15.0,6.0,centralizada,taxa_falha_efetiva,COMPLETO,0,0.36197916666666663,0.33980804322759767,0.3841502901057356,16
15.0,6.0,centralizada,fracao_porta1,COMPLETO,0,0.6369791666666667,0.5824306302401504,0.6915277030931829,16
22.5,1.5,adaptativa,atraso_relativo,COMPLETO,0,1.990975778416559,1.7249319887806396,2.257019568052478,16
22.5,1.5,adaptativa,taxa_omissao,COMPLETO,0,0.08064236111111112,0.07152008639453612,0.08976463582768611,16
22.5,1.5,adaptativa,divida_latente_sobre_plano,COMPLETO,0,0.0232558487166554,0.020560133740485223,0.02595156369282558,16
22.5,1.5,adaptativa,taxa_falha_efetiva,COMPLETO,0,0.303125,0.27796132841135157,0.3282886715886484,16
22.5,1.5,adaptativa,fracao_porta1,COMPLETO,0,0.49149305555555556,0.4293105807927836,0.5536755303183275,16
22.5,1.5,centralizada,atraso_relativo,COMPLETO,0,3.0608024318896927,2.7529853412717444,3.368619522507641,16
22.5,1.5,centralizada,taxa_omissao,COMPLETO,0,0.3125,0.2943696393264874,0.3306303606735126,16
22.5,1.5,centralizada,divida_latente_sobre_plano,COMPLETO,0,0.10327218484475538,0.09376041991880793,0.11278394977070283,16
22.5,1.5,centralizada,taxa_falha_efetiva,COMPLETO,0,0.36197916666666663,0.33980804322759767,0.3841502901057356,16
22.5,1.5,centralizada,fracao_porta1,COMPLETO,0,0.6369791666666667,0.5824306302401504,0.6915277030931829,16
22.5,3.0,adaptativa,atraso_relativo,COMPLETO,0,1.986618395347957,1.7284471395633338,2.24478965113258,16
22.5,3.0,adaptativa,taxa_omissao,COMPLETO,0,0.08324652777777777,0.07500762584177209,0.09148542971378346,16
22.5,3.0,adaptativa,divida_latente_sobre_plano,COMPLETO,0,0.024269261293684157,0.021714811367676154,0.02682371121969216,16
22.5,3.0,adaptativa,taxa_falha_efetiva,COMPLETO,0,0.30538194444444444,0.282728562298128,0.3280353265907609,16
22.5,3.0,adaptativa,fracao_porta1,COMPLETO,0,0.4860243055555556,0.42373587157820297,0.5483127395329083,16
