perfil_adaptativa,perfil_centralizada,metrica,estimando,pares_previstos,pares_retidos,pares_indefinidos,estatuto,media,ic95_inf,ic95_sup,N_instancias,sinal,evidencia,tau_inicial_A,tau_min_A,p_reporte_A,p_deteccao_A,tau_inicial_C,tau_min_C,p_reporte_C,p_deteccao_C,regiao,assinatura_vetor_diferencas
71,41,atraso_relativo,observado,16,16,0,COMPLETO,0.0232586853073291,0.0092763707072156,0.0372409999074426,4,positivo,positivo,0.8,0.425,0.75,0.12,0.525,0.425,0.45,0.12,ordenacao_historica,b6fecd5ef277b24cb34cc0ee25826f38ede9b74ff01ab0ac1da6c8c5b86ea0bb
71,68,atraso_relativo,observado,16,16,0,COMPLETO,0.0666763260096817,0.0057228892641243,0.1276297627552391,4,positivo,positivo,0.8,0.425,0.75,0.12,0.8,0.425,0.45,0.12,ordenacao_historica,77158b8531d3a172a08ea20a0a9b680a72afba3e03887350d30fdd7929ef8543
71,74,atraso_relativo,observado,16,16,0,COMPLETO,0.0729460965036917,0.0198452662880969,0.1260469267192864,4,positivo,positivo,0.8,0.425,0.75,0.12,0.8,0.6,0.15,0.12,ordenacao_historica,02544957c64ee269ac3384a3a09184263d7feec5e0aea1787a67c4e40fb7058b
60,78,divida_latente_sobre_plano,observado,16,16,0,COMPLETO,0.0025259042849187,0.0009418075443386,0.0041100010254987,4,positivo,positivo,0.8,0.25,0.75,0.03,0.8,0.6,0.75,0.03,ordenacao_historica,873119b211f5ad77d9e72048b80cfc8e06be0261e684e8c9ba6746e2d1fe2f8e
5,2,fracao_porta1,observado,16,16,0,COMPLETO,0.0197916666666666,0.0084686213175145,0.0311147120158187,4,positivo,positivo,0.25,0.25,0.45,0.12,0.25,0.25,0.15,0.12,ordenacao_historica,92899c9967ad92408a1e1c723c305300eb54ec3fd15247eef49431a66ded76b3
5,11,fracao_porta1,observado,16,16,0,COMPLETO,0.0197916666666666,0.0084686213175145,0.0311147120158187,4,positivo,positivo,0.25,0.25,0.45,0.12,0.25,0.425,0.15,0.12,ordenacao_historica,92899c9967ad92408a1e1c723c305300eb54ec3fd15247eef49431a66ded76b3
5,20,fracao_porta1,observado,16,16,0,COMPLETO,0.0197916666666666,0.0084686213175145,0.0311147120158187,4,positivo,positivo,0.25,0.25,0.45,0.12,0.25,0.6,0.15,0.12,ordenacao_historica,92899c9967ad92408a1e1c723c305300eb54ec3fd15247eef49431a66ded76b3
14,11,fracao_porta1,observado,16,16,0,COMPLETO,0.0197916666666666,0.0084686213175145,0.0311147120158187,4,positivo,positivo,0.25,0.425,0.45,0.12,0.25,0.425,0.15,0.12,ordenacao_historica,92899c9967ad92408a1e1c723c305300eb54ec3fd15247eef49431a66ded76b3
14,20,fracao_porta1,observado,16,16,0,COMPLETO,0.0197916666666666,0.0084686213175145,0.0311147120158187,4,positivo,positivo,0.25,0.425,0.45,0.12,0.25,0.6,0.15,0.12,ordenacao_historica,92899c9967ad92408a1e1c723c305300eb54ec3fd15247eef49431a66ded76b3
23,20,fracao_porta1,observado,16,16,0,COMPLETO,0.0197916666666666,0.0084686213175145,0.0311147120158187,4,positivo,positivo,0.25,0.6,0.45,0.12,0.25,0.6,0.15,0.12,ordenacao_historica,92899c9967ad92408a1e1c723c305300eb54ec3fd15247eef49431a66ded76b3
30,27,fracao_porta1,observado,16,16,0,COMPLETO,0.0229166666666666,0.010220998493091,0.0356123348402423,4,positivo,positivo,0.525,0.25,0.45,0.03,0.525,0.25,0.15,0.03,ordenacao_historica,998684385fa529f02b95b7718eac7199cd2a989b17b286e4ca4ee3c63551692a
35,38,fracao_porta1,observado,16,16,0,COMPLETO,0.0229166666666666,0.0009271243539984,0.0449062089793348,4,positivo,positivo,0.525,0.25,0.75,0.12,0.525,0.425,0.15,0.12,ordenacao_historica,4c62b611dc4e4a6c6e7e57defdb71eaaac6b8e66f758e322d9352e56871e3ce8
37,36,fracao_porta1,observado,16,16,0,COMPLETO,0.0177083333333333,0.0051577632755971,0.0302589033910694,4,positivo,positivo,0.525,0.425,0.15,0.075,0.525,0.425,0.15,0.03,ordenacao_historica,fd6d5c15e038a38bd8b3e75f39cc86f476d4753a9e2aaaec508a020af2aaee4a
39,36,fracao_porta1,observado,16,16,0,COMPLETO,0.0218749999999999,0.0044381403988536,0.0393118596011463,4,positivo,positivo,0.525,0.425,0.45,0.03,0.525,0.425,0.15,0.03,ordenacao_historica,8baf1ada0465415a4627d60ef2f8a1c1e4fcb2026418a8f43b5cb25eb0cd1092
76,72,fracao_porta1,observado,16,16,0,COMPLETO,0.0239583333333333,0.0049148310729698,0.0430018355936968,4,positivo,positivo,0.8,0.6,0.45,0.075,0.8,0.6,0.15,0.03,ordenacao_historica,8cca902f22ace58a13b46075702c03f022579be89ddd8e3c33a4cc9fc7aaa990
54,36,taxa_falha_efetiva,observado,16,16,0,COMPLETO,0.0291666666666666,0.0032046672388615,0.0551286660944718,4,positivo,positivo,0.8,0.25,0.15,0.03,0.525,0.425,0.15,0.03,ordenacao_historica,443c39c9a29c9030612eb9a919932c2460ce04f5edffc5e33702457c3c76cd0a
59,40,taxa_falha_efetiva,observado,16,16,0,COMPLETO,0.0104166666666666,0.0065887786853387,0.0142445546479945,4,positivo,positivo,0.8,0.25,0.45,0.12,0.525,0.425,0.45,0.075,ordenacao_historica,da52cf18977e384a431a308b6e017e48f0850f350ad8d3546408db613194aa7a
63,36,taxa_falha_efetiva,observado,16,16,0,COMPLETO,0.0302083333333333,0.004601507948441,0.0558151587182255,4,positivo,positivo,0.8,0.425,0.15,0.03,0.525,0.425,0.15,0.03,ordenacao_historica,6f284e6f73f0a7492ddab4282d0e28157afdd37f4914028ffe883dc904aa9097
68,40,taxa_falha_efetiva,observado,16,16,0,COMPLETO,0.0135416666666666,0.0009910966089305,0.0260922367244028,4,positivo,positivo,0.8,0.425,0.45,0.12,0.525,0.425,0.45,0.075,ordenacao_historica,37948722434a8281b4f4c4e69750122757206b686760131c4de4ca5c2c4bf70c
54,36,taxa_omissao,observado,16,16,0,COMPLETO,0.0291666666666666,0.0020994111744721,0.0562339221588611,4,positivo,positivo,0.8,0.25,0.15,0.03,0.525,0.425,0.15,0.03,ordenacao_historica,009570dc2cbb5aa1020ad128c33c3e99a8a8009ebc6ecea284ef9e05aaf2f752
63,36,taxa_omissao,observado,16,16,0,COMPLETO,0.0322916666666666,0.0034551928346687,0.0611281404986645,4,positivo,positivo,0.8,0.425,0.15,0.03,0.525,0.425,0.15,0.03,ordenacao_historica,364ee220cb9c6f0df04c50f3d349bcfa26344293eccef0f88bcefe9ecf899095
67,66,taxa_omissao,observado,16,16,0,COMPLETO,0.0145833333333333,0.0018876651597576,0.0272790015069089,4,positivo,positivo,0.8,0.425,0.45,0.075,0.8,0.425,0.45,0.03,ordenacao_historica,96347b2ab1b9e6cd86c92c10772e062ff8fee79127576d2a1d84c8fd68cedb3f
