perfil_adaptativa,perfil_centralizada,metrica,estimando,pares_previstos,pares_retidos,pares_indefinidos,estatuto,media,ic95_inf,ic95_sup,N_instancias,sinal,evidencia,tau_inicial_A,tau_min_A,p_reporte_A,p_deteccao_A,tau_inicial_C,tau_min_C,p_reporte_C,p_deteccao_C,regiao
0,28,atraso_relativo,observado,16,16,0,COMPLETO,0.9167511391792924,0.2094360035438573,1.6240662748147274,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.25,0.15,0.075,inclui_inversao_de_premissa
0,29,atraso_relativo,observado,16,16,0,COMPLETO,1.0214278347367425,0.2914219748712858,1.751433694602199,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.25,0.15,0.12,inclui_inversao_de_premissa
0,31,atraso_relativo,observado,16,16,0,COMPLETO,0.9574695855331709,0.149201869422513,1.7657373016438285,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.25,0.45,0.075,inclui_inversao_de_premissa
0,32,atraso_relativo,observado,16,16,0,COMPLETO,1.0612623733068105,0.2285148561239549,1.894009890489666,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.25,0.45,0.12,inclui_inversao_de_premissa
0,33,atraso_relativo,observado,16,16,0,COMPLETO,0.8832133393657488,0.0942153414524213,1.672211337279076,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.25,0.75,0.03,inclui_inversao_de_premissa
0,34,atraso_relativo,observado,16,16,0,COMPLETO,1.0446119094090724,0.2603892821259319,1.828834536692213,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.25,0.75,0.075,inclui_inversao_de_premissa
0,35,atraso_relativo,observado,16,16,0,COMPLETO,1.036898939591092,0.2631917508850119,1.810606128297172,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.25,0.75,0.12,inclui_inversao_de_premissa
0,36,atraso_relativo,observado,16,16,0,COMPLETO,0.2486333120204603,9.261763191345528e-05,0.4971740064090071,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.425,0.15,0.03,inclui_inversao_de_premissa
0,37,atraso_relativo,observado,16,16,0,COMPLETO,0.9511701047695966,0.2794673062104772,1.622872903328716,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.425,0.15,0.075,inclui_inversao_de_premissa
0,38,atraso_relativo,observado,16,16,0,COMPLETO,0.9891780148367508,0.2858012592322159,1.6925547704412858,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.425,0.15,0.12,inclui_inversao_de_premissa
0,40,atraso_relativo,observado,16,16,0,COMPLETO,0.9956881939147384,0.187863390121488,1.803512997707989,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.425,0.45,0.075,inclui_inversao_de_premissa
0,41,atraso_relativo,observado,16,16,0,COMPLETO,1.048595780798971,0.223671060077486,1.873520501520456,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.425,0.45,0.12,inclui_inversao_de_premissa
0,43,atraso_relativo,observado,16,16,0,COMPLETO,1.0542555326224057,0.2754752977853839,1.833035767459427,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.425,0.75,0.075,inclui_inversao_de_premissa
0,44,atraso_relativo,observado,16,16,0,COMPLETO,1.07589753992113,0.2782257191351818,1.873569360707078,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.425,0.75,0.12,inclui_inversao_de_premissa
0,46,atraso_relativo,observado,16,16,0,COMPLETO,0.7231795254333618,0.0813753999251987,1.364983650941525,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.6,0.15,0.075,inclui_inversao_de_premissa
0,47,atraso_relativo,observado,16,16,0,COMPLETO,0.8043684222989983,0.0559900315698218,1.5527468130281747,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.6,0.15,0.12,inclui_inversao_de_premissa
0,49,atraso_relativo,observado,16,16,0,COMPLETO,0.8423966481456554,0.1933616670766283,1.4914316292146823,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.6,0.45,0.075,inclui_inversao_de_premissa
0,50,atraso_relativo,observado,16,16,0,COMPLETO,0.7863592939082573,0.1260481286987539,1.4466704591177608,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.6,0.45,0.12,inclui_inversao_de_premissa
0,52,atraso_relativo,observado,16,16,0,COMPLETO,0.7513478211014891,0.2148011362982479,1.2878945059047302,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.6,0.75,0.075,inclui_inversao_de_premissa
0,53,atraso_relativo,observado,16,16,0,COMPLETO,0.8108595475439095,0.1907651729352398,1.430953922152579,4,positivo,positivo,0.25,0.25,0.15,0.03,0.525,0.6,0.75,0.12,inclui_inversao_de_premissa
0,55,atraso_relativo,observado,16,16,0,COMPLETO,1.031565829357423,0.3025492131182519,1.7605824455965942,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.25,0.15,0.075,inclui_inversao_de_premissa
0,56,atraso_relativo,observado,16,16,0,COMPLETO,1.069121557534786,0.1757026700360984,1.9625404450334736,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.25,0.15,0.12,inclui_inversao_de_premissa
0,58,atraso_relativo,observado,16,16,0,COMPLETO,1.13470284121785,0.3467504658800835,1.9226552165556163,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.25,0.45,0.075,inclui_inversao_de_premissa
0,59,atraso_relativo,observado,16,16,0,COMPLETO,1.089296030196976,0.3227018950490866,1.855890165344865,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.25,0.45,0.12,inclui_inversao_de_premissa
0,60,atraso_relativo,observado,16,16,0,COMPLETO,0.845023085829806,0.3638006054888515,1.3262455661707606,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.25,0.75,0.03,inclui_inversao_de_premissa
0,61,atraso_relativo,observado,16,16,0,COMPLETO,1.0191393026826798,0.2351649416818171,1.8031136636835423,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.25,0.75,0.075,inclui_inversao_de_premissa
0,62,atraso_relativo,observado,16,16,0,COMPLETO,1.050749736393413,0.2096836884174387,1.8918157843693877,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.25,0.75,0.12,inclui_inversao_de_premissa
0,64,atraso_relativo,observado,16,16,0,COMPLETO,1.0324716264588725,0.3009113147616562,1.7640319381560887,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.425,0.15,0.075,inclui_inversao_de_premissa
0,65,atraso_relativo,observado,16,16,0,COMPLETO,1.0682157604333369,0.1772749598508907,1.9591565610157824,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.425,0.15,0.12,inclui_inversao_de_premissa
0,67,atraso_relativo,observado,16,16,0,COMPLETO,1.1039057397685743,0.4014185066466669,1.8063929728904824,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.425,0.45,0.075,inclui_inversao_de_premissa
0,68,atraso_relativo,observado,16,16,0,COMPLETO,1.0920134215013235,0.3178051469671247,1.8662216960355225,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.425,0.45,0.12,inclui_inversao_de_premissa
0,69,atraso_relativo,observado,16,16,0,COMPLETO,0.8074576671502569,0.3119278487449831,1.3029874855555308,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.425,0.75,0.03,inclui_inversao_de_premissa
0,70,atraso_relativo,observado,16,16,0,COMPLETO,1.005023964518429,0.2180446503818774,1.7920032786549798,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.425,0.75,0.075,inclui_inversao_de_premissa
0,71,atraso_relativo,observado,16,16,0,COMPLETO,1.0253370954916416,0.191188721537785,1.8594854694454983,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.425,0.75,0.12,inclui_inversao_de_premissa
0,73,atraso_relativo,observado,16,16,0,COMPLETO,1.0261058857181315,0.279525140768103,1.77268663066816,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.6,0.15,0.075,inclui_inversao_de_premissa
0,74,atraso_relativo,observado,16,16,0,COMPLETO,1.0982831919953335,0.2457187373872649,1.9508476466034024,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.6,0.15,0.12,inclui_inversao_de_premissa
0,76,atraso_relativo,observado,16,16,0,COMPLETO,1.0938916495914408,0.3525515965910187,1.8352317025918627,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.6,0.45,0.075,inclui_inversao_de_premissa
0,77,atraso_relativo,observado,16,16,0,COMPLETO,1.0912082685222575,0.3429308582650041,1.8394856787795109,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.6,0.45,0.12,inclui_inversao_de_premissa
0,78,atraso_relativo,observado,16,16,0,COMPLETO,0.7754844316317933,0.4510657033893742,1.0999031598742124,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.6,0.75,0.03,inclui_inversao_de_premissa
0,79,atraso_relativo,observado,16,16,0,COMPLETO,1.018574137638783,0.1979226249419174,1.8392256503356483,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.6,0.75,0.075,inclui_inversao_de_premissa
0,80,atraso_relativo,observado,16,16,0,COMPLETO,1.0251970038587517,0.2059452820678959,1.8444487256496072,4,positivo,positivo,0.25,0.25,0.15,0.03,0.8,0.6,0.75,0.12,inclui_inversao_de_premissa
1,7,atraso_relativo,observado,16,16,0,COMPLETO,0.1430684710319419,0.0066308577398913,0.2795060843239925,4,positivo,positivo,0.25,0.25,0.15,0.075,0.25,0.25,0.75,0.075,inclui_inversao_de_premissa
1,16,atraso_relativo,observado,16,16,0,COMPLETO,0.1430684710319419,0.0066308577398913,0.2795060843239925,4,positivo,positivo,0.25,0.25,0.15,0.075,0.25,0.425,0.75,0.075,inclui_inversao_de_premissa
1,25,atraso_relativo,observado,16,16,0,COMPLETO,0.1430684710319419,0.0066308577398913,0.2795060843239925,4,positivo,positivo,0.25,0.25,0.15,0.075,0.25,0.6,0.75,0.075,inclui_inversao_de_premissa
1,28,atraso_relativo,observado,16,16,0,COMPLETO,0.373668459565367,0.0186870721567729,0.7286498469739611,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.25,0.15,0.075,inclui_inversao_de_premissa
1,29,atraso_relativo,observado,16,16,0,COMPLETO,0.478345155122817,0.2081255821737376,0.7485647280718963,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.25,0.15,0.12,inclui_inversao_de_premissa
1,31,atraso_relativo,observado,16,16,0,COMPLETO,0.4143869059192454,0.1910258210402949,0.637747990798196,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.25,0.45,0.075,inclui_inversao_de_premissa
1,32,atraso_relativo,observado,16,16,0,COMPLETO,0.5181796936928853,0.218920982358286,0.8174384050274845,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.25,0.45,0.12,inclui_inversao_de_premissa
1,33,atraso_relativo,observado,16,16,0,COMPLETO,0.3401306597518234,0.0099202011528888,0.6703411183507579,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.25,0.75,0.03,inclui_inversao_de_premissa
1,34,atraso_relativo,observado,16,16,0,COMPLETO,0.5015292297951472,0.2528849051625817,0.7501735544277128,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.25,0.75,0.075,inclui_inversao_de_premissa
1,35,atraso_relativo,observado,16,16,0,COMPLETO,0.4938162599771666,0.2250707188487368,0.7625618011055963,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.25,0.75,0.12,inclui_inversao_de_premissa
1,37,atraso_relativo,observado,16,16,0,COMPLETO,0.4080874251556712,0.0055130228062942,0.8106618275050481,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.425,0.15,0.075,inclui_inversao_de_premissa
1,38,atraso_relativo,observado,16,16,0,COMPLETO,0.4460953352228254,0.1997520452649838,0.6924386251806671,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.425,0.15,0.12,inclui_inversao_de_premissa
1,40,atraso_relativo,observado,16,16,0,COMPLETO,0.4526055143008132,0.1835686020523226,0.7216424265493038,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.425,0.45,0.075,inclui_inversao_de_premissa
1,41,atraso_relativo,observado,16,16,0,COMPLETO,0.5055131011850457,0.1587457784366764,0.852280423933415,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.425,0.45,0.12,inclui_inversao_de_premissa
1,43,atraso_relativo,observado,16,16,0,COMPLETO,0.5111728530084804,0.2686113484349349,0.7537343575820258,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.425,0.75,0.075,inclui_inversao_de_premissa
1,44,atraso_relativo,observado,16,16,0,COMPLETO,0.5328148603072045,0.2872600643405003,0.7783696562739086,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.425,0.75,0.12,inclui_inversao_de_premissa
1,47,atraso_relativo,observado,16,16,0,COMPLETO,0.261285742685073,0.0544143009210514,0.4681571844490947,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.6,0.15,0.12,inclui_inversao_de_premissa
1,49,atraso_relativo,observado,16,16,0,COMPLETO,0.2993139685317301,0.0448367908434169,0.5537911462200432,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.6,0.45,0.075,inclui_inversao_de_premissa
1,50,atraso_relativo,observado,16,16,0,COMPLETO,0.243276614294332,0.0808068996880267,0.4057463289006373,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.6,0.45,0.12,inclui_inversao_de_premissa
1,53,atraso_relativo,observado,16,16,0,COMPLETO,0.2677768679299842,0.0706100536212475,0.4649436822387208,4,positivo,positivo,0.25,0.25,0.15,0.075,0.525,0.6,0.75,0.12,inclui_inversao_de_premissa
