celula,tau_inicial,tau_min,p_reporte,p_deteccao
0,0.25,0.25,0.15,0.03
1,0.25,0.25,0.15,0.075
2,0.25,0.25,0.15,0.12
3,0.25,0.25,0.45,0.03
4,0.25,0.25,0.45,0.075
5,0.25,0.25,0.45,0.12
6,0.25,0.25,0.75,0.03
7,0.25,0.25,0.75,0.075
8,0.25,0.25,0.75,0.12
9,0.25,0.425,0.15,0.03
10,0.25,0.425,0.15,0.075
11,0.25,0.425,0.15,0.12
12,0.25,0.425,0.45,0.03
13,0.25,0.425,0.45,0.075
14,0.25,0.425,0.45,0.12
15,0.25,0.425,0.75,0.03
16,0.25,0.425,0.75,0.075
17,0.25,0.425,0.75,0.12
18,0.25,0.6,0.15,0.03
19,0.25,0.6,0.15,0.075
20,0.25,0.6,0.15,0.12
21,0.25,0.6,0.45,0.03
22,0.25,0.6,0.45,0.075
23,0.25,0.6,0.45,0.12
24,0.25,0.6,0.75,0.03
25,0.25,0.6,0.75,0.075
26,0.25,0.6,0.75,0.12
27,0.525,0.25,0.15,0.03
28,0.525,0.25,0.15,0.075
29,0.525,0.25,0.15,0.12
30,0.525,0.25,0.45,0.03
31,0.525,0.25,0.45,0.075
32,0.525,0.25,0.45,0.12
33,0.525,0.25,0.75,0.03
34,0.525,0.25,0.75,0.075
35,0.525,0.25,0.75,0.12
36,0.525,0.425,0.15,0.03
37,0.525,0.425,0.15,0.075
38,0.525,0.425,0.15,0.12
39,0.525,0.425,0.45,0.03
40,0.525,0.425,0.45,0.075
41,0.525,0.425,0.45,0.12
42,0.525,0.425,0.75,0.03
43,0.525,0.425,0.75,0.075
44,0.525,0.425,0.75,0.12
45,0.525,0.6,0.15,0.03
46,0.525,0.6,0.15,0.075
47,0.525,0.6,0.15,0.12
48,0.525,0.6,0.45,0.03
49,0.525,0.6,0.45,0.075
50,0.525,0.6,0.45,0.12
51,0.525,0.6,0.75,0.03
52,0.525,0.6,0.75,0.075
53,0.525,0.6,0.75,0.12
54,0.8,0.25,0.15,0.03
55,0.8,0.25,0.15,0.075
56,0.8,0.25,0.15,0.12
57,0.8,0.25,0.45,0.03
58,0.8,0.25,0.45,0.075
59,0.8,0.25,0.45,0.12
60,0.8,0.25,0.75,0.03
61,0.8,0.25,0.75,0.075
62,0.8,0.25,0.75,0.12
63,0.8,0.425,0.15,0.03
64,0.8,0.425,0.15,0.075
65,0.8,0.425,0.15,0.12
66,0.8,0.425,0.45,0.03
67,0.8,0.425,0.45,0.075
68,0.8,0.425,0.45,0.12
69,0.8,0.425,0.75,0.03
70,0.8,0.425,0.75,0.075
71,0.8,0.425,0.75,0.12
72,0.8,0.6,0.15,0.03
73,0.8,0.6,0.15,0.075
74,0.8,0.6,0.15,0.12
75,0.8,0.6,0.45,0.03
76,0.8,0.6,0.45,0.075
77,0.8,0.6,0.45,0.12
78,0.8,0.6,0.75,0.03
79,0.8,0.6,0.75,0.075
80,0.8,0.6,0.75,0.12
